Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
1;BactV5V7-BC1-6_S1_L001;Bact_S6;6;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.06627428075913;0.644392343645044
2;BactV5V7-BC10-23_S10_L001;Bact_S23;23;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.04209920620802;0.644392343645044
3;BactV5V7-BC13-33_S13_L001;Bact_S33;33;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.46793040737342;0.644392343645044
4;BactV5V7-BC14-37_S14_L001;Bact_S37;37;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.82495662024129;0.644392343645044
5;BactV5V7-BC16-40_S16_L001;Bact_S40;40;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.6888446733507;0.644392343645044
6;BactV5V7-BC17-42_S17_L001;Bact_S42;42;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.93720527552707;0.644392343645044
7;BactV5V7-BC19-44_S19_L001;Bact_S44;44;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.52234519017885;0.644392343645044
8;BactV5V7-BC193-1_S193_L001;Bact_S1;1;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;2.38670741465703;0.827259346562712
9;BactV5V7-BC194-2_S194_L001;Bact_S2;2;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;2.33278686747692;0.827259346562712
10;BactV5V7-BC195-3_S195_L001;Bact_S3;3;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.79351445497651;0.310635456337401
11;BactV5V7-BC196-4_S196_L001;Bact_S4;4;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.94411171261825;0.310635456337401
12;BactV5V7-BC197-5_S197_L001;Bact_S5;5;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.8589768122705;0.310635456337401
13;BactV5V7-BC2-7_S2_L001;Bact_S7;7;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.11647105496836;0.644392343645044
14;BactV5V7-BC20-47_S20_L001;Bact_S47;47;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.54171345404047;0.644392343645044
15;BactV5V7-BC203-29_S203_L001;Bact_S29;29;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;2.25916409126699;0.827259346562712
16;BactV5V7-BC204-30_S204_L001;Bact_S30;30;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;2.40575201425921;0.827259346562712
17;BactV5V7-BC205-31_S205_L001;Bact_S31;31;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;2.39231893792671;0.827259346562712
18;BactV5V7-BC215-61_S215_L001;Bact_S61;61;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.2234707721476;0.310635456337401
19;BactV5V7-BC216-62_S216_L001;Bact_S62;62;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.10478090317268;0.310635456337401
20;BactV5V7-BC217-63_S217_L001;Bact_S63;63;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.1022480079732;0.310635456337401
21;BactV5V7-BC223-78_S223_L001;Bact_S78;78;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.10361856924016;0.310635456337401
22;BactV5V7-BC224-79_S224_L001;Bact_S79;79;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.9540943694038;0.310635456337401
23;BactV5V7-BC225-80_S225_L001;Bact_S80;80;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;2.24016588527516;0.827259346562712
24;BactV5V7-BC226-82_S226_L001;Bact_S82;82;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.12352995520281;0.310635456337401
25;BactV5V7-BC227-83_S227_L001;Bact_S83;83;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.08352554841602;0.310635456337401
26;BactV5V7-BC228-84_S228_L001;Bact_S84;84;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.95965871626061;0.310635456337401
27;BactV5V7-BC229-85_S229_L001;Bact_S85;85;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.96165871553845;0.310635456337401
28;BactV5V7-BC230-95_S230_L001;Bact_S95;95;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.91461651274485;0.310635456337401
29;BactV5V7-BC231-87_S231_L001;Bact_S87;87;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.86047360169591;0.310635456337401
30;BactV5V7-BC232-88_S232_L001;Bact_S88;88;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.91516229387922;0.310635456337401
