Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
1;BactV5V7-BC1-6_S1_L001;Bact_S6;6;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.83223818273721;0.235273043106872
2;BactV5V7-BC10-23_S10_L001;Bact_S23;23;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.33950368547495;0.235273043106872
3;BactV5V7-BC13-33_S13_L001;Bact_S33;33;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.8847482970691;0.235273043106872
4;BactV5V7-BC14-37_S14_L001;Bact_S37;37;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;3.26151815411732;0.235273043106872
5;BactV5V7-BC16-40_S16_L001;Bact_S40;40;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;3.07096804004573;0.235273043106872
6;BactV5V7-BC17-42_S17_L001;Bact_S42;42;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;3.47391106982617;0.235273043106872
7;BactV5V7-BC19-44_S19_L001;Bact_S44;44;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.72977647338071;0.235273043106872
8;BactV5V7-BC193-1_S193_L001;Bact_S1;1;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;3.67838716213512;0.827259346562712
9;BactV5V7-BC194-2_S194_L001;Bact_S2;2;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;3.77661415420949;0.827259346562712
10;BactV5V7-BC195-3_S195_L001;Bact_S3;3;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;3.91980792157454;0.339095976275364
11;BactV5V7-BC196-4_S196_L001;Bact_S4;4;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;3.86224163084803;0.339095976275364
12;BactV5V7-BC197-5_S197_L001;Bact_S5;5;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;3.9677394386123;0.339095976275364
13;BactV5V7-BC2-7_S2_L001;Bact_S7;7;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.66004144925922;0.235273043106872
14;BactV5V7-BC20-47_S20_L001;Bact_S47;47;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.67208017977812;0.235273043106872
15;BactV5V7-BC203-29_S203_L001;Bact_S29;29;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;3.98707084857622;0.827259346562712
16;BactV5V7-BC204-30_S204_L001;Bact_S30;30;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;3.88613992021012;0.827259346562712
