Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
1;BactV5V7-BC1-6_S1_L001;Bact_S6;6;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.16929530085463;0.2102701659142
2;BactV5V7-BC10-23_S10_L001;Bact_S23;23;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.17861364710629;0.2102701659142
3;BactV5V7-BC13-33_S13_L001;Bact_S33;33;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.18456382462385;0.2102701659142
4;BactV5V7-BC14-37_S14_L001;Bact_S37;37;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.66868760845516;0.2102701659142
5;BactV5V7-BC16-40_S16_L001;Bact_S40;40;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.38568283287319;0.2102701659142
6;BactV5V7-BC17-42_S17_L001;Bact_S42;42;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.82868253343283;0.2102701659142
7;BactV5V7-BC19-44_S19_L001;Bact_S44;44;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.14990433836536;0.2102701659142
8;BactV5V7-BC193-1_S193_L001;Bact_S1;1;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;3.07817165642707;0.827259346562712
9;BactV5V7-BC194-2_S194_L001;Bact_S2;2;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;3.02175951928815;0.827259346562712
10;BactV5V7-BC195-3_S195_L001;Bact_S3;3;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.65120683617456;0.139573289378358
11;BactV5V7-BC196-4_S196_L001;Bact_S4;4;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.80242356613695;0.139573289378358
12;BactV5V7-BC197-5_S197_L001;Bact_S5;5;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.58582717684049;0.139573289378358
13;BactV5V7-BC2-7_S2_L001;Bact_S7;7;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.09720143322357;0.2102701659142
14;BactV5V7-BC20-47_S20_L001;Bact_S47;47;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.0573156758106;0.2102701659142
15;BactV5V7-BC203-29_S203_L001;Bact_S29;29;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;3.07002849268996;0.827259346562712
16;BactV5V7-BC204-30_S204_L001;Bact_S30;30;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;3.24174116433827;0.827259346562712
17;BactV5V7-BC205-31_S205_L001;Bact_S31;31;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;3.19006575715675;0.827259346562712
18;BactV5V7-BC215-61_S215_L001;Bact_S61;61;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.99328372330267;0.139573289378358
19;BactV5V7-BC216-62_S216_L001;Bact_S62;62;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.89459398495766;0.139573289378358
20;BactV5V7-BC217-63_S217_L001;Bact_S63;63;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.98041830017431;0.139573289378358
21;BactV5V7-BC223-78_S223_L001;Bact_S78;78;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.95698571736132;0.139573289378358
