Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
1;BactV5V7-BC1-6_S1_L001;Bact_S6;6;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.64940106540111;0.35593807492842
2;BactV5V7-BC10-23_S10_L001;Bact_S23;23;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.990547483501306;0.35593807492842
3;BactV5V7-BC13-33_S13_L001;Bact_S33;33;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.14743067770242;0.35593807492842
4;BactV5V7-BC14-37_S14_L001;Bact_S37;37;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.3459763046991;0.35593807492842
5;BactV5V7-BC16-40_S16_L001;Bact_S40;40;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.34976695874382;0.35593807492842
6;BactV5V7-BC17-42_S17_L001;Bact_S42;42;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.33058164643028;0.35593807492842
7;BactV5V7-BC19-44_S19_L001;Bact_S44;44;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.21093518791354;0.35593807492842
8;BactV5V7-BC193-1_S193_L001;Bact_S1;1;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.51566863622673;0.827259346562712
9;BactV5V7-BC194-2_S194_L001;Bact_S2;2;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;1.42885633116239;0.827259346562712
10;BactV5V7-BC195-3_S195_L001;Bact_S3;3;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.06687355726878;0.339095976275364
11;BactV5V7-BC196-4_S196_L001;Bact_S4;4;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.23167227822587;0.339095976275364
12;BactV5V7-BC197-5_S197_L001;Bact_S5;5;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.11394589686359;0.339095976275364
13;BactV5V7-BC2-7_S2_L001;Bact_S7;7;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;0.811824285985813;0.35593807492842
14;BactV5V7-BC20-47_S20_L001;Bact_S47;47;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.30361948972345;0.35593807492842
15;BactV5V7-BC203-29_S203_L001;Bact_S29;29;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;1.3863565662287;0.827259346562712
16;BactV5V7-BC204-30_S204_L001;Bact_S30;30;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;1.53486271111031;0.827259346562712
17;BactV5V7-BC205-31_S205_L001;Bact_S31;31;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.50273852067506;0.827259346562712
18;BactV5V7-BC215-61_S215_L001;Bact_S61;61;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.40085896323392;0.339095976275364
19;BactV5V7-BC216-62_S216_L001;Bact_S62;62;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.29934363089744;0.339095976275364
20;BactV5V7-BC217-63_S217_L001;Bact_S63;63;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.33565149647346;0.339095976275364
21;BactV5V7-BC223-78_S223_L001;Bact_S78;78;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.31578169123692;0.339095976275364
22;BactV5V7-BC224-79_S224_L001;Bact_S79;79;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.19699201629638;0.339095976275364
23;BactV5V7-BC225-80_S225_L001;Bact_S80;80;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.38553108744859;0.827259346562712
24;BactV5V7-BC226-82_S226_L001;Bact_S82;82;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.3404049805896;0.339095976275364
25;BactV5V7-BC227-83_S227_L001;Bact_S83;83;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.31188785638985;0.339095976275364
26;BactV5V7-BC228-84_S228_L001;Bact_S84;84;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.2362724410044;0.339095976275364
27;BactV5V7-BC229-85_S229_L001;Bact_S85;85;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.20402853187597;0.339095976275364
28;BactV5V7-BC230-95_S230_L001;Bact_S95;95;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.17383590532435;0.339095976275364
29;BactV5V7-BC231-87_S231_L001;Bact_S87;87;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.13237645935783;0.339095976275364
30;BactV5V7-BC232-88_S232_L001;Bact_S88;88;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.17548161417806;0.339095976275364
31;BactV5V7-BC233-90_S233_L001;Bact_S90;90;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.2756738505759;0.339095976275364
32;BactV5V7-BC234-91_S234_L001;Bact_S91;91;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.34746603398958;0.339095976275364
33;BactV5V7-BC235-92_S235_L001;Bact_S92;92;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.40443544020794;0.339095976275364
34;BactV5V7-BC236-93_S236_L001;Bact_S93;93;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.15371742890489;0.339095976275364
35;BactV5V7-BC237-94_S237_L001;Bact_S94;94;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.16872892902115;0.339095976275364
36;BactV5V7-BC238-86_S238_L001;Bact_S86;86;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.3036704798569;0.339095976275364
