Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
1;BactV5V7-BC1-6_S1_L001;Bact_S6;6;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.28621964521079;0.141644690295136
2;BactV5V7-BC13-33_S13_L001;Bact_S33;33;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.16837094270725;0.141644690295136
3;BactV5V7-BC14-37_S14_L001;Bact_S37;37;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.12398832368435;0.141644690295136
4;BactV5V7-BC16-40_S16_L001;Bact_S40;40;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.1236048847668;0.141644690295136
5;BactV5V7-BC17-42_S17_L001;Bact_S42;42;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.17853509025445;0.141644690295136
6;BactV5V7-BC19-44_S19_L001;Bact_S44;44;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.48069700271605;0.141644690295136
7;BactV5V7-BC193-1_S193_L001;Bact_S1;1;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.8564800419285;0.0495346134356268
8;BactV5V7-BC194-2_S194_L001;Bact_S2;2;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;2.08812744647772;0.0495346134356268
9;BactV5V7-BC195-3_S195_L001;Bact_S3;3;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.1767021224837;0.139573289378358
10;BactV5V7-BC196-4_S196_L001;Bact_S4;4;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.11596935712306;0.139573289378358
11;BactV5V7-BC197-5_S197_L001;Bact_S5;5;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.00189174287315;0.139573289378358
12;BactV5V7-BC2-7_S2_L001;Bact_S7;7;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;2.04099211984779;0.141644690295136
13;BactV5V7-BC20-47_S20_L001;Bact_S47;47;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.39030762282096;0.141644690295136
14;BactV5V7-BC203-29_S203_L001;Bact_S29;29;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;1.91261193401122;0.0495346134356268
15;BactV5V7-BC204-30_S204_L001;Bact_S30;30;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;2.11353312279723;0.0495346134356268
16;BactV5V7-BC205-31_S205_L001;Bact_S31;31;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.90744794110711;0.0495346134356268
17;BactV5V7-BC215-61_S215_L001;Bact_S61;61;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.06905772213895;0.139573289378358
18;BactV5V7-BC216-62_S216_L001;Bact_S62;62;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.13388203486773;0.139573289378358
19;BactV5V7-BC217-63_S217_L001;Bact_S63;63;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.23069758897175;0.139573289378358
20;BactV5V7-BC223-78_S223_L001;Bact_S78;78;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.1692674683419;0.139573289378358
21;BactV5V7-BC224-79_S224_L001;Bact_S79;79;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;2.24593060098455;0.139573289378358
22;BactV5V7-BC225-80_S225_L001;Bact_S80;80;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.85588696281706;0.0495346134356268
23;BactV5V7-BC226-82_S226_L001;Bact_S82;82;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.09454403608021;0.139573289378358
24;BactV5V7-BC227-83_S227_L001;Bact_S83;83;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.1737498713578;0.139573289378358
25;BactV5V7-BC228-84_S228_L001;Bact_S84;84;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.11858703381034;0.139573289378358
26;BactV5V7-BC229-85_S229_L001;Bact_S85;85;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;2.00643681163101;0.139573289378358
