X0319.7L14;X4.29.1;AD3;AKAU4049;Acidimicrobiia;Acidobacteriia;Actinobacteria;Alphaproteobacteria;Ambiguous_taxa;Anaerolineae;Armatimonadia;BD2.11.terrestrial.group;Babeliae;Bacilli;Bacteroidia;Blastocatellia..Subgroup.4.;CPR2;Chlamydiae;Chloroflexia;Clostridia;Coriobacteriia;Dadabacteriia;Deferribacteres;Dehalococcoidia;Deinococci;Deltaproteobacteria;Elusimicrobia;Entotheonellia;Erysipelotrichia;Fibrobacteria;Fimbriimonadia;Fusobacteriia;Gammaproteobacteria;Gemmatimonadetes;Gitt.GS.136;Holophagae;Ignavibacteria;JG30.KF.CM66;KD4.96;Ktedonobacteria;Latescibacteria;Leptospirae;Limnochordia;Lineage.IIa;Lineage.IIb;Longimicrobia;MB.A2.108;Mollicutes;NC10;Negativicutes;Nitrospira;OM190;Oxyphotobacteria;P2.11E;Parcubacteria;Phycisphaerae;Pla4.lineage;Planctomycetacia;Rhodothermia;Rubrobacteria;S0134.terrestrial.group;SHA.26;Saccharimonadia;Sericytochromatia;Subgroup.11;Subgroup.15;Subgroup.17;Subgroup.22;Subgroup.25;Subgroup.5;Subgroup.6;TK10;Thermoanaerobaculia;Thermoleophilia;Verrucomicrobiae;candidate.division.Zixibacteria.bacterium.RBG.1;metagenome;uncultured;uncultured.Pelobacter.sp.;uncultured.bacterium;uncultured.soil.bacterium;vadinHA49
BactV5V7-BC29-70_S29_L001;0;0;0;0;0;0;1588;23;0;0;0;0;0;793;35;0;0;3;0;13;0;0;0;0;0;3;0;0;0;0;0;0;1636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;0;0;0;0;11;0;4494;266;0;0;0;0;11;7467;298;0;0;12;0;131;0;0;0;0;0;312;0;0;0;0;0;0;3341;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;13;0;0;0;0;0;0;0;0
BactV5V7-BC6-15_S6_L001;0;0;0;0;5;40;4632;1120;0;0;0;0;0;2047;829;0;0;6;6;241;0;0;0;0;0;106;0;0;0;0;8;4;11519;0;0;15;0;0;0;9;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;14;0;18;0;121;0;0;0;0;0;0;0;0
BactV5V7-BC24-57_S24_L001;0;0;0;0;6;51;5706;601;0;0;0;0;32;10184;50;0;0;12;0;146;0;0;0;0;0;391;0;0;0;0;0;0;4703;11;0;10;0;0;0;0;0;0;0;11;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0;0;0;0;0;0;4369;813;0;0;0;0;5;537;267;0;0;24;0;32;0;0;0;10;0;207;0;0;0;0;0;0;16735;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC79-219_S79_L001;0;0;0;0;27;8;303;1110;0;0;0;0;0;511;207;0;0;3;0;583;0;0;0;0;0;276;0;0;0;0;0;0;20102;12;0;0;2;0;0;0;0;0;0;0;0;0;27;0;0;85;29;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;13;0;10;0;121;17;0;0;0;0;0;0;0
BactV5V7-BC8-18_S8_L001;0;0;0;0;14;86;1324;1879;0;0;0;0;6;1746;6243;0;0;7;22;303;0;0;0;0;0;799;0;0;0;0;12;0;11234;12;0;23;0;0;0;42;0;0;0;0;0;0;14;0;0;15;0;0;0;0;0;11;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;4;66;36;0;0;0;0;0;0;0
BactV5V7-BC72-203_S72_L001;0;0;0;0;0;0;1135;685;0;0;0;0;4;546;11733;0;0;5;0;269;0;0;0;0;0;206;0;0;0;0;0;0;9454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC66-197_S66_L001;0;0;0;0;11;0;12697;1560;0;0;0;0;15;2712;1790;0;0;21;8;326;0;0;0;0;11;461;0;0;0;9;9;0;4859;24;0;7;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;7;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
BactV5V7-BC197-5_S197_L001;5;0;0;13;189;439;1782;4174;0;5;9;0;4;205;1681;8;0;0;292;57;0;0;0;54;2;1244;0;14;0;46;15;0;12821;262;0;108;11;0;0;10;0;0;0;0;0;24;97;0;0;0;151;0;0;0;0;9;13;0;0;0;0;0;20;9;63;0;0;10;0;134;0;415;22;1048;279;0;0;0;0;10;13;0
