V1;X01D2Z36;X0319.6G20;X053A03.B.DI.P58;X27F.1492R;X37.13;X67.14;A0839;A21b;A4b;AB1;AKIW781;AKYH767;Acetobacteraceae;Acidiferrobacteraceae;Acidimicrobiaceae;Acidobacteriaceae..Subgroup.1.;Acidothermaceae;Actinobacteria.bacterium.RBG_13_63_9;Actinomycetaceae;Aerococcaceae;Aeromonadaceae;Alicyclobacillaceae;Alteromonadaceae;Ambiguous_taxa;Amoebophilaceae;Archangiaceae;Ardenticatenaceae;Atopobiaceae;Azospirillaceae;B1.7BS;BIrii41;BSV26;Babeliaceae;Bacillaceae;Bacteriovoracaceae;Bacteroidetes.vadinHA17;Bdellovibrionaceae;Beggiatoaceae;Beijerinckiaceae;Bifidobacteriaceae;Blfdi19;Brevibacteriaceae;Burkholderiaceae;CPla.3.termite.group;Caedibacteraceae;Caldicoprobacteraceae;Caldilineaceae;Cardiobacteriaceae;Carnobacteriaceae;Catenulisporaceae;Caulobacteraceae;Cellulomonadaceae;Cellvibrionaceae;Chitinimonadaceae;Chitinophagaceae;Chlamydiaceae;Chloroflexaceae;Christensenellaceae;Chromobacteriaceae;Chthoniobacteraceae;Clostridiaceae.1;Clostridiaceae.2;Clostridiaceae.3;Clostridiales.Incertae.Sedis;Clostridiales.vadinBB60.group;Corynebacteriaceae;Coxiellaceae;Criblamydiaceae;Crocinitomicaceae;Cryptosporangiaceae;Cyclobacteriaceae;Cytophagaceae;D05.2;Deferribacteraceae;Defluviitaleaceae;Deinococcaceae;Demequinaceae;Dermabacteraceae;Desulfarculaceae;Desulfobulbaceae;Desulfovibrionaceae;Desulfuromonadaceae;Devosiaceae;Diplorickettsiaceae;Dongiaceae;Eel.36e1D6;Elsteraceae;Enterobacteriaceae;Enterococcaceae;Entotheonellaceae;Erysipelotrichaceae;Eubacteriaceae;FFCH16767;FFCH9454;Family.X;Family.XI;Family.XII;Family.XIII;Family.XVIII;Fibrobacteraceae;Fimbriimonadaceae;Flavobacteriaceae;Frankiaceae;Fusobacteriaceae;GWF2.29.10;Gaiellaceae;Gallionellaceae;Geminicoccaceae;Gemmataceae;Gemmatimonadaceae;Geobacteraceae;Geodermatophilaceae;Gracilibacteraceae;Haliangiaceae;Halieaceae;Halomonadaceae;Haloplasmataceae;Halothiobacillaceae;Heliobacteriaceae;Herpetosiphonaceae;Holophagaceae;Holosporaceae;Hydrogenophilaceae;Hymenobacteraceae;Hyphomicrobiaceae;Hyphomonadaceae;Iamiaceae;Ilumatobacteraceae;Inquilinaceae;Intrasporangiaceae;Isosphaeraceae;JG30.KF.AS9;JG30.KF.CM45;KD3.10;KD3.93;KF.JG30.B3;Kaistiaceae;Kineosporiaceae;Koribacteraceae;Ktedonobacteraceae;Labraceae;Lachnospiraceae;Lactobacillaceae;Latescibacteraceae;Legionellaceae;Lentimicrobiaceae;Leptospiraceae;Leptotrichiaceae;LiUU.11.161;Limnochordaceae;Lolium.perenne;Longimicrobiaceae;MSB.4B10;Magnetospiraceae;Magnetospirillaceae;Methylacidiphilaceae;Methylococcaceae;Methyloligellaceae;Methylophilaceae;Micavibrionaceae;Microbacteriaceae;Micrococcaceae;Micromonosporaceae;Micropepsaceae;Microscillaceae;Microtrichaceae;Midichloriaceae;Mitochondria;Moraxellaceae;Mycobacteriaceae;Myxococcaceae;NS11.12.marine.group;NS9.marine.group;Nakamurellaceae;Nannocystaceae;Neisseriaceae;Nitrosococcaceae;Nitrosomonadaceae;Nitrospiraceae;Nocardiaceae;Nocardioidaceae;Nocardiopsaceae;Oligoflexaceae;Opitutaceae;P3OB.42;Paenibacillaceae;Paludibacteraceae;Paracaedibacteraceae;Parachlamydiaceae;Parvibaculaceae;Pasteurellaceae;Pasteuriaceae;Pedosphaeraceae;Peptococcaceae;Peptostreptococcaceae;Phaselicystidaceae;Phycisphaeraceae;Pirellulaceae;Piscirickettsiaceae;Planococcaceae;Pleomorphomonadaceae;Polyangiaceae;Porphyromonadaceae;Prevotellaceae;Procabacteriaceae;Prolixibacteraceae;Promicromonosporaceae;Propionibacteriaceae;Pseudohongiellaceae;Pseudomonadaceae;Pseudonocardiaceae;Pyrinomonadaceae;Reyranellaceae;Rhizobiaceae;Rhizobiales.Incertae.Sedis;Rhodanobacteraceae;Rhodobacteraceae;Rhodocyclaceae;Rhodomicrobiaceae;Rhodopirillaceae;Rhodospirillaceae;Rhodothermaceae;Rickettsiaceae;Rikenellaceae;Roseiflexaceae;Rubrobacteriaceae;Ruminococcaceae;SC.I.84;SM2D12;SRB2;Saccharimonadaceae;Saccharum.hybrid.cultivar;Sandaracinaceae;Sanguibacteraceae;Saprospiraceae;Schlesneriaceae;Simkaniaceae;Solibacteraceae..Subgroup.3.;Solimonadaceae;Solirubrobacteraceae;Sphingobacteriaceae;Sphingomonadaceae;Spirosomaceae;Spongiibacteraceae;Sporichthyaceae;Staphylococcaceae;Steroidobacteraceae;Streptococcaceae;Streptomycetaceae;Streptosporangiaceae;Syntrophaceae;Syntrophomonadaceae;TRA3.20;Tepidisphaeraceae;Thermoactinomycetaceae;Thermoanaerobaculaceae;Thermomonosporaceae;Trueperaceae;UBA12409;UBA12411;URHD0088;Unknown.Family;VHS.B3.70;Veillonellaceae;Vermiphilaceae;Verrucomicrobiaceae;Vibrionaceae;Vulgatibacteraceae;WD2101.soil.group;Weeksellaceae;Woeseiaceae;Xanthobacteraceae;Xanthomonadaceae;Xiphinematobacteraceae;bac2nit3;bacteriap25;bacterium.Ellin6089;bacterium.enrichment.culture.clone.B30.2011.;cvE6;env.OPS.17;groundwater.metagenome;metagenome;mle1.27;possible.family.01;uncultured;uncultured.Acetobacteraceae.bacterium;uncultured.Acidimicrobiales.bacterium;uncultured.Acidimicrobidae.bacterium;uncultured.Aciditerrimonas.sp.;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriaceae.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Acidobacterium.sp.;uncultured.Acidothermaceae.bacterium;uncultured.Actinomycetales.bacterium;uncultured.Bradyrhizobiaceae.bacterium;uncultured.Candidatus.Saccharibacteria.bacterium;uncultured.Chloroflexi.bacterium;uncultured.Desulfoglaeba.sp.;uncultured.Green.Bay.ferromanganous.micronodule.bacterium.MND8;uncultured.Ignavibacterium.sp.;uncultured.Nakamurellaceae.bacterium;uncultured.Rhodospirillaceae.bacterium;uncultured.Rhodospirillales.bacterium;uncultured.Syntrophobacteraceae.bacterium;uncultured.Termite.group.1.bacterium;uncultured.Thermaerobacter.sp.;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.bacterium..0319.6E22;uncultured.bacterium.KF.JG30.B11;uncultured.bacterium.SBR2096;uncultured.bacterium.SBRH58;uncultured.bacterium.gp7;uncultured.candidate.division.SBR1093.bacterium;uncultured.delta.proteobacterium;uncultured.gamma.proteobacterium;uncultured.organism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC29-70_S29_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;289;0;0;0;0;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;16;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;1286;16;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;3;0;95;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;3765;31;0;9;6;0;0;0;0;1148;0;0;0;0;0;0;0;83;6;0;0;231;0;0;0;0;0;107;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;15;58;0;0;0;163;0;0;0;6;0;12;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;6;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;15;0;0;21;8;0;8;21;55;0;0;0;0;81;0;4;0;0;0;0;0;37;0;12;0;10;5;0;23;0;0;3437;0;0;12;0;0;0;0;0;0;0;0;0;0;164;0;125;0;0;0;17;0;21;0;1805;320;0;0;23;0;0;9;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;4;0;4012;0;0;0;0;0;12;0;20;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC6-15_S6_L001;18;0;24;0;0;0;10;0;0;0;0;0;0;124;0;0;0;0;0;6;0;0;373;13;0;0;6;0;0;0;0;5;0;0;907;0;0;5;0;15;0;0;0;4331;0;0;0;0;0;0;0;109;0;0;0;684;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;16;15;0;0;291;0;0;0;0;0;0;0;4;0;0;0;0;8;88;0;4;0;45;0;2;0;0;33;8;10;12;0;0;0;0;0;0;7;4;0;28;8;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;78;0;17;63;42;0;7;0;0;395;0;31;0;0;0;8;0;17;0;20;6;16;79;0;0;0;0;573;0;0;0;0;35;0;0;22;0;0;0;0;0;0;0;17;0;2;0;0;0;96;5;6563;20;0;3;42;0;28;57;19;0;0;0;0;7;0;6;4;7;0;0;0;0;0;4;0;0;0;6;8;0;22;0;192;0;0;0;21;0;136;4218;0;0;0;0;0;9;0;12;0;0;0;0;60;0;0;0;0;0;0;0;16;0;69;35;0;0;0;0;0;0;4;0;8;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC24-57_S24_L001;11;0;201;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;786;34;18;0;0;0;0;282;0;0;0;0;3756;0;0;0;11;0;0;0;0;4017;0;0;0;0;0;0;0;12;0;0;0;16;0;0;0;0;0;96;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;109;5;0;0;32;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;16;0;0;0;11;109;0;0;0;0;0;0;0;0;0;10;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;28;0;0;56;21;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;11;4900;33;14;27;0;0;5474;0;0;12;0;0;0;0;0;0;0;0;0;0;98;0;36;0;0;0;0;0;15;0;342;18;0;38;16;0;35;0;14;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;44;10;5;635;0;0;0;18;0;21;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;34;0;0;0;0;30;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;369;0;0;0;0;0;0;0;0;0;0;277;11;0;3;0;0;0;0;0;662;0;0;0;0;0;0;0;8;0;46;0;15;0;0;20;0;0;12;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;23;0;0;6;23;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;219;0;159;0;5;527;0;0;0;0;0;0;0;0;0;3;0;0;13;0;72;0;0;214;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;21;0;0;0;0;15510;941;0;0;160;0;0;0;9;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;4;0;0;0;0;50;0;3176;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;52;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC79-219_S79_L001;62;0;33;0;0;0;4;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;42;17;0;0;2;0;0;22;0;0;0;0;285;0;0;17;0;23;0;0;0;1393;0;0;0;0;0;0;0;108;0;0;0;20;0;0;0;0;0;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;0;0;18;0;0;4360;8;0;0;0;0;0;0;5;0;0;0;0;0;130;0;0;0;56;9;0;0;12;135;10;0;2;0;0;0;0;0;0;0;6;0;11;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;17;0;0;0;22;0;0;35;0;0;506;0;21;0;0;0;0;0;20;0;0;29;0;6;0;9;0;0;176;0;10;0;0;0;0;17;4;0;0;0;0;0;0;0;39;0;0;22;0;0;6;0;14073;0;0;0;154;0;0;0;39;0;0;0;0;10;0;0;0;23;45;0;0;0;0;0;0;0;0;3;8;0;0;0;74;0;0;0;0;7;0;238;0;0;0;5;0;0;0;0;0;0;0;0;15;0;85;0;0;0;0;0;11;0;51;33;0;0;2;0;0;0;0;0;2;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC8-18_S8_L001;0;0;59;0;0;0;9;0;32;0;0;0;0;0;0;0;25;0;0;0;0;0;163;21;0;0;0;0;0;0;0;89;0;0;743;123;0;97;0;0;0;0;0;5777;0;0;0;0;0;0;0;337;0;33;0;211;0;0;7;0;0;196;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236;26;48;0;0;357;38;0;0;0;0;0;0;0;0;0;0;0;12;5929;0;0;0;30;0;0;0;12;32;0;6;265;0;0;0;0;0;0;4;0;0;9;14;17;0;5;0;12;0;0;0;4;4;0;0;3;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;24;69;0;28;22;143;72;12;0;18;144;8;84;9;0;0;0;39;5;0;5;0;0;72;0;19;0;0;800;0;15;4;0;0;0;36;0;57;0;11;0;0;0;11;46;0;0;7;0;0;26;0;3797;286;0;20;380;0;115;0;9;0;0;0;0;5;0;22;0;11;43;0;0;77;0;0;0;0;0;3;61;0;12;9;121;0;0;0;0;0;0;516;0;2;0;0;0;0;4;119;0;0;0;0;197;0;15;6;0;0;0;0;27;0;361;610;0;0;8;0;0;0;34;0;8;0;0;15;0;0;0;0;0;0;0;0;0;0;0;13;11;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC72-203_S72_L001;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;16;0;0;0;0;295;3;0;0;3;0;0;0;0;2650;0;0;0;0;0;0;0;171;101;109;0;379;0;0;0;0;0;167;0;0;0;0;0;0;0;5;0;0;45;0;0;0;0;0;0;0;0;0;0;41;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;13;0;0;262;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;9;0;5;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;0;0;6283;0;0;0;132;0;0;0;5;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;223;6;1028;0;0;0;0;0;0;0;0;0;0;0;0;24;0;597;0;0;0;0;0;0;0;39;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC66-197_S66_L001;7;0;176;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;105;7;0;0;0;0;0;28;0;0;0;0;1215;11;0;0;0;9;0;0;0;4284;0;5;0;0;0;0;0;361;9;34;0;1613;0;0;0;0;0;135;0;0;0;0;29;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;11;99;14;0;0;5;62;0;0;0;0;0;0;17;0;0;0;9;9;24;0;0;0;8;0;7;0;24;37;0;4;0;0;0;0;0;0;0;7;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;9;0;0;0;0;24;0;0;0;0;0;5;47;31;2;20;0;0;13;5;7;0;0;0;0;0;0;0;0;0;3125;25;0;38;0;3;1255;0;27;12;0;0;0;0;0;0;0;0;0;0;56;0;187;0;0;0;0;0;7;0;166;35;0;15;957;0;0;5;24;0;0;0;0;26;0;8;0;103;0;0;0;147;0;0;0;0;0;0;0;0;0;10;14;0;0;0;0;0;7;9377;0;0;0;8;0;4;0;0;11;0;0;0;197;0;0;0;0;0;0;0;109;0;5;7;0;0;0;0;0;9;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC197-5_S197_L001;568;0;36;0;0;0;236;0;129;0;0;0;0;9;0;10;33;0;3;0;0;0;15;27;38;0;117;0;0;54;0;49;0;0;127;39;0;56;0;103;0;3;0;9624;0;0;0;0;0;0;3;465;8;105;0;10;0;12;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;54;0;0;10;220;0;70;0;0;14;0;14;0;0;0;0;0;0;0;2;0;46;15;1139;12;0;0;348;0;2;0;262;265;80;24;50;0;0;0;0;7;8;0;0;0;400;70;11;11;58;6;227;0;0;0;0;18;15;0;0;36;0;8;0;0;0;0;0;0;0;0;0;0;24;0;0;36;0;0;127;39;0;57;392;199;88;24;0;0;0;7;174;237;0;0;23;3;0;0;333;151;0;355;0;0;0;20;63;0;8;0;0;0;0;279;0;3;6;9;0;0;0;0;172;0;0;0;52;0;11;0;564;40;0;40;799;30;84;0;140;0;0;0;0;0;0;272;0;0;1034;0;0;0;0;0;0;0;0;0;269;10;76;0;1063;0;0;21;0;181;0;123;16;0;0;43;0;0;22;29;0;0;0;0;55;0;0;0;0;0;20;0;15;9;828;295;0;0;13;0;0;0;23;0;6;5;0;480;0;0;0;0;0;0;17;14;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;133;3;0;0;0;0;0;2;0;0;0;0;14
