V1;X11.24;X211ds20;Acetobacterales;Acidiferrobacterales;Acidimicrobiales;Acidobacteriales;Actinomarinales;Actinomycetales;Aeromonadales;Alteromonadales;Ambiguous_taxa;Ardenticatenales;Armatimonadales;Azospirillales;BD72BR169;Babeliales;Bacillales;Bacteroidales;Bacteroidetes.VC2.1.Bac22;Bdellovibrionales;Beggiatoales;Betaproteobacteriales;Bifidobacteriales;C0119;CCD24;CCM11a;Caedibacterales;Caldilineales;Candidatus.Adlerbacteria;Candidatus.Kaiserbacteria;Cardiobacteriales;Catenulisporales;Caulobacterales;Cellvibrionales;Chitinophagales;Chlamydiales;Chloroflexales;Chloroflexi.bacterium.JEA33;Chloroplast;Chthoniobacterales;Clostridiales;Coriobacteriales;Corynebacteriales;Coxiellales;Cyanobacteria.Melainabacteria.group.bacterium.S15B.MN24.CBMW_12;Cytophagales;Dadabacteriales;Deferribacterales;Deinococcales;Desulfarculales;Desulfobacterales;Desulfovibrionales;Desulfuromonadales;Diplorickettsiales;Dongiales;EC3;Elev.16S.976;Elsterales;Enterobacteriales;Entotheonellales;Erysipelotrichales;F9P41300.M23;Fibrobacterales;Fimbriimonadales;Flavobacteriales;Frankiales;Fusobacteriales;Ga0077536;Gaiellales;Gammaproteobacteria.Incertae.Sedis;Gemmatales;Gemmatimonadales;Haloplasmatales;Halothiobacillales;Holophagales;Holosporales;IMCC26256;Ignavibacteriales;Isosphaerales;JG36.TzT.191;KI89A.clade;Kallotenuales;Kineosporiales;Kryptoniales;Ktedonobacterales;Lactobacillales;Latescibacterales;Legionellales;Leptospirales;Limnochordales;Lineage.IV;Longimicrobiales;MBA03;MBNT15;MVP.88;Methylacidiphilales;Methylococcales;Micavibrionales;Micrococcales;Micromonosporales;Micropepsales;Microtrichales;Myxococcales;NB1.j;Nitrosococcales;Nitrospirales;OPB41;OPB56;Oceanospirillales;Oligoflexales;Opitutales;PB19;PLTA13;Paracaedibacterales;Parvibaculales;Pasteurellales;PeM15;Pedosphaerales;Phycisphaerales;Pirellulales;Piscirickettsiales;Planctomycetales;Propionibacteriales;Pseudomonadales;Pseudonocardiales;Puniceispirillales;Pyrinomonadales;R7C24;RCP2.54;Reyranellales;Rhizobiales;Rhodobacterales;Rhodospirillales;Rhodothermales;Rickettsiales;Rokubacteriales;Rubrobacterales;S085;SAR202.clade;SAR324.clade.Marine.group.B.;SBR1031;SJA.15;SJA.28;SM1A07;Saccharimonadales;Salinisphaerales;Selenomonadales;Solibacterales;Solirubrobacterales;Sphingobacteriales;Sphingomonadales;Steroidobacterales;Streptomycetales;Streptosporangiales;Subgroup.12;Subgroup.2;Subgroup.7;Syntrophobacterales;TX1A.33;Tepidisphaerales;Thermoanaerobacterales;Thermoanaerobaculales;Thermomicrobiales;Tistrellales;Verrucomicrobiales;Vibrionales;Xanthomonadales;bacterium.LWH54;metagenome;planctomycete.A.2;uncultured;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Actinomycetales.bacterium;uncultured.Anaerolineales.bacterium;uncultured.Antarctic.bacterium.LB3.13;uncultured.Armatimonadetes.bacterium;uncultured.Bellilinea.sp.;uncultured.Caldilineae.bacterium;uncultured.Catenuloplanes.sp.;uncultured.Chloroflexi.bacterium;uncultured.Clostridium.sp.;uncultured.Dehalococcoidia.bacterium;uncultured.Dehalogenimonas.sp.;uncultured.Elusimicrobia.bacterium;uncultured.Gemmatimonadales.bacterium;uncultured.Gemmatimonadetes.bacterium;uncultured.Halanaerobiaceae.bacterium;uncultured.Holophaga.sp.;uncultured.Micromonospora.sp.;uncultured.Nocardioidaceae.bacterium;uncultured.Planctomycetaceae.bacterium;uncultured.Planctomycetales.bacterium;uncultured.Streptomyces.sp.;uncultured.Termite.group.1.bacterium;uncultured.Truepera.sp.;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.bacterium..0319.7F19;uncultured.bacterium..0425.2M17;uncultured.bacterium.17F9;uncultured.bacterium.246;uncultured.cyanobacterium;uncultured.microorganism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC29-70_S29_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;13;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;33;1286;16;0;0;0;0;0;11;0;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;0;0;0;0;0;11;0;0;0;0;0;3;0;0;0;0;11;7467;17;0;40;6;1205;0;0;0;0;0;0;0;0;0;0;83;0;231;12;0;0;0;0;131;0;17;0;0;0;0;0;0;0;0;0;29;58;0;0;0;0;163;0;0;0;0;0;38;9;0;0;13;42;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;35;55;0;0;125;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;26;1805;320;0;0;0;0;0;59;9;15;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;4;4012;20;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC6-15_S6_L001;0;0;0;124;0;0;0;0;6;0;13;8;0;0;5;0;0;1883;2;0;5;0;4467;0;9;0;0;0;0;0;0;0;0;109;0;684;6;6;0;0;0;241;0;47;0;0;35;0;0;0;0;0;0;33;16;15;0;0;0;291;0;0;0;0;8;104;16;4;0;89;60;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;96;42;0;0;44;0;0;6;0;0;5;24;0;0;0;0;0;35;0;0;0;0;0;0;175;6563;20;0;0;0;0;3;183;57;0;0;402;0;4;0;0;0;0;0;0;0;0;0;0;8;32;4;192;0;4218;12;0;32;8;0;0;0;0;0;0;2;0;0;63;0;0;0;29;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC24-57_S24_L001;0;0;0;0;0;0;0;0;0;0;34;0;0;0;282;0;32;10179;0;0;0;11;4105;0;0;0;0;0;0;0;0;0;0;12;0;16;12;0;0;0;0;146;0;4914;0;0;0;0;0;0;0;0;0;120;109;5;0;0;0;32;0;0;0;0;0;0;0;0;0;46;12;0;11;0;0;10;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;7;0;0;0;0;56;21;0;0;36;0;0;11;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;48;342;18;0;0;0;0;38;76;0;0;0;148;0;0;0;0;0;0;0;0;0;2;0;0;0;0;34;40;10;635;14;0;51;0;0;0;0;0;0;0;0;0;0;35;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0;0;0;0;0;0;0;0;0;0;369;0;0;0;0;0;5;514;0;0;14;0;695;0;0;0;0;0;0;0;0;0;0;8;46;15;24;0;0;0;0;32;0;20;0;0;159;0;0;0;0;0;0;12;4;23;0;0;0;6;0;0;0;0;0;93;0;0;0;0;48;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;219;0;0;78;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;13;15510;941;0;0;0;0;0;183;0;52;0;543;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;4;50;3176;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC79-219_S79_L001;0;0;0;0;0;0;0;0;0;0;17;48;0;0;22;0;0;503;0;0;17;0;1542;0;0;0;0;0;0;0;0;0;0;116;0;20;3;0;0;0;0;583;0;21;0;0;46;0;0;0;0;3;13;135;0;18;0;0;0;4360;0;0;0;0;0;141;10;0;0;105;15;0;12;0;0;0;6;15;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;6;0;0;0;5;22;0;0;12;53;0;0;29;0;2;0;42;0;0;0;10;0;0;0;17;0;0;0;0;12;14073;0;0;0;0;0;0;245;0;98;0;516;0;0;0;0;0;0;0;0;0;0;0;85;8;4;0;74;7;238;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
BactV5V7-BC8-18_S8_L001;0;0;0;0;0;0;25;0;0;0;21;0;0;0;0;0;6;1708;0;8;220;0;5947;0;42;0;0;0;0;0;0;0;0;354;33;211;7;22;0;0;0;303;0;97;0;0;21;0;0;0;0;0;0;37;26;48;0;0;0;357;0;0;0;0;12;5956;0;0;0;45;197;0;12;0;0;4;0;0;0;0;0;0;0;3;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;62;143;72;5;460;0;0;0;0;0;0;78;0;0;0;15;0;0;0;36;11;0;0;0;98;3805;286;0;0;61;0;20;1048;0;34;0;167;0;0;0;0;0;0;0;0;0;113;0;15;61;21;47;121;0;516;119;0;0;19;2;0;0;0;4;0;0;0;0;725;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC72-203_S72_L001;0;0;0;0;0;0;0;0;0;0;77;0;0;0;16;6;4;540;9;0;3;3;2655;0;0;0;0;0;0;0;0;0;0;171;109;379;5;0;0;0;0;269;0;0;0;0;58;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;11284;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;183;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;6296;0;0;0;0;0;0;216;0;0;0;262;0;0;0;0;0;0;0;0;0;0;0;597;0;0;3;0;223;1028;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC66-197_S66_L001;0;0;0;10;0;0;0;0;0;0;7;7;0;0;28;0;15;2643;0;0;11;0;4329;0;0;0;0;5;0;0;0;0;0;361;34;1613;21;8;0;0;0;326;0;3161;0;0;20;0;0;11;0;0;0;37;99;14;0;0;0;5;0;0;0;9;9;147;0;0;0;8;197;0;24;0;0;7;0;0;0;0;0;0;0;0;0;0;69;0;0;0;9;0;0;0;0;0;0;0;0;61;31;2;0;195;0;0;0;0;0;0;214;0;0;0;27;0;0;0;0;0;0;0;0;32;171;35;0;0;0;0;15;982;5;24;0;39;0;0;0;0;0;0;0;0;0;159;0;0;0;0;10;14;0;9377;0;0;0;0;0;0;0;0;0;0;7;0;0;7;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC197-5_S197_L001;23;8;0;9;0;10;150;0;0;0;27;361;0;9;86;0;4;205;52;0;95;0;11364;0;10;27;0;0;0;0;0;0;3;476;105;10;0;292;10;0;0;57;0;174;0;0;424;0;0;2;54;0;0;275;0;70;0;0;0;14;14;0;0;46;15;1154;148;0;0;736;55;0;262;0;0;0;0;72;0;0;0;13;0;0;0;0;0;0;0;0;0;0;24;0;5;0;0;0;4;684;199;88;107;752;8;0;151;0;11;0;36;0;0;60;8;0;0;0;279;9;0;0;0;366;571;40;0;0;0;0;40;2275;0;36;0;0;0;0;54;0;0;0;0;0;0;20;10;0;269;312;41;1063;190;123;45;0;20;108;0;0;0;0;22;0;2;0;0;379;0;62;0;17;0;0;0;0;0;0;5;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;85;0;0;0;0;0;0;0;0;0
