Acidobacteria;Actinobacteria;Armatimonadetes;Bacteroidetes;Chlamydiae;Chloroflexi;Cyanobacteria;Dadabacteria;Deferribacteres;Deinococcus.Thermus;Dependentiae;Elusimicrobia;Entotheonellaeota;FBP;Fibrobacteres;Firmicutes;Fusobacteria;Gemmatimonadetes;Latescibacteria;Nitrospirae;Omnitrophicaeota;Patescibacteria;Planctomycetes;Proteobacteria;Rokubacteria;Spirochaetes;Tenericutes;Verrucomicrobia;Zixibacteria
BactV5V7-BC29-70_S29_L001;0;1588;0;35;3;0;0;0;0;0;0;0;0;0;0;806;0;0;0;0;0;0;0;1662;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;0;4518;0;298;12;3;0;0;0;0;11;0;0;0;0;7598;0;6;0;0;0;0;0;3919;0;0;0;0;0
BactV5V7-BC6-15_S6_L001;69;4764;8;829;6;33;0;0;0;0;0;0;0;0;0;2288;4;0;0;6;0;0;0;12753;0;0;0;0;0
BactV5V7-BC24-57_S24_L001;61;5758;0;50;12;0;0;0;0;0;32;11;0;0;0;10330;0;11;0;11;0;2;0;5699;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0;4369;0;267;24;10;0;0;0;0;5;0;0;0;0;569;0;3;0;0;0;0;0;17764;0;0;0;0;0
BactV5V7-BC79-219_S79_L001;33;478;0;209;3;10;0;0;0;0;0;0;0;0;0;1179;0;12;0;29;0;0;0;21512;0;0;0;17;0
BactV5V7-BC8-18_S8_L001;113;1418;12;6243;7;64;0;0;0;0;6;0;0;0;0;2064;0;12;0;0;0;113;11;13941;0;0;0;36;0
BactV5V7-BC72-203_S72_L001;0;1135;0;11733;5;0;0;0;0;0;4;0;0;0;0;1414;0;0;0;0;0;0;0;10348;0;0;0;0;0
BactV5V7-BC66-197_S66_L001;7;12716;9;1790;21;8;7;0;0;11;15;0;0;0;9;3047;0;24;0;0;0;159;0;6880;0;0;0;0;0
BactV5V7-BC197-5_S197_L001;784;3132;24;1692;0;776;9;0;0;2;4;0;14;8;46;262;0;299;15;151;0;20;22;18239;0;0;0;279;0
BactV5V7-BC65-196_S65_L001;0;2218;0;10185;0;0;9;0;0;0;38;0;0;5;0;2069;0;4;0;0;0;13;27;11276;0;0;0;0;0
BactV5V7-BC64-195_S64_L001;33;10182;0;1528;152;10;0;0;0;0;3;0;0;0;0;3509;0;0;0;0;0;39;8;10513;0;0;0;27;0
BactV5V7-BC58-180_S58_L001;0;1082;0;1994;21;12;0;0;0;0;0;0;4;0;0;486;0;4;0;4;0;0;0;22483;0;0;0;0;0
BactV5V7-BC57-179_S57_L001;0;1432;0;329;75;0;0;0;0;0;16;0;0;0;0;3601;0;0;0;0;0;0;0;20646;0;0;0;0;0
BactV5V7-BC69-200_S69_L001;2;2527;0;1328;7;0;0;0;0;0;0;0;0;0;3;482;0;0;0;0;0;59;0;22169;0;0;0;0;0
BactV5V7-BC70-201_S70_L001;0;296;0;5856;16;0;0;0;0;0;0;4;0;0;0;685;0;0;0;0;0;0;0;19875;0;0;0;0;0
BactV5V7-BC73-205_S73_L001;0;589;0;115;11;0;0;0;0;0;36;0;0;0;0;445;0;0;0;0;0;12;0;25641;0;0;0;5;0
BactV5V7-BC78-218_S78_L001;5;1803;0;1662;18;0;0;0;0;0;36;0;0;0;0;2233;0;3;0;0;0;53;0;21486;0;0;0;6;0
BactV5V7-BC71-202_S71_L001;4;1594;0;1209;63;0;0;0;0;0;10;0;0;0;4;1539;0;0;0;0;0;20;0;22948;0;0;0;3;0
BactV5V7-BC30-73_S30_L001;7;16754;0;1571;27;0;0;0;0;0;24;0;0;0;0;3006;0;12;0;8;0;7;20;5947;0;0;0;14;0
BactV5V7-BC338-193_S338_L001;565;3225;37;2354;6;420;22;0;0;0;2;0;19;4;114;962;0;500;0;129;0;14;86;18967;0;8;0;365;0
BactV5V7-BC68-199_S68_L001;0;617;0;5933;4;0;0;0;0;0;0;0;0;0;10;254;0;0;0;0;0;25;0;21259;0;0;0;0;0
BactV5V7-BC19-44_S19_L001;27;6512;0;4636;10;6;0;0;0;0;27;0;0;0;0;2408;0;16;0;0;0;0;0;14486;0;0;0;2;0
BactV5V7-BC337-192_S337_L001;707;2574;75;2897;31;235;0;0;0;0;0;12;16;9;298;815;0;775;0;152;0;140;123;19019;0;0;0;587;0
BactV5V7-BC62-184_S62_L001;0;200;0;2752;25;0;0;0;0;0;11;0;0;0;0;657;0;0;0;0;0;68;0;24853;0;0;0;0;0
BactV5V7-BC67-198_S67_L001;3;2322;0;443;22;3;0;0;0;0;0;0;0;0;0;7978;0;0;0;0;0;3;0;17792;0;0;0;0;0
BactV5V7-BC340-204_S340_L001;407;1961;46;3125;6;171;31;0;0;0;0;2;0;13;203;1169;0;368;0;110;0;116;35;20568;0;0;0;303;0
BactV5V7-BC25-58_S25_L001;89;6709;0;2297;24;26;0;0;0;7;130;0;0;0;0;6749;0;35;0;3;0;84;0;12651;0;0;0;32;0
BactV5V7-BC56-178_S56_L001;389;7120;6;1190;16;179;162;0;0;0;0;4;28;0;11;2038;0;407;0;134;0;81;25;16910;0;0;0;152;0
BactV5V7-BC355-226_S355_L001;1282;5769;55;1689;20;541;16;0;0;3;8;0;65;2;23;1545;0;1154;12;375;0;16;73;15510;0;0;0;800;0
BactV5V7-BC2-7_S2_L001;47;4244;0;1905;24;28;0;0;0;0;20;0;0;0;0;713;0;33;0;20;0;6;7;21917;0;0;0;18;0
BactV5V7-BC20-47_S20_L001;11;8862;0;2012;17;22;0;0;0;0;12;0;0;0;0;6855;6;43;0;0;0;113;0;11167;0;0;0;0;0
BactV5V7-BC60-182_S60_L001;5;1123;4;1289;15;7;0;0;0;0;32;0;0;0;0;569;0;0;0;0;0;20;0;26222;0;0;0;0;0
BactV5V7-BC76-211_S76_L001;0;3802;0;1616;11;5;5;0;0;0;0;0;0;0;8;2569;0;8;0;0;0;21;9;21450;0;0;0;0;0
BactV5V7-BC26-59_S26_L001;22;3514;9;768;39;9;39;0;0;0;64;0;0;0;0;3835;0;12;6;0;0;0;0;21235;0;0;0;19;0
BactV5V7-BC224-79_S224_L001;668;3922;61;2290;7;332;36;0;0;0;0;0;27;0;55;836;0;705;15;195;0;17;3;20012;0;0;0;395;0
BactV5V7-BC28-68_S28_L001;23;7560;0;930;26;0;0;6;0;0;11;0;0;0;0;7464;0;0;0;0;0;0;0;13652;0;0;0;0;0
BactV5V7-BC59-181_S59_L001;0;392;0;402;5;0;0;0;0;0;0;0;0;0;4;1787;0;3;0;0;0;19;0;27472;0;0;0;0;0
