X0319.7L14;AKAU4049;Acidimicrobiia;Acidobacteriia;Actinobacteria;Alphaproteobacteria;Anaerolineae;Babeliae;Bacilli;Bacteroidia;Blastocatellia..Subgroup.4.;Chlamydiae;Chloroflexia;Clostridia;Dehalococcoidia;Deltaproteobacteria;Elusimicrobia;Entotheonellia;Fibrobacteria;Fimbriimonadia;Gammaproteobacteria;Gemmatimonadetes;Holophagae;Ignavibacteria;JG30.KF.CM66;Ktedonobacteria;Lineage.IIa;Longimicrobia;MB.A2.108;Negativicutes;Nitrospira;Phycisphaerae;Pla4.lineage;Rubrobacteria;S0134.terrestrial.group;SHA.26;Saccharimonadia;Sericytochromatia;Subgroup.11;Subgroup.22;Subgroup.25;Subgroup.5;TK10;Thermoanaerobaculia;Thermoleophilia;Verrucomicrobiae;uncultured.bacterium;uncultured.soil.bacterium;vadinHA49
BactV5V7-BC29-70_S29_L001;0;0;0;0;0.387884709330728;0.00561797752808989;0;0;0.193698094772838;0.00854909623839765;0;0.000732779677576942;0;0.00317537860283341;0;0.000732779677576942;0;0;0;0;0.399609184171959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;0;0;0.000672166208371525;0;0.274610449129239;0.0162542010388023;0;0.000672166208371525;0.456278643446379;0.018209593644974;0;0.00073327222731439;0;0.00800488848151543;0;0.0190650779101742;0;0;0;0;0.204155209288115;0.000366636113657195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000183318056828598;0;0.000794378246257256;0;0;0;0
BactV5V7-BC6-15_S6_L001;0;0;0.000240940632228219;0.00192752505782575;0.223207401696222;0.053970701619121;0;0;0.0986410948342328;0.0399479568234387;0;0.000289128758673863;0.000289128758673863;0.0116133384734002;0;0.00510794140323824;0;0;0;0.00038550501156515;0.555079028527371;0;0.000722821896684657;0;0;0.000433693138010794;0;0;9.63762528912876e-05;0;0.000289128758673863;0;0;0.000192752505782575;0;0;0;0;0;0;0;0.000674633770239013;0.000867386276021588;0;0.0058307632999229;0;0;0;0
BactV5V7-BC24-57_S24_L001;0;0;0.000273062394757202;0.00232103035543622;0.259682337414099;0.0273517498748464;0;0.00145633277203841;0.463477904701224;0.00227551995631002;0;0.000546124789514404;0;0.00664451827242525;0;0.0177945660583443;0;0;0;0;0.21403540709052;0.000500614390388204;0.000455103991262003;0;0;0;0.000500614390388204;0;0;0;0.000500614390388204;0;0;0;0;0;9.10207982524007e-05;0;0;0;0;0;0;0;0.00209347835980522;0;0;0;0
BactV5V7-BC74-209_S74_L001;0;0;0;0;0.189940005216938;0.0353447526302061;0;0.000217372402399791;0.0233457960177376;0.0116076862881489;0;0.001043387531519;0;0.00139118337535866;0.000434744804799583;0.00899921745935136;0;0;0;0;0.727545430832102;0.000130423441439875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC79-219_S79_L001;0;0;0.00115099326455793;0.000341035041350499;0.0129167021911501;0.0473186119873817;0;0;0.0217836132662631;0.00882428169494416;0;0.000127888140506437;0;0.0248529286384176;0;0.0117657089265922;0;0;0;0;0.856935800153466;0.000511552562025748;0;8.52587603376247e-05;0;0;0;0;0.00115099326455793;0.00362349731434905;0.00123625202489556;0;0;0;0;0;0;0;0.000511552562025748;0;0;0.00055418194219456;0.000426293801688123;0;0.00515815500042629;0.00072469946286981;0;0;0
BactV5V7-BC8-18_S8_L001;0;0;0.000583066094706593;0.00358169172462621;0.0551413935279663;0.0782557994252634;0;0.000249885469159968;0.0727166715255508;0.260005830660947;0;0.000291533047353296;0.000916246720253217;0.0126192161925784;0;0.0332764149764691;0;0;0;0.000499770938319937;0.467868893423847;0.000499770938319937;0.000957894298446545;0;0;0.00174919828411978;0;0;0.000583066094706593;0.000624713672899921;0;0.000458123360126609;0;0;0;0;0.00470617633584607;0;0;0;0;0;0;0.000166590312773312;0.00274874016075965;0.00149931281495981;0;0;0
BactV5V7-BC72-203_S72_L001;0;0;0;0;0.0460745311358285;0.0278070958837379;0;0.000162377202240805;0.0221644881058699;0.476292928472842;0;0.000202971502801007;0;0.0109198668506942;0;0.00836242591540148;0;0;0;0;0.383778517496144;0;0;0;0;0;0;0;0;0.0242347974344402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC66-197_S66_L001;0;0;0.000445290045743432;0;0.513986155527669;0.0631502246690685;0;0.000607213698741044;0.109784236732381;0.0724608347164312;0;0.000850099178237461;0.000323847305995223;0.0131967777193053;0;0.0186617010079747;0;0;0.000364328219244626;0.000364328219244626;0.196696757478849;0.00097154191798567;0.00028336639274582;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00643646520665506;0.00028336639274582;0;0;0;0;0;0;0.000323847305995223;0;0;0;0
BactV5V7-BC197-5_S197_L001;0.000194046648814375;0.000504521286917375;0.00733496332518337;0.0170372957659021;0.0691582256374432;0.16199014243024;0.000194046648814375;0.0001552373190515;0.00795591260138937;0.0652384833313929;0.000310474638103;0;0.0113323242907595;0.00221213179648387;0.00209570380719525;0.0482788062250165;0;0.00054333061668025;0.00178522916909225;0.000582139946443125;0.49757441688982;0.0101680443978732;0.0041914076143905;0.000426902627391625;0;0.00038809329762875;0;0.000931423914309;0.00376450498699887;0;0.00586020879419412;0.000349283967865875;0.000504521286917375;0;0;0;0.0007761865952575;0.000349283967865875;0.00244498777506112;0.00038809329762875;0;0.00520045018822525;0.0161058718515931;0.00085380525478325;0.040672177591493;0.0108278030038421;0.00038809329762875;0.000504521286917375;0
