V1;X0319.6G20;X67.14;A21b;AKYH767;Acetobacteraceae;Acidimicrobiaceae;Acidobacteriaceae..Subgroup.1.;Actinobacteria.bacterium.RBG_13_63_9;Alicyclobacillaceae;Alteromonadaceae;Ambiguous_taxa;Archangiaceae;Azospirillaceae;BIrii41;Bacillaceae;Bacteriovoracaceae;Bdellovibrionaceae;Beijerinckiaceae;Blfdi19;Burkholderiaceae;Caulobacteraceae;Cellulomonadaceae;Cellvibrionaceae;Chitinophagaceae;Christensenellaceae;Chthoniobacteraceae;Clostridiaceae.1;Corynebacteriaceae;Crocinitomicaceae;Cytophagaceae;Desulfarculaceae;Desulfobulbaceae;Desulfovibrionaceae;Desulfuromonadaceae;Devosiaceae;Diplorickettsiaceae;Dongiaceae;Enterobacteriaceae;Enterococcaceae;Entotheonellaceae;Family.XII;Family.XIII;Fibrobacteraceae;Fimbriimonadaceae;Flavobacteriaceae;Frankiaceae;GWF2.29.10;Gaiellaceae;Geminicoccaceae;Gemmatimonadaceae;Geobacteraceae;Geodermatophilaceae;Gracilibacteraceae;Haliangiaceae;Hymenobacteraceae;Hyphomicrobiaceae;Hyphomonadaceae;Iamiaceae;Ilumatobacteraceae;Intrasporangiaceae;KD3.93;KF.JG30.B3;Koribacteraceae;Lachnospiraceae;Lentimicrobiaceae;Longimicrobiaceae;Magnetospirillaceae;Methyloligellaceae;Methylophilaceae;Microbacteriaceae;Micrococcaceae;Micromonosporaceae;Micropepsaceae;Microscillaceae;Mitochondria;Moraxellaceae;Mycobacteriaceae;Myxococcaceae;NS11.12.marine.group;Nakamurellaceae;Nannocystaceae;Neisseriaceae;Nitrosomonadaceae;Nitrospiraceae;Nocardiaceae;Nocardioidaceae;Oligoflexaceae;P3OB.42;Paenibacillaceae;Paludibacteraceae;Paracaedibacteraceae;Parachlamydiaceae;Pedosphaeraceae;Peptococcaceae;Peptostreptococcaceae;Phaselicystidaceae;Phycisphaeraceae;Planococcaceae;Pleomorphomonadaceae;Polyangiaceae;Procabacteriaceae;Prolixibacteraceae;Propionibacteriaceae;Pseudohongiellaceae;Pseudomonadaceae;Pseudonocardiaceae;Pyrinomonadaceae;Reyranellaceae;Rhizobiaceae;Rhizobiales.Incertae.Sedis;Rhodanobacteraceae;Rhodobacteraceae;Rhodocyclaceae;Rhodospirillaceae;Rickettsiaceae;Roseiflexaceae;Rubrobacteriaceae;Ruminococcaceae;SC.I.84;Saccharimonadaceae;Sandaracinaceae;Saprospiraceae;Simkaniaceae;Solibacteraceae..Subgroup.3.;Solimonadaceae;Solirubrobacteraceae;Sphingobacteriaceae;Sphingomonadaceae;Spirosomaceae;Sporichthyaceae;Staphylococcaceae;Steroidobacteraceae;Streptococcaceae;Streptomycetaceae;Streptosporangiaceae;TRA3.20;Thermoactinomycetaceae;Thermoanaerobaculaceae;Thermomonosporaceae;Unknown.Family;Veillonellaceae;Vermiphilaceae;Vulgatibacteraceae;Weeksellaceae;Woeseiaceae;Xanthobacteraceae;Xanthomonadaceae;bacteriap25;env.OPS.17;metagenome;uncultured;uncultured.Acidimicrobidae.bacterium;uncultured.Aciditerrimonas.sp.;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Acidobacterium.sp.;uncultured.Rhodospirillaceae.bacterium;uncultured.bacterium;uncultured.bacterium..0319.6E22;uncultured.delta.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC29-70_S29_L001;0;0;0;0;0;0;0;0;0;0.00439990222439501;0;0;0;0;0;0.0706428746027866;0;0;0;0;0.0686873625030555;0;0;0;0;0;0;0.00317770716206307;0.0139330237105842;0;0;0;0;0;0;0;0;0;0.0168662918601809;0.00391102419946223;0;0;0;0;0;0.00122219506233195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00342214617452945;0;0;0.00195551209973112;0;0;0;0;0;0;0;0;0;0;0;0.000733317037399169;0;0.113908579809338;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00806648741139086;0;0.314348570031777;0.00391102419946223;0;0;0.00268882913713029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000977756049865558;0.35883647030066;0;0;0;0;0;0;0;0;0;0.00733317037399169;0;0;0;0;0;0;0.000977756049865558;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC27-67_S27_L001;0.000183463796477495;0.00580968688845401;0;0;0;0;0.000672700587084149;0;0;0.00544275929549902;0;0;0;0;0;0.230247064579256;0.00189579256360078;0.000550391389432485;0;0;0.0702054794520548;0.00507583170254403;0.00036692759295499;0;0.0141267123287671;0;0;0.00654354207436399;0.000183463796477495;0;0;0;0;0;0;0.000917318982387475;0.00354696673189824;0;0.00996819960861057;0;0;0;0;0;0;0.0023238747553816;0;0;0;0;0.00036692759295499;0.00177348336594912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000917318982387475;0.00128424657534247;0.000489236790606654;0.000489236790606654;0.00128424657534247;0.00336350293542074;0;0;0.00495352250489237;0;0.000244618395303327;0;0;0;0;0.00226272015655577;0.00073385518590998;0;0.000611545988258317;0.000305772994129158;0.00140655577299413;0;0.210188356164384;0;0;0.00073385518590998;0;0;0;0;0;0.0100293542074364;0;0.00764432485322896;0;0.00103962818003914;0.00128424657534247;0;0.110384050880626;0.0195694716242661;0;0;0.00140655577299413;0;0;0.000550391389432485;0;0;0.000305772994129158;0;0;0;0;0;0;0;0;0;0;0;0;0.000856164383561644;0;0;0;0.000244618395303327;0;0.245352250489237;0;0;0.00073385518590998;0;0.00122309197651663;0.00256849315068493;0;0;0;0;0;0;0.00330234833659491;0;0;0;0.0013454011741683;0;0;0;0;0;0;0.000672700587084149;0;0;0
BactV5V7-BC6-15_S6_L001;0.000869943453675511;0.00115992460490068;0.000483301918708617;0;0;0.00599294379198685;0;0;0;0.0180271615678314;0.000628292494321202;0;0.00028998115122517;0;0.000241650959354309;0.0438354840268716;0;0.000241650959354309;0.000724952878062926;0;0.209318060992702;0.00526799091392393;0;0;0.0330578512396694;0;0;0.00956937799043062;0;0;0;0;0;0;0;0.000821613261804649;0.000773283069933788;0.000724952878062926;0.0140640858344208;0;0;0;0;0;0.000386641534966894;0.00425305688463583;0;0;0.00217485863418878;9.66603837417235e-05;0;0.00159489633173844;0.000386641534966894;0.000483301918708617;0.000579962302450341;0.00135324537238413;0.000386641534966894;0;0;0;0.000773283069933788;0;0;0;0;0;0;0;0.00154656613986758;0.00376975496592721;0.000821613261804649;0.00304480208786429;0.00202986805857619;0;0.000338311343096032;0.0190904257889904;0;0.00149823594799671;0;0;0.000386641534966894;0;0.000821613261804649;0.000966603837417235;0.00028998115122517;0.000773283069933788;0.00381808515779808;0;0;0.0276931999420038;0;0;0;0;0.00106326422115896;0;0;0;0;0;0.000821613261804649;0;0;0.00463969841960273;0.000241650959354309;0.317191049248466;0.000966603837417235;0;0.000144990575612585;0.00202986805857619;0;0.00135324537238413;0.00275482093663912;0.000918273645546373;0;0.000338311343096032;0.00028998115122517;0.000193320767483447;0.000338311343096032;0;0;0.000193320767483447;0;0.00028998115122517;0.000386641534966894;0;0.00106326422115896;0;0.00927939683920545;0;0;0.0010149340292881;0;0.00657290609443719;0.203856749311295;0;0;0.000434971726837756;0;0.000579962302450341;0.0028998115122517;0;0;0;0.000773283069933788;0;0.00333478323908946;0.00169155671548016;0;0.000193320767483447;0.000386641534966894;0.00236817940167222;0;0;0;0;0;0;0.00159489633173844;0;0;0
BactV5V7-BC24-57_S24_L001;0.000501870608632174;0.00917054475773337;0;0.000638744410986404;0;0;0;0;0;0.0358609362168081;0.00155123642668127;0.000821242814125376;0;0.0128661374212976;0;0.171366000547495;0;0;0;0;0.183274021352313;0.000547495209416918;0;0;0.00072999361255589;0;0;0.00437996167533534;0.000638744410986404;0;0;0;0;0;0.000501870608632174;0;0.004973081485537;0.000228123003923716;0.00145998722511178;0;0;0;0;0;0;0;0;0;0.00072999361255589;0;0.000501870608632174;0.004973081485537;0;0;0;0;0;0;0;0;0;0;0;0;0.00159686102746601;0;0;0;0.00086686741491012;0.00127748882197281;0;0.00255497764394562;0.000958116616479606;0;0;0.00442558627612008;0;0;0;0;0;0;0;0;0.000501870608632174;0.223560543845241;0.00150561182589652;0.00123186422118806;0;0.249749064695684;0;0;0.000547495209416918;0;0;0;0;0;0.00447121087690483;0;0.00164248562825075;0;0;0.000684369011771147;0;0.0156036134683822;0.000821242814125376;0;0.00173373482982024;0.00072999361255589;0;0.00159686102746601;0;0.000638744410986404;0;0.0023268546400219;0;0;0;0;0;0;0;0;0;0;0;0;0.00182498403138973;0;0;0.0020074824345287;0.000456246007847431;0.000228123003923716;0.0289716214983119;0;0.000821242814125376;0.000958116616479606;0;0;0.000547495209416918;0;0;0;0;0;0.00187060863217447;0;0;0.00155123642668127;0;0.00136873802354229;0.000273747604708459;0;0;0;0;0;0.00145998722511178;0;0;0
BactV5V7-BC74-209_S74_L001;0;0.00134770889487871;0;0;0;0;0;0;0;0.00099991305103904;0.0160420832971046;0;0;0;0;0.0120424310929484;0.000478219285279541;0.000130423441439875;0;0;0.0287801060777324;0.000347795843839666;0;0.00199982610207808;0.000652117207199374;0.000869489609599165;0;0.000521693765759499;0.000869489609599165;0;0;0;0;0;0;0.000478219285279541;0.000173897921919833;0.00099991305103904;0.00026084688287975;0.00099991305103904;0;0;0;0;0;0.00178245369967829;0;0;0;0;0.000130423441439875;0.000521693765759499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00226067298495783;0;0;0;0;0.00952091122511086;0;0.00691244239631336;0.022911051212938;0;0;0;0;0;0;0;0.000130423441439875;0;0;0.000565168246239457;0.00313016259455699;0;0.00930353882271107;0;0;0.000521693765759499;0;0;0;0;0;0;0;0.00339100947743674;0.000912964090079124;0;0;0;0.674289192244153;0.0409094861316407;0;0;0.00695591687679332;0;0;0;0.000391270324319624;0;0.000478219285279541;0;0;0;0;0;0;0;0.000521693765759499;0;0;0;0;0.000173897921919833;0;0;0;0.00217372402399791;0;0.138074950004347;0;0;0;0;0;0.002086775063038;0;0;0;0.00226067298495783;0;0.000521693765759499;0.000304321363359708;0;0;0;0;0;0;0;0;0;0;0.000652117207199374;0;0;0
BactV5V7-BC79-219_S79_L001;0.00265649770769956;0.0014139423282917;0.000171386948883843;0.000385620634988646;0;0;0;0;0;0.00179956296328035;0.000728394532756331;0;8.56934744419213e-05;0.000942628218861134;0;0.0122113201079738;0;0.000728394532756331;0.000985474956082094;0;0.0596855049487982;0.00462744761986375;0;0;0.000856934744419213;0;0;0.0222803033548995;0;0;0;0;0.000128540211662882;0.000557007583872488;0;0;0;0.000771241269977291;0.186811774283388;0.000342773897767685;0;0;0;0;0;0.00557007583872488;0;0;0.00239941728437379;0;0.000514160846651527;0.00578430952482968;0.000428467372209606;0;8.56934744419213e-05;0.000471314109430567;0;0.000342773897767685;0;0;0;0;0;0;0.00132824885384978;0;0;0.00419898024765414;0.000728394532756331;0;0;0.000942628218861134;0;0;0.00149963580273362;0.0216804490338061;0;0.000899781481640173;0;0;0;0;0.000856934744419213;0;0.00124255537940786;0;0.000257080423325764;0.000385620634988646;0;0.00754102575088907;0;0.000428467372209606;0;0.000728394532756331;0.000171386948883843;0;0;0;0;0;0.00167102275161746;0.000942628218861134;0;0.000257080423325764;0;0.602982132910579;0;0;0;0.00659839753202794;0;0;0;0.00167102275161746;0;0.000428467372209606;0;0;0.000985474956082094;0.00192810317494323;0;0;0;0.000128540211662882;0.000342773897767685;0;0;0;0.00317065855435109;0;0;0;0.000299927160546724;0;0.0101975234585886;0;0.000214233686104803;0;0;0;0.000642701058314409;0.00364197266378165;0;0;0.000471314109430567;0;0.00218518359826899;0.0014139423282917;8.56934744419213e-05;0;8.56934744419213e-05;0.00137109559107074;0;0;0;0;0;0;0.000771241269977291;0;0;0
BactV5V7-BC8-18_S8_L001;0;0.00247982515131137;0.000378278412911903;0.00134498991257566;0;0;0;0.00105077336919973;0;0.00685104236718225;0.000882649630127774;0;0;0;0.00374075319435104;0.031228984532616;0.00516980497646268;0.00407700067249496;0;0;0.242812710154674;0.0141644250168124;0;0.00138702084734364;0.00886852723604573;0.000294216543375925;0;0.00823806321452589;0.00054640215198386;0;0;0;0;0;0;0.00991930060524546;0.00109280430396772;0.00201748486886348;0.0150050437121722;0.00159717552118359;0;0;0;0;0.000504371217215871;0.249201412239408;0;0;0.00126092804303968;0;0.000504371217215871;0.00134498991257566;0;0.000252185608607935;0.0111381977135171;0.000378278412911903;0.000588433086751849;0.000714525891055817;0;0.000210154673839946;0.000504371217215871;0.000168123739071957;0;0;0.00109280430396772;0;0;0.00142905178211163;0.00100874243443174;0.00290013449899126;0.0011768661735037;0.000924680564895763;0.00601042367182246;0.00302622730329523;0.000504371217215871;0.00605245460659045;0.000336247478143914;0.0035305985205111;0.000378278412911903;0;0;0.00163920645595158;0.000210154673839946;0.000210154673839946;0;0;0.00302622730329523;0.000798587760591796;0;0.0336247478143914;0;0.000630464021519839;0.000168123739071957;0.00151311365164761;0;0.00239576328177539;0;0.000462340282447882;0;0.000462340282447882;0.00193342299932751;0.000294216543375925;0;0.00109280430396772;0;0.159591459314055;0.0120208473436449;0;0.000840618695359785;0.0159717552118359;0;0.00483355749831876;0;0.000378278412911903;0;0.000210154673839946;0.000924680564895763;0;0.000462340282447882;0.00180733019502354;0.00323638197713517;0;0;0.000126092804303968;0.00256388702084734;0;0.000504371217215871;0.000378278412911903;0.0050857431069267;0;0;0;0;0;0.0216879623402824;0;0;0;0.000168123739071957;0.00500168123739072;0.00828009414929388;0.000630464021519839;0.000252185608607935;0;0.00113483523873571;0;0.0151731674512441;0.0256388702084734;0.000336247478143914;0.00142905178211163;0.000336247478143914;0.000630464021519839;0;0;0;0;0;0;0.00130295897780767;0;0;0
BactV5V7-BC72-203_S72_L001;0;0.000812248710555172;0;0;0;0;0;0;0;0;0.00312715753563741;0;0;0.000649798968444138;0;0.0119806684806888;0.000121837306583276;0;0;0;0.10762295414856;0.00694472647524672;0.00410185598830362;0.00442675547252569;0.0153921130650205;0;0;0.00678227673313569;0;0.000203062177638793;0.00182755959874914;0;0;0;0;0.0016651098566381;0;0.000812248710555172;0;0;0;0;0;0;0;0.458067660317589;0;0;0;0;0;0;0;0;0;0;0.000162449742111034;0;0;0;0;0;0;0;0.00276164561588758;0;0;0;0;0;0.000121837306583276;0.000121837306583276;0;0;0.000527961661860862;0.0106404581082728;0.000527961661860862;0;0;0;0;0;0;0;0;0;0;0;0;0.00966575965560655;0.000365511919749827;0;0.000203062177638793;0;0;0;0;0;0;0;0.00743207570157982;0;0;0;0;0.255167932420907;0;0;0;0.00536084148966414;0;0;0;0.000203062177638793;0;0;0;0;0.00121837306583276;0;0;0;0;0;0;0;0;0.000121837306583276;0;0;0;0;0.00905657312269017;0.000243674613166552;0.0417495837225358;0;0;0;0;0;0.000974698452666206;0.0242456240100719;0;0;0;0;0.00158388498558259;0.00247735856719327;0;0;0;0;0;0;0;0;0;0;0.000406124355277586;0;0;0
BactV5V7-BC66-197_S66_L001;0.000283791453823076;0.00713532798183735;0;0;0;0.000405416362604395;0;0;0;0.00425687180734614;0.000283791453823076;0;0;0.00113516581529231;0;0.049258088056434;0.000445957998864834;0;0.000364874726343955;0;0.173680369739723;0.0146355306900186;0.000364874726343955;0.00137841563285494;0.0653936592880889;0;0;0.00547312089515933;0.00117570745155274;0.000567582907646153;0;0;0;0;0;0.000445957998864834;0.00401362198978351;0.000567582907646153;0.000202708181302197;0.00251358144814725;0;0;0;0.000364874726343955;0.000364874726343955;0.000972999270250547;0;0;0.000324333090083516;0.000283791453823076;0.000972999270250547;0.00150004054163626;0;0.000162166545041758;0;0;0;0;0;0;0;0;0;0;0.00304062271953296;0;0;0.000972999270250547;0;0;0.000202708181302197;0.00190545690424066;0.00125679072407362;8.10832725208789e-05;0.000810832725208789;0.000527041271385713;0.000202708181302197;0.000283791453823076;0;0;0;0;0;0;0;0.126692613313873;0.00101354090651099;0.0015405821778967;0.000121624908781318;0.0508797535068515;0;0.00109462417903187;0.000486499635125274;0;0;0;0;0;0.00227033163058461;0;0.00758128598070218;0;0;0.000283791453823076;0;0.00672991161923295;0.00141895726911538;0;0.000608124543906592;0.0387983459012406;0;0;0.000202708181302197;0.000972999270250547;0;0.00105408254277143;0.000324333090083516;0;0.00417578853482527;0;0.0059596205302846;0;0;0;0;0;0;0.000405416362604395;0.000567582907646153;0;0;0;0;0.000283791453823076;0.380158923214141;0;0.000324333090083516;0.000162166545041758;0;0;0.00798670234330658;0;0;0;0.0044190383523879;0;0.000202708181302197;0.000283791453823076;0;0;0;0;0;0;0;0;0;0;0.00170274872293846;0;0;0
BactV5V7-BC197-5_S197_L001;0.0226348928030605;0.00143460588188412;0.00940463855901809;0.00514067107675141;0;0.000358651470471029;0.000398501633856699;0.00131505539172711;0.00011955049015701;0.000597752450785048;0.00107595441141309;0.00151430620865546;0.00466246911612338;0.00215190882282617;0.00195265800589782;0.00506097074998008;0.00155415637204113;0.00223160914959751;0.004104566828724;0.00011955049015701;0.383517972423687;0.0185303259743365;0.000318801307085359;0.00418426715549534;0.000398501633856699;0;0;0.000836853431099068;0;0;0;0.00215190882282617;0;0;0.000398501633856699;0.00876703594484737;0;0.00278951143699689;0.000557902287399378;0;0.000557902287399378;0;7.97003267713398e-05;0.00183310751574081;0.000597752450785048;0.045389336096278;0.000478201960628039;0;0.0138678568582131;7.97003267713398e-05;0.0104407428070455;0.0105602932972025;0.00318801307085359;0.000956403921256077;0.00199250816928349;0.015940065354268;0.00278951143699689;0.000438351797242369;0.000438351797242369;0.00231130947636885;0.00904598708854706;0.000717302940942058;0.000597752450785048;0.00143460588188412;0;0;0.000956403921256077;0.00143460588188412;0.00506097074998008;0.00155415637204113;0.00227145931298318;0.0156212640471826;0.00793018251374831;0.00350681437793895;0.000956403921256077;0;0.000278951143699689;0.00693392842910656;0.00944448872240376;0;0.000916553757870407;0.00011955049015701;0;0.0132701044074281;0.00601737467123615;0;0.0141468080019128;0;0.000797003267713398;0.0025105602932972;0;0.000318801307085359;0;0.0111181955846019;0;0.00011955049015701;0.000239100980314019;0.000358651470471029;0;0;0.00685422810233522;0;0.00207220849605483;0.000438351797242369;0;0.0224754921495178;0.0015940065354268;0;0.0015940065354268;0.0318402805451502;0.0011955049015701;0.00334741372439627;0;0.00557902287399378;0;0;0.0108392444409022;0;0;0.0412050689407827;0;0;0;0;0.0107196939507452;0.000398501633856699;0.00302861241731091;0;0.0423607236789671;0;0.000836853431099068;0;0.00721287957280625;0;0.0049015700964374;0.000637602614170718;0.0017135570255838;0;0.000876703594484737;0.00115565473818443;0.00219175898621184;0;0;0.000797003267713398;0.000597752450785048;0.000358651470471029;0.0329959352833347;0.0117557981987726;0.000518052124013708;0.000916553757870407;0.000239100980314019;0.0191280784251215;0;0;0;0.000677452777556388;0.000557902287399378;0.000199250816928349;0.00530007173029409;0.00011955049015701;7.97003267713398e-05;0.000557902287399378
