Acidobacteria;Actinobacteria;Armatimonadetes;Bacteroidetes;Chlamydiae;Chloroflexi;Cyanobacteria;Dependentiae;Elusimicrobia;Entotheonellaeota;FBP;Fibrobacteres;Firmicutes;Gemmatimonadetes;Latescibacteria;Nitrospirae;Patescibacteria;Planctomycetes;Proteobacteria;Verrucomicrobia
BactV5V7-BC29-70_S29_L001;0;0.387884709330728;0;0.00854909623839765;0.000732779677576942;0;0;0;0;0;0;0;0.196873473375672;0;0;0;0;0;0.405959941377626;0
BactV5V7-BC27-67_S27_L001;0;0.276076993583868;0;0.018209593644974;0.00073327222731439;0.000183318056828598;0;0.000672166208371525;0;0;0;0;0.464283531927895;0.000366636113657195;0;0;0;0;0.239474488237091;0
BactV5V7-BC6-15_S6_L001;0.00332369942196532;0.229479768786127;0.000385356454720617;0.0399325626204239;0.000289017341040462;0.00158959537572254;0;0;0;0;0;0;0.110211946050096;0;0;0.000289017341040462;0;0;0.614306358381503;0
BactV5V7-BC24-57_S24_L001;0.0027756290667516;0.262001183055012;0;0.00227510579241935;0.000546025390180643;0;0;0.00145606770714838;0.000500523274332256;0;0;0;0.470036856713837;0.000500523274332256;0;0.000500523274332256;9.10042316967739e-05;0;0.259316558219957;0
BactV5V7-BC74-209_S74_L001;0;0.189865716396506;0;0.0116031463213246;0.00104297944461345;0.000434574768588936;0;0.000217287384294468;0;0;0;0;0.0247273043327104;0.000130372430576681;0;0;0;0;0.771978618921385;0
BactV5V7-BC79-219_S79_L001;0.00140533174346308;0.0203560173750106;0;0.00890043437526616;0.000127757431223916;0.000425858104079721;0;0;0;0;0;0;0.0502086704709991;0.000511029724895665;0;0.00123498850183119;0;0;0.916105953496295;0.000723958776935525
BactV5V7-BC8-18_S8_L001;0.00470049916805324;0.0589850249584027;0.000499168053244592;0.259692179700499;0.000291181364392679;0.00266222961730449;0;0.000249584026622296;0;0;0;0;0.0858569051580699;0.000499168053244592;0;0;0.00470049916805324;0.00045757071547421;0.579908485856905;0.00149750415973378
BactV5V7-BC72-203_S72_L001;0;0.0460651812167702;0;0.47619627419944;0.000202930313730265;0;0;0.000162344250984212;0;0;0;0;0.057388692722919;0;0;0;0;0;0.419984577296157;0
BactV5V7-BC66-197_S66_L001;0.00028336639274582;0.514755292879407;0.000364328219244626;0.0724608347164312;0.000850099178237461;0.000323847305995223;0.00028336639274582;0.000607213698741044;0;0;0;0.000364328219244626;0.123345342670931;0.00097154191798567;0;0;0.00643646520665506;0;0.278508683155892;0
BactV5V7-BC197-5_S197_L001;0.0304135309178369;0.121498952595236;0.000931026456668477;0.0656373651951276;0;0.0301031887656141;0.000349134921250679;0.000155171076111413;0;0.000543098766389945;0.000310342152222826;0.00178446737528125;0.0101637054852975;0.0115990379393281;0.000581891535417798;0.00585770812320583;0.000775855380557064;0.000853440918612771;0.707541314299015;0.010823182558771
BactV5V7-BC65-196_S65_L001;0;0.0858226280761492;0;0.39409534127844;0;0;0.000348243305989785;0.0014703606252902;0;0;0.000193468503327658;0;0.080057266676985;0.000154774802662127;0;0;0.000503018108651912;0.00104472991796935;0.436310168704535;0
BactV5V7-BC64-195_S64_L001;0.00126903553299492;0.391555145362252;0;0.0587601907398862;0.00584525457621904;0.000384556222119674;0;0.000115366866635902;0;0;0;0;0.134940778341794;0;0;0;0.00149976926626673;0.000307644977695739;0.404283956314413;0.00103830179972312
BactV5V7-BC58-180_S58_L001;0;0.0414718282866999;0;0.0764277500958222;0.000804906094289;0.000459946339593714;0;0;0;0.000153315446531238;0;0;0.0186278267535454;0.000153315446531238;0;0.000153315446531238;0;0;0.861747796090456;0
BactV5V7-BC57-179_S57_L001;0;0.0548680026054638;0;0.0126058469673168;0.00287367332081689;0;0;0.000613050308440936;0;0;0;0;0.137974635043488;0;0;0;0;0;0.791064791754473;0
BactV5V7-BC69-200_S69_L001;7.5253038341423e-05;0.095082213944388;0;0.0499680174587049;0.000263385634194981;0;0;0;0;0;0;0.000112879557512135;0.018135982240283;0;0;0;0.00221996463107198;0;0.834142303495504;0
BactV5V7-BC70-201_S70_L001;0;0.011072871464911;0;0.219063294927428;0.00059853359269789;0;0;0;0.000149633398174473;0;0;0;0.0256247194373784;0;0;0;0;0;0.74349094717941;0
BactV5V7-BC73-205_S73_L001;0;0.0219334177403739;0;0.00428241602740746;0.000409622402621583;0;0;0.00134058240857973;0;0;0;0;0.016571088106055;0;0;0;0.000446860802859909;0;0.954829820510911;0.000186192001191629
BactV5V7-BC78-218_S78_L001;0.000183116645303058;0.0660318622962827;0;0.0608679728987365;0.000659219923091009;0;0;0.00131843984618202;0;0;0;0;0.0817798937923457;0.000109869987181835;0;0;0.00194103644021242;0;0.786888848196301;0.00021973997436367
BactV5V7-BC71-202_S71_L001;0.000146017376067752;0.0581879243629992;0;0.0441337519164781;0.00229977367306709;0;0;0.00036504344016938;0;0;0;0.000146017376067752;0.0561801854420676;0;0;0;0.00073008688033876;0;0.837701686500694;0.000109513032050814
BactV5V7-BC30-73_S30_L001;0.000255502427273059;0.61152680950469;0;0.0573420447494251;0.000985509362338942;0;0;0.00087600832207906;0;0;0;0;0.109720042340402;0.00043800416103953;0;0.000292002774026353;0.000255502427273059;0.000730006935065883;0.21706756214184;0.000511004854546118
BactV5V7-BC338-193_S338_L001;0.0203244721033131;0.116011367315371;0.00133098312888953;0.0846793050109716;0.000215835101982086;0.015108457138746;0.000791395373934314;7.19450339940286e-05;0;0.000683477822943271;0.000143890067988057;0.00410086693765963;0.0346055613511277;0.0179862584985071;0;0.00464045469261484;0.0005036152379582;0.00309363646174323;0.68229072988237;0.0131299687039102
BactV5V7-BC68-199_S68_L001;0;0.0219557326880649;0;0.211123763433208;0.00014233862358551;0;0;0;0;0;0;0.000355846558963775;0.00903850259767988;0;0;0;0.000889616397409437;0;0.756494199701089;0
BactV5V7-BC19-44_S19_L001;0.000959829363668681;0.231496622822609;0;0.164806256665482;0.000355492356914326;0.000213295414148596;0;0.000959829363668681;0;0;0;0;0.0856025595449698;0.000568787771062922;0;0;0;0;0.514966228226093;7.10984713828653e-05
BactV5V7-BC337-192_S337_L001;0.0248375197611101;0.0904268399789215;0.00263481468470051;0.101774108554365;0.00108905673634288;0.00825575267872826;0;0;0.000421570349552082;0.000562093799402775;0.000316177762164061;0.0104689970138767;0.0286316529070789;0.0272264184085719;0;0.00533989109432637;0.00491832074477428;0.00432109608290884;0.668153873177586;0.0206218162655893
BactV5V7-BC62-184_S62_L001;0;0.00700133025274802;0;0.0963383042778128;0.000875166281593503;0;0;0.000385073163901141;0;0;0;0;0.0229993698802773;0;0;0;0.00238045228593433;0;0.870020303857733;0
BactV5V7-BC67-198_S67_L001;0.00010501995379122;0.0812854442344045;0;0.0155079465098369;0.000770146327802282;0.00010501995379122;0;0;0;0;0;0;0.279283063782119;0;0;0;0.00010501995379122;0;0.622838339284464;0
BactV5V7-BC340-204_S340_L001;0.0142138716211497;0.0684850178109939;0.00160648180484738;0.109135992177132;0.000209541104980094;0.00597192149193267;0.00108262904239715;0;6.98470349933645e-05;0;0.000454005727456869;0.0070894740518265;0.0408255919536216;0.0128518544387791;0;0.00384158692463505;0.00405112802961514;0.00122232311238388;0.718306907871761;0.0105818258014947
BactV5V7-BC25-58_S25_L001;0.00308641975308642;0.232660563184908;0;0.0796573727285338;0.000832292967124428;0.000901650714384797;0;0.00450825357192398;0;0;0;0;0.234047718130115;0.00121376057705646;0;0.000104036620890553;0.0029130253849355;0;0.438722430295464;0.0011097239561659
BactV5V7-BC56-178_S56_L001;0.0134826008595591;0.246776653264938;0.000207957853874948;0.0412449743518647;0.000554554276999861;0.00620407597393595;0.0056148620546236;0;0.000138638569249965;0.000970469984749757;0;0.000381256065437405;0.0706363510328573;0.014106474421184;0;0.00464439206987384;0.0028074310273118;0.000866491057812283;0.586094551504229;0.00526826563149868
