V1;Actinophytocola.sp..I10A.01801;Adhaeribacter.terreus;Agrobacterium.larrymoorei;Allocatelliglobosispora.scoriae;Ambiguous_taxa;Azospirillum.lipoferum;Azospirillum.lipoferum.4B;Azospirillum.sp..enrichment.culture.clone.Van11;Bacillus.acidiceler;Bacillus.gibsonii;Bacillus.nealsonii;Bacteriovorax.sp..EPC3;Bacteroidetes.bacterium;Caballeronia.glathei;Catellatospora.sp..RI59.SDHV.102;Chlamydiae.bacterium.Ga0074140;Cytophaga.sp..JSC.P2.223.10;Dinobryon.sp..FU22KAK;Flavobacterium.hauense;Flavobacterium.sp..DK6;Flavobacterium.sp..JM.222;Flavobacterium.sp..NW20;Gaiella.occulta;Kocuria.rhizophila;Mesorhizobium.sp..YJ06;Neorhizobium.huautlense;Nocardioides.sp.;Paenibacillus.alginolyticus;Paenibacillus.antarcticus;Paenibacillus.borealis;Paenibacillus.curdlanolyticus;Paenibacillus.glycanilyticus;Paenibacillus.graminis;Paenibacillus.hunanensis;Paenibacillus.kobensis;Paenibacillus.mucilaginosus;Paenibacillus.pectinilyticus;Paenibacillus.polymyxa;Paenibacillus.prosopidis;Paenibacillus.sp..B18;Paenibacillus.sp..B48.2010.;Paenibacillus.sp..BAB.5368;Paenibacillus.sp..BF32;Paenibacillus.sp..KJ012;Paenibacillus.sp..Soil766;Paenibacillus.sp..enrichment.culture.clone.LDC.4;Paenibacillus.typhae;Paraburkholderia.caribensis;Paracoccus.marinus;Rhizobium.cellulosilyticum;Rhodococcus.hoagii;Shinella.sp..SR.5.03;Solitalea.canadensis;Sphingomonas.sp..Bg12ra;Sphingomonas.sp..Cra17;Sphingomonas.sp..MIMD3;Sphingomonas.sp..TSK.1;Streptococcus.salivarius.subsp..thermophilus;Streptomyces.acidiscabies;Streptomyces.scabrisporus;Streptomyces.sp..NRRL.F.5123;Symbiobacterium.turbinis;Williamsia.faeni;actinobacterium.WWH12;bacterium;bacterium.YC.ZSS.LKJ142;bacterium.enrichment.culture.clone.ecb12;bacterium.ii1209;beta.proteobacterium.pACH94;delta.proteobacterium.WX81;endosymbiont.of.Acanthamoeba.sp..EI5;metagenome;uncultured.Acanthamoeba;uncultured.Acidimicrobiales.bacterium;uncultured.Acidobacteria.bacterium;uncultured.Acidobacterium.sp.;uncultured.Actinomycetales.bacterium;uncultured.Alicyclobacillaceae.bacterium;uncultured.Asticcacaulis.sp.;uncultured.Bacilli.bacterium;uncultured.Bacillus.sp.;uncultured.Bacteroidetes.bacterium;uncultured.Burkholderiaceae.bacterium;uncultured.Cellulosilyticum.sp.;uncultured.Cellvibrio.sp.;uncultured.Chitinophagaceae.bacterium;uncultured.Chlamydiales.bacterium;uncultured.Chloroflexaceae.bacterium;uncultured.Clostridium.sp.;uncultured.Coxiellaceae.bacterium;uncultured.Desulfosporosinus.sp.;uncultured.Desulfuromonadaceae.bacterium;uncultured.Desulfuromonadales.bacterium;uncultured.Dokdonella.sp.;uncultured.Ferruginibacter.sp.;uncultured.Firmicutes.bacterium;uncultured.Gemmatimonadaceae.bacterium;uncultured.Gemmatimonadales.bacterium;uncultured.Gemmatimonadetes.bacterium;uncultured.Geobacteraceae.bacterium;uncultured.Holophaga.sp.;uncultured.Hyphomicrobiaceae.bacterium;uncultured.Kofleriaceae.bacterium;uncultured.Massilia.sp.;uncultured.Myxococcales.bacterium;uncultured.Nannocystineae.bacterium;uncultured.Nitrospira.sp.;uncultured.Paenibacillus.sp.;uncultured.Polyangiaceae.bacterium;uncultured.Prosthecomicrobium.sp.;uncultured.Rhodocyclaceae.bacterium;uncultured.Rhodospirillales.bacterium;uncultured.Rubrobacterales.bacterium;uncultured.Solirubrobacter.sp.;uncultured.Sphingomonadaceae.bacterium;uncultured.Telluria.sp.;uncultured.Xanthomonadaceae.bacterium;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.beta.proteobacterium;uncultured.compost.bacterium;uncultured.gamma.proteobacterium;uncultured.microorganism;uncultured.organism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium;unidentified.eubacterium.clone.BSV51
BactV5V7-BC65-196_S65_L001;0.0847457627118644;0;0;0;0;0.0949152542372881;0;0;0;0.0639225181598063;0;0;0;0;0;0;0;0;0;0.0663438256658596;0;0;0;0;0;0;0;0;0.0484261501210654;0;0;0;0;0;0;0;0;0.037772397094431;0;0;0;0;0;0;0;0.026634382566586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00484261501210654;0;0;0;0;0.00920096852300242;0.401937046004843;0.0145278450363196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.135108958837772;0;0;0;0;0;0;0;0;0
BactV5V7-BC74-209_S74_L001;0.225975261655566;0;0;0;0;0.552806850618459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0137963843958135;0;0;0;0;0;0;0;0;0;0;0.00380589914367269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0228353948620362;0;0;0;0;0;0;0;0;0.010941960038059;0;0;0;0.0580399619410086;0.00237868696479543;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00570884871550904;0;0.00570884871550904;0.00190294957183635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0856327307326356;0;0;0;0;0;0;0;0;0
BactV5V7-BC71-202_S71_L001;0.328493647912886;0;0;0;0;0.306261343012704;0;0;0;0;0;0;0;0;0;0;0.0254083484573503;0;0;0.0898366606170599;0;0.014519056261343;0.0158802177858439;0;0;0;0;0;0.0235934664246824;0;0.0163339382940109;0;0;0;0;0.0367513611615245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00272232304900181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0303992740471869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0989110707803993;0;0;0.00181488203266788;0;0;0;0;0;0
BactV5V7-BC2-7_S2_L001;0.315953654188948;0;0;0.0017825311942959;0;0.106951871657754;0;0.00802139037433155;0;0;0;0;0.00445632798573975;0;0;0;0;0;0;0.0089126559714795;0;0;0;0;0;0;0;0;0.0245098039215686;0;0;0;0;0;0.00579322638146168;0;0;0.00579322638146168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00757575757575758;0;0;0;0;0.0151515151515152;0.151515151515152;0;0;0;0;0.00133689839572193;0;0;0;0;0;0;0;0.0606060606060606;0.00802139037433155;0;0;0;0.00089126559714795;0;0.00579322638146168;0;0;0;0;0;0;0;0;0;0;0.0147058823529412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0142602495543672;0;0;0;0;0.225490196078431;0;0;0;0;0.0017825311942959;0;0;0.00445632798573975;0
BactV5V7-BC78-218_S78_L001;0.315503552026745;0;0;0;0;0.168407856247388;0;0;0;0.0221479314667781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0472210614291684;0;0.0137902214793147;0;0;0;0;0.0263267864605098;0;0.0183869619724196;0.0112829084830756;0;0;0;0;0;0;0.0505641454241538;0;0.00793982448809026;0;0;0.0158796489761805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00877559548683661;0;0;0;0.203092352695361;0;0;0;0;0;0;0;0;0;0;0;0.000835770998746344;0;0;0.00125365649811952;0;0;0.00167154199749269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0831592143752612;0;0.0029251984956122;0;0;0;0;0;0;0
BactV5V7-BC58-180_S58_L001;0.239523418241578;0;0;0;0;0.0456039441248973;0;0;0;0.00534100246507806;0;0;0;0;0;0;0;0;0;0;0;0;0.560805258833196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0776499589153656;0;0;0;0;0;0;0;0;0;0;0;0.00657354149548069;0;0;0.00534100246507806;0;0.00328677074774034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00657354149548069;0;0;0;0;0.0464256368118324;0;0;0;0;0;0;0;0;0
BactV5V7-BC77-217_S77_L001;0.304100690215185;0;0;0;0;0.0466910272025985;0;0.00406008932196508;0;0.0178643930166464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109622411693057;0;0;0;0;0;0;0;0.0182704019488429;0;0;0;0.00893219650832318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.519691433211531;0;0;0.00324807145757207;0;0;0;0;0;0;0;0;0;0.00852618757612668;0;0;0;0;0;0.0198944376776289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024766544863987;0;0;0;0;0.00162403572878603;0;0.00324807145757207;0;0.00365408038976857
BactV5V7-BC8-18_S8_L001;0.155662264905962;0;0;0;0;0.279311724689876;0;0;0;0.0340136054421769;0;0;0;0;0;0;0;0;0.00480192076830732;0;0;0;0;0;0;0;0;0;0.0324129651860744;0;0;0;0;0;0;0;0;0.0160064025610244;0;0;0;0;0;0.0104041616646659;0;0.040016006402561;0;0;0;0;0;0;0.00200080032012805;0.00360144057623049;0;0;0;0;0;0;0;0;0;0;0.00200080032012805;0;0;0;0;0;0;0;0.0988395358143257;0.00720288115246098;0;0.0040016006402561;0.000800320128051221;0;0;0;0;0;0;0;0.0104041616646659;0;0;0;0;0;0;0;0;0;0.0244097639055622;0;0.00360144057623049;0;0;0;0;0;0;0;0;0.0880352140856343;0;0;0.0128051220488195;0;0;0;0.00160064025610244;0;0;0;0;0;0;0;0.138455382152861;0.00200080032012805;0;0;0;0;0;0.0172068827531012;0.00600240096038415;0
BactV5V7-BC27-67_S27_L001;0.055745164960182;0;0;0;0;0.199848312476299;0;0;0;0.111111111111111;0;0.0231323473644293;0;0;0;0;0;0;0;0.00910125142207053;0;0;0;0;0;0;0;0;0.108456579446341;0;0;0;0.0417140690178233;0;0;0;0;0.0648464163822526;0;0;0.0212362533181646;0;0.0147895335608646;0;0;0.149412210845658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0420932878270762;0;0;0;0;0;0;0;0;0.0656048540007584;0;0;0;0;0;0;0;0;0.0178232840348881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0568828213879408;0;0;0;0;0;0;0;0;0
BactV5V7-BC57-179_S57_L001;0.174853372434018;0;0;0;0;0.0890762463343109;0;0;0;0.0135630498533724;0;0;0;0;0;0;0;0;0;0.0366568914956012;0;0;0;0;0;0;0;0;0.0139296187683284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00953079178885631;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0.528225806451613;0;0;0.00219941348973607;0;0.0329912023460411;0.00219941348973607;0;0;0;0;0;0.00256598240469208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0692815249266862;0;0;0;0;0;0;0;0;0
