Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC193-1_S193_L001	Bact_S1	1	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
BactV5V7-BC194-2_S194_L001	Bact_S2	2	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
BactV5V7-BC195-3_S195_L001	Bact_S3	3	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC196-4_S196_L001	Bact_S4	4	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC197-5_S197_L001	Bact_S5	5	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC1-6_S1_L001	Bact_S6	6	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC2-7_S2_L001	Bact_S7	7	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC3-8_S3_L001	Bact_S8	8	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC289-9_S289_L001	Bact_S9	9	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC290-10_S290_L001	Bact_S10	10	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC291-11_S291_L001	Bact_S11	11	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC4-12_S4_L001	Bact_S12	12	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC292-13_S292_L001	Bact_S13	13	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC5-14_S5_L001	Bact_S14	14	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
BactV5V7-BC6-15_S6_L001	Bact_S15	15	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC293-16_S293_L001	Bact_S16	16	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC7-17_S7_L001	Bact_S17	17	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC8-18_S8_L001	Bact_S18	18	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC9-19_S9_L001	Bact_S19	19	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC294-20_S294_L001	Bact_S20	20	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC198-21_S198_L001	Bact_S21	21	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
BactV5V7-BC199-22_S199_L001	Bact_S22	22	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
BactV5V7-BC10-23_S10_L001	Bact_S23	23	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC11-24_S11_L001	Bact_S24	24	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC200-25_S200_L001	Bact_S25	25	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
BactV5V7-BC201-26_S201_L001	Bact_S26	26	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
BactV5V7-BC295-27_S295_L001	Bact_S27	27	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC202-28_S202_L001	Bact_S28	28	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC203-29_S203_L001	Bact_S29	29	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
BactV5V7-BC204-30_S204_L001	Bact_S30	30	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
BactV5V7-BC205-31_S205_L001	Bact_S31	31	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
BactV5V7-BC12-32_S12_L001	Bact_S32	32	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
BactV5V7-BC13-33_S13_L001	Bact_S33	33	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC296-34_S296_L001	Bact_S34	34	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC297-35_S297_L001	Bact_S35	35	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC206-36_S206_L001	Bact_S36	36	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
BactV5V7-BC14-37_S14_L001	Bact_S37	37	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC15-38_S15_L001	Bact_S38	38	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC298-39_S298_L001	Bact_S39	39	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
