Sample_Name;Sample_SSample_L001
BactV5V7-BC193-1_L001;BactV5V7-BC193-1_S193_L001
BactV5V7-BC194-2_L001;BactV5V7-BC194-2_S194_L001
BactV5V7-BC195-3_L001;BactV5V7-BC195-3_S195_L001
BactV5V7-BC196-4_L001;BactV5V7-BC196-4_S196_L001
BactV5V7-BC197-5_L001;BactV5V7-BC197-5_S197_L001
BactV5V7-BC1-6_L001;BactV5V7-BC1-6_S1_L001
BactV5V7-BC2-7_L001;BactV5V7-BC2-7_S2_L001
BactV5V7-BC3-8_L001;BactV5V7-BC3-8_S3_L001
BactV5V7-BC289-9_L001;BactV5V7-BC289-9_S289_L001
BactV5V7-BC290-10_L001;BactV5V7-BC290-10_S290_L001
BactV5V7-BC291-11_L001;BactV5V7-BC291-11_S291_L001
BactV5V7-BC4-12_L001;BactV5V7-BC4-12_S4_L001
BactV5V7-BC292-13_L001;BactV5V7-BC292-13_S292_L001
BactV5V7-BC5-14_L001;BactV5V7-BC5-14_S5_L001
BactV5V7-BC6-15_L001;BactV5V7-BC6-15_S6_L001
BactV5V7-BC293-16_L001;BactV5V7-BC293-16_S293_L001
BactV5V7-BC7-17_L001;BactV5V7-BC7-17_S7_L001
BactV5V7-BC8-18_L001;BactV5V7-BC8-18_S8_L001
BactV5V7-BC9-19_L001;BactV5V7-BC9-19_S9_L001
BactV5V7-BC294-20_L001;BactV5V7-BC294-20_S294_L001
BactV5V7-BC198-21_L001;BactV5V7-BC198-21_S198_L001
BactV5V7-BC199-22_L001;BactV5V7-BC199-22_S199_L001
BactV5V7-BC10-23_L001;BactV5V7-BC10-23_S10_L001
BactV5V7-BC11-24_L001;BactV5V7-BC11-24_S11_L001
BactV5V7-BC200-25_L001;BactV5V7-BC200-25_S200_L001
BactV5V7-BC201-26_L001;BactV5V7-BC201-26_S201_L001
BactV5V7-BC295-27_L001;BactV5V7-BC295-27_S295_L001
BactV5V7-BC202-28_L001;BactV5V7-BC202-28_S202_L001
BactV5V7-BC203-29_L001;BactV5V7-BC203-29_S203_L001
BactV5V7-BC204-30_L001;BactV5V7-BC204-30_S204_L001
BactV5V7-BC205-31_L001;BactV5V7-BC205-31_S205_L001
BactV5V7-BC12-32_L001;BactV5V7-BC12-32_S12_L001
BactV5V7-BC13-33_L001;BactV5V7-BC13-33_S13_L001
BactV5V7-BC296-34_L001;BactV5V7-BC296-34_S296_L001
BactV5V7-BC297-35_L001;BactV5V7-BC297-35_S297_L001
BactV5V7-BC206-36_L001;BactV5V7-BC206-36_S206_L001
BactV5V7-BC14-37_L001;BactV5V7-BC14-37_S14_L001
BactV5V7-BC15-38_L001;BactV5V7-BC15-38_S15_L001
