taxonomy	FunITS-BC1-119_S1_L001	FunITS-BC10-148_S10_L001	FunITS-BC100-18_S100_L001	FunITS-BC101-23_S101_L001	FunITS-BC102-24_S102_L001	FunITS-BC103-25_S103_L001	FunITS-BC104-26_S104_L001	FunITS-BC105-28_S105_L001	FunITS-BC106-29_S106_L001	FunITS-BC107-30_S107_L001	FunITS-BC108-31_S108_L001	FunITS-BC109-33_S109_L001	FunITS-BC11-149_S11_L001	FunITS-BC110-36_S110_L001	FunITS-BC111-37_S111_L001	FunITS-BC112-38_S112_L001	FunITS-BC113-40_S113_L001	FunITS-BC114-41_S114_L001	FunITS-BC115-42_S115_L001	FunITS-BC116-44_S116_L001	FunITS-BC117-46_S117_L001	FunITS-BC118-47_S118_L001	FunITS-BC119-48_S119_L001	FunITS-BC12-153_S12_L001	FunITS-BC120-55_S120_L001	FunITS-BC121-56_S121_L001	FunITS-BC122-57_S122_L001	FunITS-BC123-58_S123_L001	FunITS-BC124-59_S124_L001	FunITS-BC125-61_S125_L001	FunITS-BC126-62_S126_L001	FunITS-BC127-63_S127_L001	FunITS-BC128-64_S128_L001	FunITS-BC129-65_S129_L001	FunITS-BC13-155_S13_L001	FunITS-BC130-66_S130_L001	FunITS-BC131-67_S131_L001	FunITS-BC132-68_S132_L001	FunITS-BC133-69_S133_L001	FunITS-BC134-70_S134_L001	FunITS-BC135-73_S135_L001	FunITS-BC136-74_S136_L001	FunITS-BC137-78_S137_L001	FunITS-BC138-79_S138_L001	FunITS-BC139-80_S139_L001	FunITS-BC14-156_S14_L001	FunITS-BC140-81_S140_L001	FunITS-BC141-82_S141_L001	FunITS-BC142-83_S142_L001	FunITS-BC143-84_S143_L001	FunITS-BC144-85_S144_L001	FunITS-BC145-94_S145_L001	FunITS-BC146-95_S146_L001	FunITS-BC147-96_S147_L001	FunITS-BC148-97_S148_L001	FunITS-BC149-102_S149_L001	FunITS-BC15-157_S15_L001	FunITS-BC150-103_S150_L001	FunITS-BC151-8_S151_L001	FunITS-BC152-9_S152_L001	FunITS-BC153-86_S153_L001	FunITS-BC154-87_S154_L001	FunITS-BC155-88_S155_L001	FunITS-BC156-89_S156_L001	FunITS-BC157-90_S157_L001	FunITS-BC158-91_S158_L001	FunITS-BC159-92_S159_L001	FunITS-BC16-158_S16_L001	FunITS-BC160-93_S160_L001	FunITS-BC161-17_S161_L001	FunITS-BC162-21_S162_L001	FunITS-BC163-22_S163_L001	FunITS-BC164-34_S164_L001	FunITS-BC165-43_S165_L001	FunITS-BC166-45_S166_L001	FunITS-BC167-50_S167_L001	FunITS-BC168-52_S168_L001	FunITS-BC169-60_S169_L001	FunITS-BC17-159_S17_L001	FunITS-BC170-76_S170_L001	FunITS-BC171-77_S171_L001	FunITS-BC172-98_S172_L001	FunITS-BC173-100_S173_L001	FunITS-BC174-101_S174_L001	FunITS-BC175-105_S175_L001	FunITS-BC176-cas_S176_L001	FunITS-BC18-161_S18_L001	FunITS-BC185-cas_S185_L001	FunITS-BC186-neg_S186_L001	FunITS-BC187-seba_S187_L001	FunITS-BC19-178_S19_L001	FunITS-BC2-125_S2_L001	FunITS-BC20-179_S20_L001	FunITS-BC21-180_S21_L001	FunITS-BC22-181_S22_L001	FunITS-BC23-182_S23_L001	FunITS-BC24-183_S24_L001	FunITS-BC25-184_S25_L001	FunITS-BC26-185_S26_L001	FunITS-BC27-186_S27_L001	FunITS-BC28-187_S28_L001	FunITS-BC289-106_S289_L001	FunITS-BC29-188_S29_L001	FunITS-BC290-107_S290_L001	FunITS-BC291-108_S291_L001	FunITS-BC292-110_S292_L001	FunITS-BC293-111_S293_L001	FunITS-BC294-112_S294_L001	FunITS-BC295-116_S295_L001	FunITS-BC296-117_S296_L001	FunITS-BC297-118_S297_L001	FunITS-BC298-120_S298_L001	FunITS-BC299-124_S299_L001	FunITS-BC3-126_S3_L001	FunITS-BC30-189_S30_L001	FunITS-BC300-130_S300_L001	FunITS-BC301-131_S301_L001	FunITS-BC302-133_S302_L001	FunITS-BC303-134_S303_L001	FunITS-BC304-135_S304_L001	FunITS-BC305-139_S305_L001	FunITS-BC306-142_S306_L001	FunITS-BC307-144_S307_L001	FunITS-BC308-146_S308_L001	FunITS-BC309-152_S309_L001	FunITS-BC31-190_S31_L001	FunITS-BC310-162_S310_L001	FunITS-BC311-164_S311_L001	FunITS-BC312-165_S312_L001	FunITS-BC313-166_S313_L001	FunITS-BC314-167_S314_L001	FunITS-BC315-168_S315_L001	FunITS-BC316-169_S316_L001	FunITS-BC317-170_S317_L001	FunITS-BC318-172_S318_L001	FunITS-BC319-173_S319_L001	FunITS-BC32-191_S32_L001	FunITS-BC320-174_S320_L001	FunITS-BC321-175_S321_L001	FunITS-BC322-176_S322_L001	FunITS-BC323-244_S323_L001	FunITS-BC324-245_S324_L001	FunITS-BC325-246_S325_L001	FunITS-BC326-247_S326_L001	FunITS-BC327-248_S327_L001	FunITS-BC328-249_S328_L001	FunITS-BC329-cas_S329_L001	FunITS-BC33-192_S33_L001	FunITS-BC330-sv_S330_L001	FunITS-BC331-neg_S331_L001	FunITS-BC332-cas_S332_L001	FunITS-BC337-14_S337_L001	FunITS-BC338-19_S338_L001	FunITS-BC339-32_S339_L001	FunITS-BC34-193_S34_L001	FunITS-BC340-49_S340_L001	FunITS-BC341-51_S341_L001	FunITS-BC342-132_S342_L001	FunITS-BC343-136_S343_L001	FunITS-BC344-137_S344_L001	FunITS-BC345-140_S345_L001	FunITS-BC346-143_S346_L001	FunITS-BC347-160_S347_L001	FunITS-BC348-cas_S348_L001	FunITS-BC349-seba_S349_L001	FunITS-BC35-194_S35_L001	FunITS-BC350-13_S350_L001	FunITS-BC351-16_S351_L001	FunITS-BC352-20_S352_L001	FunITS-BC353-27_S353_L001	FunITS-BC354-35_S354_L001	FunITS-BC355-39_S355_L001	FunITS-BC356-53_S356_L001	FunITS-BC357-54_S357_L001	FunITS-BC358-71_S358_L001	FunITS-BC359-72_S359_L001	FunITS-BC36-195_S36_L001	FunITS-BC360-75_S360_L001	FunITS-BC361-99_S361_L001	FunITS-BC362-104_S362_L001	FunITS-BC363-109_S363_L001	FunITS-BC364-113_S364_L001	FunITS-BC365-114_S365_L001	FunITS-BC366-115_S366_L001	FunITS-BC367-121_S367_L001	FunITS-BC368-122_S368_L001	FunITS-BC369-123_S369_L001	FunITS-BC37-196_S37_L001	FunITS-BC370-141_S370_L001	FunITS-BC371-150_S371_L001	FunITS-BC372-151_S372_L001	FunITS-BC373-154_S373_L001	FunITS-BC374-163_S374_L001	FunITS-BC375-171_S375_L001	FunITS-BC376-177_S376_L001	FunITS-BC377-neg_S377_L001	FunITS-BC38-197_S38_L001	FunITS-BC39-198_S39_L001	FunITS-BC4-127_S4_L001	FunITS-BC40-199_S40_L001	FunITS-BC41-200_S41_L001	FunITS-BC42-201_S42_L001	FunITS-BC43-202_S43_L001	FunITS-BC44-203_S44_L001	FunITS-BC45-204_S45_L001	FunITS-BC46-205_S46_L001	FunITS-BC47-206_S47_L001	FunITS-BC48-207_S48_L001	FunITS-BC49-208_S49_L001	FunITS-BC5-128_S5_L001	FunITS-BC50-209_S50_L001	FunITS-BC51-210_S51_L001	FunITS-BC52-211_S52_L001	FunITS-BC53-212_S53_L001	FunITS-BC54-213_S54_L001	FunITS-BC55-214_S55_L001	FunITS-BC56-215_S56_L001	FunITS-BC57-216_S57_L001	FunITS-BC58-217_S58_L001	FunITS-BC59-218_S59_L001	FunITS-BC6-129_S6_L001	FunITS-BC60-219_S60_L001	FunITS-BC61-220_S61_L001	FunITS-BC62-221_S62_L001	FunITS-BC63-222_S63_L001	FunITS-BC64-223_S64_L001	FunITS-BC65-224_S65_L001	FunITS-BC66-225_S66_L001	FunITS-BC67-226_S67_L001	FunITS-BC68-227_S68_L001	FunITS-BC69-228_S69_L001	FunITS-BC7-138_S7_L001	FunITS-BC70-229_S70_L001	FunITS-BC71-230_S71_L001	FunITS-BC72-231_S72_L001	FunITS-BC73-232_S73_L001	FunITS-BC74-233_S74_L001	FunITS-BC75-234_S75_L001	FunITS-BC76-235_S76_L001	FunITS-BC77-236_S77_L001	FunITS-BC78-237_S78_L001	FunITS-BC79-238_S79_L001	FunITS-BC8-145_S8_L001	FunITS-BC80-239_S80_L001	FunITS-BC81-240_S81_L001	FunITS-BC82-241_S82_L001	FunITS-BC83-242_S83_L001	FunITS-BC84-243_S84_L001	FunITS-BC85-cas_S85_L001	FunITS-BC86-seba_S86_L001	FunITS-BC87-neg_S87_L001	FunITS-BC88-cas_S88_L001	FunITS-BC89-1_S89_L001	FunITS-BC9-147_S9_L001	FunITS-BC90-2_S90_L001	FunITS-BC91-3_S91_L001	FunITS-BC92-4_S92_L001	FunITS-BC93-5_S93_L001	FunITS-BC94-6_S94_L001	FunITS-BC95-7_S95_L001	FunITS-BC96-10_S96_L001	FunITS-BC97-11_S97_L001	FunITS-BC98-12_S98_L001	FunITS-BC99-15_S99_L001
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Chromelosporium;Chromelosporium_macrospermum	1550	3692	9	96	31	5883	10003	40095	49	9201	19835	292	40	14352	968	35	6	11573	38	19	25435	10	17234	526	28549	26233	42	2402	8	14195	15907	14449	26045	886	7643	12628	3089	14	20639	32	138	19	13538	9250	19665	5144	2740	8022	276	1488	16383	14768	12760	12203	21736	269	3020	11948	9	54	14440	220	16777	56	15077	18003	9044	1853	11182	1156	21658	19385	2926	72	18352	13666	26	17834	213	74	23223	25184	12128	21302	21593	12	65	12	123	0	13	7593	0	112	0	0	44	18	38	1669	6726	16834	406	4337	26342	6627	13464	3658	1377	7	181	1135	5269	1171	4729	4389	15	13	0	0	8	0	29	2304	6819	12048	10000	15	23	656	90	32	5903	24464	28	36	20036	62	25	6	0	10123	7057	2606	7420	10151	0	3881	0	0	0	19	130	78	9545	77	1676	535	4	4337	101	27	54	0	0	12344	64	184	1754	891	118	618	970	156	29	29	37	314	4040	46	25	462	34	217	233	79	0	0	50	835	655	46	609	58	34	0	0	38	663	53	14	0	22	0	9428	17	7273	14486	15262	1953	13	66	15	3933	9784	8039	20	3862	10	5	1237	28	2135	4335	7504	16052	972	2872	9435	13519	13521	199	6185	13546	9048	10274	5768	9897	12140	3415	7368	3897	2916	1265	10036	3801	8065	7464	0	2	0	0	21942	9725	39	14078	495	155	168	28	8040	29513	453	501
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Emericellopsis;unidentified	611	316	0	0	0	1031	38	186	101	169	87	0	15934	8036	0	0	0	474	0	0	1198	0	2378	4214	363	121	169	22	7	79	807	109	108	7294	865	517	7	38	344	16	158	0	160	383	569	751	0	155	190	39	157	207	254	544	77	18228	228	5091	0	57	177	473	145	4	295	199	65	2454	47	41	90	264	43	39	56	159	34	118	1692	28	109	274	2479	72	517	0	22381	0	0	0	328	1389	0	56	79	458	221	116	996	6103	208	3897	162	309	45	378	144	177	689	16447	2506	1608	1159	2148	512	104	32	0	510	17	32	50	13	1869	505	2937	980	26	0	2157	51	50	574	746	21	45	1102	12	43	38	173	192	157	719	2115	719	0	1730	0	0	0	0	57	20	2740	40	55	36	0	7	25	41	84	0	0	156	31	48	0	32	0	0	52	65	74	0	1732	47	60	28	50	3581	48	150	119	35	79	76	126	3530	1173	46	1865	278	832	0	429	79	7881	2636	792	75	9822	83	6404	3501	3891	1472	1694	6793	43	1410	969	2390	1608	3140	0	548	185	511	6238	208	3503	15223	4702	1306	208	234	200	182	54	1104	6701	708	2395	1657	9146	1923	10229	422	1061	151	8915	1502	3743	3168	3663	5284	0	0	0	0	74	2409	112	505	131	7875	0	0	1774	28	0	0
Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Blumeria;unidentified	0	0	7093	2549	5589	0	0	0	0	4	0	3306	0	0	2682	3369	2098	0	9586	3474	0	4794	0	0	0	0	6976	4407	4285	74	78	43	0	0	0	0	2604	4748	0	7483	3407	11144	0	99	3	0	2329	83	249	366	49	73	117	113	0	0	0	0	0	0	126	32	67	5519	167	55	111	0	119	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2816	0	3177	2438	5600	8359	2775	3199	6687	0	0	0	10	0	0	0	63	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	72	111	0	193	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3171	0	0	0	0	0	0	0	0	0	0	2423	0	0	0	0	0	0	0	0	5027	3574	0	2285	2410	5534	5875	2350	43	6335	110	0	57	0	1753	7434	4365	51	78	167	0	60	5348	1641	0	4158	54	0	124	0	0	21	0	39	0	0	0	0	96	34	0	160	0	0	7	0	0	0	176	306	133	93	0	0	0	0	0	0	0	11	64	0	3252	5287	0	0	8301	4703
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariales_fam_Incertae_sedis;Fusidium;unidentified	36	135	900	5108	91	24	26	10	97	689	64	28	50	77	627	3474	1259	16	1768	3765	19	2002	21	11	68	88	3510	303	952	203	462	77	62	277	144	31	1221	571	45	16313	30	968	90	511	21	43	71	526	553	192	208	308	147	89	30	16	96	26	0	692	173	999	115	31	707	300	216	189	89	284	70	78	493	504	177	31	534	52	95	501	78	24	34	187	55	17	40	24	0	0	1137	165	1811	2233	3208	1055	499	3	941	29	35	44	214	78	25	82	352	253	51	17	114	167	215	106	28	109	269	526	255	138	124	92	182	72	142	2506	131	295	111	609	554	313	217	204	340	246	107	341	326	259	21	34	22	26	363	445	55	460	0	0	57	427	926	692	678	582	691	483	425	775	593	589	691	57	0	126	797	614	761	846	669	491	640	775	638	737	87	603	551	633	640	344	604	715	502	528	534	205	443	357	337	535	361	449	331	0	588	3778	43	307	4314	10017	3280	2498	238	563	1840	60	752	17	2872	0	1446	78	592	1745	0	1074	785	15222	0	842	460	16	516	72	89	32	109	47	40	197	22	67	2274	105	18	643	29	32	0	30	12	17	604	182	457	759	44	0	0	31	103	142	39	372	155	439	8	852	63	11	127	7130
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_fujikuroi	159	191	6669	15713	7182	53	612	114	137	215	148	109	0	0	306	6876	0	41	875	209	0	22432	0	18	601	0	517	1628	394	894	984	753	71	66	505	142	13507	9088	274	10885	24435	0	794	1179	0	0	8769	213	384	0	2529	1549	1359	946	0	19	203	0	0	90	181	304	0	8284	0	1092	1616	194	0	163	110	421	79	72	465	60	71	81	284	64	110	28	0	114	453	36	33	38	0	0	0	271	2183	1084	0	5348	6292	6358	1525	0	30	70	0	202	60	1208	1078	624	49	18	0	223	236	115	64	0	57	165	0	37	0	34	0	169	0	0	158	0	41	86	46	0	88	135	86	0	0	52	92	30	0	0	59	56	1183	0	0	249	0	0	12	166	128	62	536	101	84	83	92	121	140	0	151	68	0	118	117	119	145	89	119	159	121	125	91	103	9068	170	95	132	119	92	174	102	63	87	66	0	0	142	0	165	0	104	66	0	5614	2887	8	0	1080	793	2250	958	418	0	443	65	0	0	0	1083	580	0	0	961	0	334	0	0	107	3195	1016	0	575	127	187	547	120	198	0	169	487	143	0	492	456	0	0	80	135	98	11	569	578	331	0	1147	23	0	0	28	90	0	53	1483	489	0	4613	633	151	0	611	2173
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Arthrobotrys	568	26	0	0	0	28	0	56	0	0	764	0	45	18	34	0	0	108	0	0	0	0	95	1988	0	13	0	62	16	572	547	466	0	56	101	0	0	2	0	3	0	0	126	584	1521	1867	131	232	906	1394	541	879	780	210	27	813	150	900	0	0	46	1828	185	0	455	660	787	0	656	23	0	0	0	0	0	54	0	0	636	0	0	0	153	0	0	0	40	0	0	0	196	101	63	8	0	108	50	258	296	358	89	81	69	0	0	31	802	103	1181	4214	288	163	30	288	2336	0	28	0	0	0	0	0	0	29	145	1010	74	0	0	34	0	0	0	54	0	0	1312	0	0	0	1377	628	108	977	986	3003	0	4664	0	0	0	0	0	0	3714	0	26	98	0	0	0	0	0	2	0	130	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	79	0	65	0	0	0	16	0	44	81	0	333	4	123	0	72	75	6648	0	0	0	7	8	2766	0	2729	2743	1303	278	0	0	470	2112	2464	1275	0	1762	0	6	627	0	2002	109	2811	1295	0	424	1428	488	447	10	1752	935	995	2296	499	1970	109	155	11	0	8260	669	4564	1475	2743	2032	0	0	0	8	0	116	64	1927	1055	405	0	0	44	0	0	0
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella	429	1132	359	41	45	330	308	70	430	408	175	15	45	118	402	250	2	388	363	110	68	113	178	53	600	1238	621	120	209	508	556	1536	233	566	1837	289	149	280	290	52	62	236	1085	565	26	117	144	674	502	2030	2769	481	229	931	406	21	667	103	0	2191	229	2277	4297	557	613	487	1553	1188	156	1082	306	686	1525	1439	1061	1677	1256	442	366	1547	701	56	2283	1253	294	7963	170	7084	0	0	94	4690	50	79	251	228	85	38	133	64	307	454	13	1156	27	3246	542	7983	609	82	13405	804	1990	943	59	3960	795	2114	652	642	761	506	812	323	856	199	2719	1658	466	1440	2469	1326	1797	1202	1000	800	128	1019	1150	1153	254	88	0	142	253	238	7525	194	0	0	7050	2207	1869	1971	265	2253	2519	1946	2205	2137	2042	2363	3486	9260	0	164	2542	2321	1724	3219	2741	2226	2141	3079	2345	2406	129	2328	1937	2042	2248	1363	2400	2660	1850	1946	1752	0	1585	1619	1341	2301	1283	1776	1476	0	79	19	259	75	63	84	66	0	224	409	1098	563	134	671	0	0	0	425	243	432	0	217	0	0	449	0	495	28	346	86	351	479	172	178	211	3512	90	147	160	62	63	167	34	67	394	146	91	0	93	296	163	26	7648	0	0	7868	336	543	105	1347	470	1026	8	15	1666	193	52	53
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;unidentified;unidentified	0	0	47	0	0	0	194	0	20	0	10	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0	1504	7195	1859	0	0	0	0	0	0	0	0	0	47	1245	4255	70	5	0	2123	6019	3009	2134	3686	3306	3178	10	0	0	0	0	4	1647	6205	803	16	950	6420	3653	72	2762	250	7	124	0	13	17	1536	0	29	0	0	243	0	3	33	0	0	0	0	0	0	0	11	0	8	0	0	0	0	0	17	273	242	171	0	0	512	4998	5865	0	0	13	0	0	0	606	6	0	0	0	0	0	0	0	0	8	2731	7	0	0	0	0	13	13	0	0	0	886	0	0	0	82	136	1029	768	5172	2947	0	1826	0	0	0	0	23	0	653	0	532	82	0	0	0	3	0	0	0	2238	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	12	148	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	2370	0	1130	1603	2247	0	0	0	0	3488	2536	2376	0	2627	0	0	0	0	1263	13	1497	138	389	503	1554	152	113	0	34	727	3694	1494	34	1953	26	2130	41	772	0	16	4324	3655	2221	1986	0	0	0	0	2836	44	0	8066	5555	0	0	25	206	0	0	0
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;unidentified;unidentified	0	0	0	0	8	7527	0	0	4629	921	8	0	24	1214	0	193	0	7325	0	0	921	0	0	3626	0	0	0	33	493	361	320	35	0	13560	3460	5817	0	0	6719	0	0	0	0	589	62	22	0	1420	7104	3779	5	22	174	61	0	0	0	7621	0	0	215	3584	0	0	0	14	1363	8	727	7719	22	0	732	0	0	9	0	491	6583	0	1829	0	6	0	1464	0	10	0	0	0	1257	863	0	9	7057	0	0	3895	0	0	5502	18	501	0	0	0	3395	3316	2075	91	894	981	1078	6495	4	0	0	0	0	0	27	0	0	1600	3802	21	0	0	0	38	0	0	1876	3	0	0	113	0	0	0	14818	0	5994	5231	1399	2499	0	5600	0	0	0	0	29	0	18	0	37	195	0	0	0	0	37	0	0	0	0	58	16	0	0	0	0	337	0	0	0	92	0	0	0	1534	0	428	0	0	0	0	65	703	798	170	0	161	2040	0	26	0	0	6861	6569	0	0	4341	822	0	42	0	9	8839	0	0	288	2541	624	125	0	1609	0	2400	3591	564	1217	600	4521	0	9960	2593	8	0	20	1085	0	2099	24	170	0	4473	8254	5348	8085	17558	0	4	849	2001	3230	12	0	0	0	0	32	0	9452	26	6754	293	6	18	1580	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0	0	0	0	0	0	0	0	0	0	0	18804	0	40	8467	0	12271	0	0	4679	0	0	89	0	0	0	4059	0	2099	0	0	0	0	0	0	0	16	0	0	0	0	8837	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	24	0	0	0	0	449	0	571	0	0	0	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9171	0	0	0	686	0	0	0	0	95	0	0	33	0	0	0	0	0	0	0	244	0	0	0	0	72	0	0	51	0	0	0	14	0	339	3489	0	18	0	0	0	75	0	0	0	0	396	0	0	0	176	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	0	133	12	0	16	0	87	0	0	0	0	12	6	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7965	0	0	52	0	0	0	0	0	0	0	0	1117	0	0	0	0	0	0	0	0	347	0	4295	0	0	818	231	0	0	0	3588	8032	0	0	0	0	0	0	0	0	0	0	60	0	0	0	2924	0	0	1342	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	368	0	0	0	980	0	0	0	0	1471	0
