Sample_Name;Short_Sample;Sample_ID;Genotype;Compartment;shannon;pvalue
1;BactV5V7-BC33-Hid4_13_S132_L001;Hid4_13;33;Hid4;Root;2.80366065873332;0.829983708788982
2;BactV5V7-BC34-Hid4_11_S133_L001;Hid4_11;34;Hid4;Root;3.038690041637;0.829983708788982
3;BactV5V7-BC35-Hid4_5_S134_L001;Hid4_5;35;Hid4;Root;3.04795354299603;0.829983708788982
4;BactV5V7-BC36-Hid4_10_S135_L001;Hid4_10;36;Hid4;Root;3.12679491962216;0.829983708788982
5;BactV5V7-BC37-GP_12_S136_L001;GP_12;37;GP;Root;3.16056188995643;0.829983708788982
6;BactV5V7-BC38-GP_7_S137_L001;GP_7;38;GP;Root;2.9689572367315;0.829983708788982
7;BactV5V7-BC39-GP_2_S138_L001;GP_2;39;GP;Root;3.01856178719881;0.829983708788982
8;BactV5V7-BC40-Hid4_7_S139_L001;Hid4_7;40;Hid4;Root;3.13242581256061;0.829983708788982
9;BactV5V7-BC41-GP_10_S140_L001;GP_10;41;GP;Root;3.21729447072577;0.829983708788982
10;BactV5V7-BC42-GP_1_S141_L001;GP_1;42;GP;Root;3.11572128642599;0.829983708788982
11;BactV5V7-BC43-GP_5_S142_L001;GP_5;43;GP;Root;3.05631085716107;0.829983708788982
12;BactV5V7-BC44-Hid4_12_S143_L001;Hid4_12;44;Hid4;Root;3.11311624066476;0.829983708788982
13;BactV5V7-BC45-GP_11_S144_L001;GP_11;45;GP;Root;3.14005978688584;0.829983708788982
14;BactV5V7-BC46-Hid4_9_S145_L001;Hid4_9;46;Hid4;Root;3.00239868128291;0.829983708788982
15;BactV5V7-BC47-Hid4_6_S146_L001;Hid4_6;47;Hid4;Root;3.07183820888398;0.829983708788982
16;BactV5V7-BC48-GP_3_S147_L001;GP_3;48;GP;Root;2.97478496960501;0.829983708788982
17;BactV5V7-BC49-GP_8_S148_L001;GP_8;49;GP;Root;2.84145236501477;0.829983708788982
18;BactV5V7-BC50-Hid4_8_S149_L001;Hid4_8;50;Hid4;Root;3.02558372767888;0.829983708788982
19;BactV5V7-BC51-GP_6_S150_L001;GP_6;51;GP;Root;2.88013129220381;0.829983708788982
20;BactV5V7-BC52-Cas_soil_S151_L001;Cas_soil;52;Cassoil;Root;3.01653886547414;0.829983708788982
