Sample_Name;Short_Sample;Sample_ID;Genotype;Compartment;shannon;pvalue
1;BactV5V7-BC33-Hid4_13_S132_L001;Hid4_13;33;Hid4;Root;0.988934999542985;0.0680751622419427
2;BactV5V7-BC34-Hid4_11_S133_L001;Hid4_11;34;Hid4;Root;1.18245882314252;0.0680751622419427
3;BactV5V7-BC35-Hid4_5_S134_L001;Hid4_5;35;Hid4;Root;1.19863161861879;0.0680751622419427
4;BactV5V7-BC36-Hid4_10_S135_L001;Hid4_10;36;Hid4;Root;1.25540880843898;0.0680751622419427
5;BactV5V7-BC37-GP_12_S136_L001;GP_12;37;GP;Root;1.26685570006748;0.0680751622419427
6;BactV5V7-BC38-GP_7_S137_L001;GP_7;38;GP;Root;1.10578831363366;0.0680751622419427
7;BactV5V7-BC39-GP_2_S138_L001;GP_2;39;GP;Root;1.24390836120374;0.0680751622419427
8;BactV5V7-BC40-Hid4_7_S139_L001;Hid4_7;40;Hid4;Root;1.12245494813908;0.0680751622419427
9;BactV5V7-BC41-GP_10_S140_L001;GP_10;41;GP;Root;1.20010409700621;0.0680751622419427
10;BactV5V7-BC42-GP_1_S141_L001;GP_1;42;GP;Root;1.27140709023099;0.0680751622419427
11;BactV5V7-BC43-GP_5_S142_L001;GP_5;43;GP;Root;1.35019363048579;0.0680751622419427
12;BactV5V7-BC44-Hid4_12_S143_L001;Hid4_12;44;Hid4;Root;1.12798824596477;0.0680751622419427
13;BactV5V7-BC45-GP_11_S144_L001;GP_11;45;GP;Root;1.24826127014306;0.0680751622419427
14;BactV5V7-BC46-Hid4_9_S145_L001;Hid4_9;46;Hid4;Root;1.11438412770522;0.0680751622419427
15;BactV5V7-BC47-Hid4_6_S146_L001;Hid4_6;47;Hid4;Root;1.17160206829476;0.0680751622419427
16;BactV5V7-BC48-GP_3_S147_L001;GP_3;48;GP;Root;1.1585643747958;0.0680751622419427
17;BactV5V7-BC49-GP_8_S148_L001;GP_8;49;GP;Root;1.08868975845833;0.0680751622419427
18;BactV5V7-BC50-Hid4_8_S149_L001;Hid4_8;50;Hid4;Root;1.09941018596512;0.0680751622419427
19;BactV5V7-BC51-GP_6_S150_L001;GP_6;51;GP;Root;1.18671861398432;0.0680751622419427
20;BactV5V7-BC52-Cas_soil_S151_L001;Cas_soil;52;Cassoil;Root;1.78397407235437;0.0680751622419427
