Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
1;FunITS-BC100-18_S100_L001;Fun_S18;18;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.03864199634112;0.096565894434619
2;FunITS-BC101-23_S101_L001;Fun_S23;23;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.464852288017593;0.096565894434619
3;FunITS-BC102-24_S102_L001;Fun_S24;24;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.46098059184509;0.096565894434619
4;FunITS-BC106-29_S106_L001;Fun_S29;29;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;0.713462266110384;0.0495346134356268
5;FunITS-BC107-30_S107_L001;Fun_S30;30;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;1.73573884807261;0.0495346134356268
6;FunITS-BC108-31_S108_L001;Fun_S31;31;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;0.605178430236727;0.0495346134356268
7;FunITS-BC109-33_S109_L001;Fun_S33;33;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.772456238113767;0.096565894434619
8;FunITS-BC111-37_S111_L001;Fun_S37;37;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.71990198284681;0.096565894434619
9;FunITS-BC112-38_S112_L001;Fun_S38;38;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.70288701005093;0.096565894434619
10;FunITS-BC113-40_S113_L001;Fun_S40;40;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.504133596875591;0.096565894434619
11;FunITS-BC115-42_S115_L001;Fun_S42;42;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.50888872295078;0.096565894434619
12;FunITS-BC116-44_S116_L001;Fun_S44;44;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.04732958679771;0.096565894434619
13;FunITS-BC118-47_S118_L001;Fun_S47;47;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.570961144869763;0.096565894434619
14;FunITS-BC122-57_S122_L001;Fun_S57;57;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.48683874578416;0.096565894434619
15;FunITS-BC123-58_S123_L001;Fun_S58;58;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;1.5230514739058;0.096565894434619
16;FunITS-BC124-59_S124_L001;Fun_S59;59;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.94770396897521;0.096565894434619
17;FunITS-BC125-61_S125_L001;Fun_S61;61;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.3324969133583;0.136641004807483
18;FunITS-BC126-62_S126_L001;Fun_S62;62;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;0.624711695613798;0.136641004807483
