C_AD3;C_Acidimicrobiia;C_Acidobacteriae;C_Actinobacteria;C_Alphaproteobacteria;C_Babeliae;C_Bacilli;C_Bacteroidia;C_Bdellovibrionia;C_Blastocatellia;C_Chlamydiae;C_Chloroflexia;C_Clostridia;C_Dehalococcoidia;C_Deinococci;C_Elusimicrobia;C_Fibrobacteria;C_Fimbriimonadia;C_Gammaproteobacteria;C_Gemmatimonadetes;C_Gracilibacteria;C_Holophagae;C_JG30.KF.CM66;C_Kapabacteria;C_Kryptonia;C_Leptospirae;C_Lineage.IIa;C_MB.A2.108;C_Myxococcia;C_Negativicutes;C_Nitrospiria;C_OM190;C_Oligoflexia;C_Omnitrophia;C_Parcubacteria;C_Phycisphaerae;C_Pla4.lineage;C_Planctomycetes;C_Polyangia;C_Rubrobacteria;C_Saccharimonadia;C_Sericytochromatia;C_Spirochaetia;C_Subgroup.11;C_Subgroup.22;C_Subgroup.5;C_TK10;C_Thermoanaerobaculia;C_Thermoleophilia;C_Verrucomicrobiae;C_Vicinamibacteria;C_bacteriap25;C_vadinHA49;D_Bacteria;D_unassigned;P_Acidobacteriota;P_Actinobacteriota;P_Chloroflexi;P_MBNT15;P_NB1.j;P_Planctomycetota;P_Proteobacteria;P_RCP2.54;P_Zixibacteria
BactV5V7-BC39-GP_2_S138_L001;0;25;0;18561;19019;0;57;21186;446;0;26;0;0;0;0;0;785;59;49450;0;0;0;0;0;0;308;0;0;101;0;0;0;183;0;0;0;0;0;4525;0;402;0;40;0;0;0;0;0;0;22;0;0;0;2583;170;0;0;0;0;0;0;0;0;0
BactV5V7-BC42-GP_1_S141_L001;0;90;2;20867;18461;0;992;20961;639;0;0;0;0;4;0;0;1315;50;52294;11;0;0;0;0;0;112;0;47;19;0;0;0;139;0;0;33;0;0;4784;0;474;0;158;0;0;0;0;0;0;8;0;0;0;1528;134;0;0;0;0;0;0;0;0;0
BactV5V7-BC47-Hid4_6_S146_L001;360;0;14;5190;27985;0;73;14621;523;0;100;0;0;0;0;0;5602;157;68946;0;0;29;0;0;0;477;0;162;133;0;152;0;331;0;0;75;0;0;5762;0;272;14;316;0;0;0;0;0;88;67;0;0;0;4732;1522;19;0;88;0;0;0;0;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;38;0;10008;22723;0;22;21791;454;0;56;0;0;0;0;0;2851;74;70976;0;0;0;0;0;0;218;0;67;95;0;0;0;365;0;0;50;0;0;3517;0;346;4;216;0;6;0;0;0;47;88;0;0;30;4022;174;0;0;0;0;0;0;0;0;0
BactV5V7-BC48-GP_3_S147_L001;0;56;0;18510;29027;0;35;17492;524;0;105;0;0;0;0;0;2483;118;66228;0;0;0;0;0;0;190;0;58;88;0;0;0;367;0;0;89;0;0;3824;0;683;0;623;0;0;0;0;0;0;85;0;0;0;2610;295;0;0;66;0;0;0;0;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;74;0;6934;26972;0;0;22601;922;0;144;0;0;0;0;0;4359;66;73876;0;0;0;0;0;0;396;0;99;64;2;0;0;349;0;0;59;0;0;4670;0;494;0;311;0;0;0;19;24;35;100;0;0;73;2248;427;0;0;0;0;0;0;0;0;0
BactV5V7-BC52-Cas_soil_S151_L001;3225;2448;3214;8074;8163;0;926;2276;0;129;179;64;0;1064;0;46;103;0;68658;0;13;413;327;64;137;0;37;6137;0;0;6032;61;0;71;3;149;115;0;518;36;262;0;0;366;1488;321;332;0;2532;2171;0;1588;51;14891;5090;149;232;41;2466;777;15;31;3440;268
BactV5V7-BC41-GP_10_S140_L001;0;88;0;15948;27111;0;257;25318;846;0;66;0;0;0;0;0;1858;87;70153;17;0;0;0;0;0;289;0;106;190;0;0;0;297;0;0;90;0;0;5914;0;504;0;520;0;0;0;0;0;0;94;0;0;0;2263;600;0;0;0;0;0;0;33;0;0
BactV5V7-BC37-GP_12_S136_L001;0;84;0;14119;24419;0;161;29570;573;0;88;0;5;0;0;0;1178;104;68116;0;0;25;0;0;0;353;0;66;262;0;0;0;414;0;0;48;0;0;7112;0;2474;0;1196;0;0;0;0;0;0;60;0;0;7;1906;406;6;0;0;0;0;0;0;0;0
BactV5V7-BC51-GP_6_S150_L001;0;38;0;20008;22645;0;1139;21022;306;0;114;0;0;0;0;0;1732;67;77361;0;0;0;0;0;0;433;0;51;61;0;0;0;272;0;0;33;0;5;4291;0;1080;0;516;0;0;0;0;0;0;34;0;0;7;2895;165;0;0;0;0;0;0;0;0;0
BactV5V7-BC34-Hid4_11_S133_L001;0;83;0;20567;25983;0;47;25957;316;0;45;0;0;6;26;0;1699;88;70788;0;0;0;0;0;0;220;0;40;138;0;0;0;493;0;0;101;0;0;5332;0;530;0;92;0;0;0;0;0;20;81;0;0;0;2199;231;0;0;94;0;0;0;0;0;0
BactV5V7-BC35-Hid4_5_S134_L001;0;117;0;12618;28636;86;0;30275;390;0;160;0;0;0;930;0;1739;91;72327;0;0;0;0;0;0;527;0;74;67;0;0;0;667;0;0;63;0;0;4538;0;2892;0;176;0;0;0;12;0;0;51;0;0;22;1616;245;0;5;0;0;0;0;17;0;0
BactV5V7-BC49-GP_8_S148_L001;0;60;0;17657;21170;0;47;29344;293;0;39;43;0;0;0;0;1396;63;81860;0;0;0;0;0;0;104;0;82;44;0;0;0;298;0;0;0;0;0;2029;0;1491;0;80;0;0;0;0;0;0;55;0;0;0;1723;504;0;34;0;0;0;0;0;0;0
BactV5V7-BC36-Hid4_10_S135_L001;0;121;0;12086;27187;0;540;26979;768;0;174;0;0;0;0;0;4022;90;73874;20;0;0;0;0;0;550;0;106;0;0;0;0;629;0;0;33;0;0;7752;0;921;0;503;0;0;0;0;0;38;87;0;0;21;2610;517;0;0;0;0;0;0;12;0;0
BactV5V7-BC33-Hid4_13_S132_L001;0;93;0;4655;22835;0;100;34517;797;0;209;7;0;0;0;0;1759;74;88650;0;0;0;0;7;0;324;0;69;51;0;0;0;286;0;0;46;0;0;3586;0;304;0;78;0;0;0;40;0;52;36;4;0;11;2369;406;0;0;58;0;0;0;0;0;0
BactV5V7-BC38-GP_7_S137_L001;0;66;0;13717;27883;0;1013;23829;733;0;119;0;0;0;0;0;3549;119;85613;0;0;0;0;0;0;313;0;109;265;0;0;0;249;0;0;51;0;0;3319;0;519;0;527;0;0;0;0;0;0;74;0;0;0;2398;280;0;0;0;0;0;0;5;0;0
BactV5V7-BC40-Hid4_7_S139_L001;0;51;0;11579;30863;35;95;28025;787;0;62;0;0;0;0;0;3178;143;80464;0;0;0;0;0;0;288;0;99;152;0;0;0;288;0;0;76;0;0;5837;0;635;0;260;0;0;0;0;0;43;90;0;0;0;2438;396;0;28;0;0;0;0;146;0;0
BactV5V7-BC44-Hid4_12_S143_L001;445;85;0;10177;28499;0;24;21076;574;0;195;0;0;0;0;0;3813;89;87731;0;0;0;0;0;0;407;0;174;110;0;223;0;269;0;0;72;0;0;5159;0;295;0;293;0;0;0;0;0;129;87;0;0;0;5336;934;0;0;0;0;0;0;0;0;0
BactV5V7-BC43-GP_5_S142_L001;0;49;0;35131;30846;0;684;24108;463;0;14;0;0;0;0;0;2245;40;61674;0;0;0;0;0;0;204;0;38;125;0;0;0;183;0;0;53;0;0;8270;0;884;0;838;0;0;0;0;0;0;83;0;0;0;4028;309;0;0;0;0;0;0;0;0;0
BactV5V7-BC45-GP_11_S144_L001;0;134;0;19588;32550;0;863;35056;463;0;83;0;0;0;36;0;2117;83;88631;0;0;0;0;0;0;295;0;151;172;0;0;5;458;0;0;51;0;0;7689;0;1651;0;503;0;0;0;0;0;42;36;0;0;0;5024;519;0;19;0;0;0;0;0;0;0
