C_AD3;C_Acidimicrobiia;C_Acidobacteriae;C_Actinobacteria;C_Alphaproteobacteria;C_Bacilli;C_Bacteroidia;C_Chloroflexia;C_Gammaproteobacteria;C_JG30.KF.CM66;C_Lineage.IIa;C_MB.A2.108;C_OM190;C_Phycisphaerae;C_Pla4.lineage;C_Polyangia;C_Sericytochromatia;C_Subgroup.11;C_Subgroup.22;C_Subgroup.5;C_TK10;C_Thermoleophilia;C_Verrucomicrobiae;C_bacteriap25;C_vadinHA49;D_Bacteria;D_unassigned;F_01D2Z36;F_67.14;F_A0839;F_A21b;F_AKYH767;F_Acetobacteraceae;F_Acidiferrobacteraceae;F_Acidobacteriaceae..Subgroup.1.;F_Aeromonadaceae;F_Alteromonadaceae;F_BIrii41;F_BSV26;F_Bacillaceae;F_Bacteriovoracaceae;F_Bdellovibrionaceae;F_Beijerinckiaceae;F_Burkholderiaceae;F_Caulobacteraceae;F_Cellulomonadaceae;F_Cellvibrionaceae;F_Chitinophagaceae;F_Clostridiaceae;F_Comamonadaceae;F_Corynebacteriaceae;F_Crocinitomicaceae;F_Cyclobacteriaceae;F_Cytophagaceae;F_Deinococcaceae;F_Devosiaceae;F_Dongiaceae;F_Enterobacteriaceae;F_Ferrovibrionaceae;F_Fibrobacteraceae;F_Fimbriimonadaceae;F_Flavobacteriaceae;F_Gaiellaceae;F_Gemmatimonadaceae;F_Geodermatophilaceae;F_Glycomycetaceae;F_Haliangiaceae;F_Herpetosiphonaceae;F_Hymenobacteraceae;F_Hyphomicrobiaceae;F_Hyphomonadaceae;F_Iamiaceae;F_Ilumatobacteraceae;F_Intrasporangiaceae;F_KD3.93;F_Kineosporiaceae;F_Leptospiraceae;F_Methylophilaceae;F_Microbacteriaceae;F_Micrococcaceae;F_Micromonosporaceae;F_Microscillaceae;F_Mitochondria;F_Mycobacteriaceae;F_Myxococcaceae;F_NS11.12.marine.group;F_NS9.marine.group;F_Nakamurellaceae;F_Nitrosomonadaceae;F_Nitrospiraceae;F_Nocardiaceae;F_Nocardioidaceae;F_Omnitrophaceae;F_Opitutaceae;F_Oxalobacteraceae;F_Paenibacillaceae;F_Parachlamydiaceae;F_Pedosphaeraceae;F_Phaselicystidaceae;F_Phycisphaeraceae;F_Pirellulaceae;F_Polyangiaceae;F_Prevotellaceae;F_Promicromonosporaceae;F_Propionibacteriaceae;F_Pseudomonadaceae;F_Pseudonocardiaceae;F_Reyranellaceae;F_Rhizobiaceae;F_Rhizobiales.Incertae.Sedis;F_Rhodanobacteraceae;F_Rhodobacteraceae;F_Rhodocyclaceae;F_Rhodomicrobiaceae;F_Rickettsiaceae;F_Roseiflexaceae;F_Rubrobacteriaceae;F_S32;F_SC.I.84;F_SM2D12;F_Saccharimonadaceae;F_Simkaniaceae;F_Solibacteraceae;F_Solimonadaceae;F_Sphingobacteriaceae;F_Sphingomonadaceae;F_Spirochaetaceae;F_Spirosomaceae;F_Sporichthyaceae;F_Sporomusaceae;F_Steroidobacteraceae;F_Streptomycetaceae;F_Streptosporangiaceae;F_TRA3.20;F_Thermoanaerobaculaceae;F_Thermomonosporaceae;F_Unknown.Family_4;F_Vermiphilaceae;F_Vicinamibacteraceae;F_Weeksellaceae;F_Xanthobacteraceae;F_Xanthomonadaceae;F_cvE6;F_env.OPS.17;O_0319.6G20;O_0319.7L14;O_11.24;O_211ds20;O_BD72BR169;O_Bacillales;O_Bacteroidetes.VC2.1.Bac22;O_Burkholderiales;O_Candidatus.Kaiserbacteria;O_Candidatus.Peribacteria;O_Cellvibrionales;O_Chlamydiales;O_Cytophagales;O_Enterobacterales;O_Flavobacteriales;O_Frankiales;O_IMCC26256;O_Kapabacteriales;O_Lineage.IV;O_Micrococcales;O_Microtrichales;O_Myxococcales;O_NRL2;O_Oligoflexales;O_PLTA13;O_Polyangiales;O_Propionibacteriales;O_R7C24;O_Rhizobiales;O_Rickettsiales;O_S085;O_Saccharimonadales;O_Solirubrobacterales;O_Sphingobacteriales;O_Streptosporangiales;O_Subgroup.13;O_Subgroup.15;O_Subgroup.2;O_Subgroup.7;O_Xanthomonadales;O_mle1.27;P_Acidobacteriota;P_Actinobacteriota;P_Chloroflexi;P_MBNT15;P_NB1.j;P_Planctomycetota;P_Proteobacteria;P_RCP2.54;P_Zixibacteria
BactV5V7-BC39-GP_2_S138_L001;0;0;0;152;0;0;98;0;10833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2583;170;0;0;0;0;0;0;0;0;0;0;3643;0;0;309;137;292;0;2555;12;1676;2941;0;18336;0;381;0;0;0;691;342;0;0;785;59;13673;0;0;0;0;484;0;0;0;0;0;25;96;0;12;308;0;573;345;460;3814;2609;14;101;57;5;0;106;0;0;848;0;0;5453;49;26;22;0;0;0;286;0;173;0;1046;2496;40;9161;0;173;0;332;0;0;0;0;0;0;48;220;0;0;0;0;2025;40;8;0;0;2620;13111;0;0;0;269;485;0;0;0;917;2422;0;152;150;0;0;25;0;8;46;5872;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;33;0;64;0;71;339;0;0;182;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0
BactV5V7-BC42-GP_1_S141_L001;0;37;2;17;44;0;5;0;9676;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;1528;134;8;0;0;0;0;0;0;0;0;0;4018;0;0;639;0;312;0;3575;0;1877;2634;0;19769;0;282;0;12;0;535;592;16;0;1315;50;13887;0;11;0;0;467;0;0;0;0;0;53;114;0;0;112;26;622;259;791;3424;3128;0;19;34;0;0;1527;0;0;847;0;0;5281;992;0;0;0;33;0;230;0;373;0;1172;3619;0;6075;0;774;27;273;0;0;0;0;0;0;0;300;0;0;0;0;922;158;477;0;0;1987;13935;31;0;0;259;382;0;0;0;572;2562;0;161;115;0;0;0;0;0;0;6049;0;0;845;0;45;0;0;0;0;0;0;0;0;0;0;24;0;13;0;78;2679;0;4;174;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0
BactV5V7-BC47-Hid4_6_S146_L001;360;0;0;46;134;73;4;0;12377;0;0;162;0;0;0;0;14;0;0;0;0;0;0;0;0;4732;1522;11;0;0;0;0;278;0;0;0;342;4500;0;0;458;65;454;0;5770;0;2945;1556;0;34433;0;590;0;65;0;670;3304;0;0;5602;157;4608;88;0;44;0;530;0;0;0;55;0;0;123;0;0;477;65;720;328;115;6545;4604;0;133;0;0;0;2684;152;0;1174;0;0;9471;0;100;56;0;75;0;510;0;96;0;474;243;0;8466;0;0;162;956;0;0;0;0;0;6;0;111;0;0;298;0;2184;316;0;0;0;1219;2257;0;0;0;44;1897;0;0;0;1417;1331;0;400;331;0;0;116;0;0;0;140;0;0;0;0;316;0;537;0;0;0;0;0;0;0;0;0;0;122;0;192;487;0;0;161;0;0;0;6;0;8;29;0;100;19;0;88;0;0;0;0;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0;0;0;22;0;71;0;16277;0;0;67;0;0;0;0;4;0;6;0;0;0;0;0;30;4022;174;0;0;0;0;0;0;0;0;0;652;2569;0;22;454;0;233;0;5221;15;4248;1261;0;26394;0;380;0;0;0;1962;424;0;0;2851;74;16572;47;0;0;0;558;0;0;0;0;38;0;143;0;0;218;417;587;312;184;3288;4780;27;95;11;8;0;2386;0;0;1252;0;0;4538;0;56;88;0;50;0;242;0;70;0;556;320;45;7608;0;67;133;3221;0;0;0;0;9;0;0;123;0;0;0;0;1424;216;0;0;0;861;7029;0;0;0;69;902;0;0;85;766;2387;0;115;262;0;0;0;9;0;0;7901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;69;0;160;105;0;0;214;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0
BactV5V7-BC48-GP_3_S147_L001;0;56;0;113;2229;0;93;0;12824;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;2610;295;13;0;0;0;0;0;0;0;0;0;2475;0;0;393;131;245;0;6867;0;544;3677;0;32969;0;461;0;0;0;690;818;0;0;2483;118;7295;0;0;0;0;738;0;0;0;0;0;0;45;0;0;190;0;431;293;126;5545;4326;0;88;72;0;0;2478;0;0;651;0;0;2804;35;105;72;0;89;0;410;0;141;0;864;899;0;10860;0;155;0;1625;0;0;0;0;0;0;0;529;0;0;0;0;972;623;0;0;0;1537;15648;0;0;0;163;855;0;0;0;1460;1972;0;215;367;0;0;0;0;0;32;7431;0;0;0;0;96;0;6;0;0;0;0;0;0;0;0;0;0;39;0;170;560;0;0;154;0;0;0;0;0;0;0;0;162;0;0;66;0;0;0;0;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;0;0;13;173;0;234;0;10653;0;0;99;0;0;0;85;0;0;0;0;19;0;0;0;73;2248;427;0;0;0;0;23;0;0;0;0;557;3296;0;0;431;491;297;0;2950;0;1996;2049;0;29959;0;856;0;0;0;2959;2511;0;0;4359;66;12511;35;0;0;0;894;0;0;716;0;0;56;152;0;23;396;166;858;298;340;6405;4974;42;64;0;0;0;626;0;0;1811;0;0;19145;0;144;100;78;59;0;29;0;433;0;535;161;0;9856;0;147;29;5227;0;0;0;0;0;0;0;187;0;0;0;0;965;311;21;0;2;1270;2791;0;0;24;0;1629;0;0;0;1542;1582;0;264;349;0;0;0;0;0;40;139;0;0;0;0;198;0;0;0;18;0;0;12;0;0;0;0;0;0;0;245;0;0;0;307;0;0;0;0;0;0;0;0;288;0;0;0;0;0;0;0;0;0
BactV5V7-BC52-Cas_soil_S151_L001;3225;566;857;814;380;0;85;0;339;327;37;6137;61;37;115;126;0;366;1488;321;332;152;74;1588;51;14891;5090;0;333;0;1389;35;0;41;579;0;0;126;137;119;0;0;0;395;147;0;0;499;0;3034;0;0;0;0;0;0;340;0;0;103;0;1127;2047;0;0;0;266;0;0;51;0;344;283;420;0;0;0;69;598;643;489;345;0;303;0;0;0;0;6694;6032;0;2342;71;0;600;807;0;2097;0;112;0;0;0;13;0;51681;14;0;98;0;0;0;141;0;0;64;36;110;579;0;69;67;287;237;0;5409;0;0;0;0;0;1836;0;821;0;113;139;0;0;0;325;1276;73;80;0;153;129;0;0;0;0;465;3;13;0;39;63;0;0;69;1004;64;46;0;251;0;633;0;758;0;267;0;775;5;1064;83;0;42;0;0;172;1319;413;0;0;149;232;41;2466;777;15;31;3440;268
BactV5V7-BC41-GP_10_S140_L001;0;0;0;0;95;0;62;0;15860;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;2263;600;0;0;0;0;9;0;0;0;0;362;4500;0;37;846;0;519;0;3852;22;1368;4038;0;26792;0;733;0;0;0;873;2297;0;43;1858;87;14421;0;17;0;0;946;0;0;0;140;0;88;187;0;19;289;437;1417;303;526;5467;4339;39;190;114;0;0;542;0;0;1324;0;0;6226;53;66;94;0;90;0;258;0;547;0;4205;1332;0;9648;0;167;97;989;0;0;0;0;0;0;52;246;0;0;15;0;2401;520;0;5;0;1907;9580;18;0;0;485;845;0;0;0;1092;3390;0;258;297;0;0;34;0;167;20;5361;0;0;1442;0;196;0;0;0;0;0;0;0;0;0;0;0;0;81;144;211;1663;0;0;258;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0;33;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0;0;133;134;0;90;0;6851;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;7;1906;406;6;0;0;0;0;0;0;0;134;554;5889;0;0;430;143;229;0;3847;38;1065;3307;5;29694;0;506;0;0;0;449;4082;0;0;1178;104;20090;0;0;0;5;993;0;0;0;0;0;44;137;13;0;353;208;1154;369;951;4812;4025;0;248;284;0;0;2694;0;0;849;0;2;8114;131;75;52;81;48;0;107;0;178;9;2192;2128;0;8643;0;200;0;531;0;0;0;0;32;0;0;1193;0;0;573;0;1680;1196;0;0;0;2359;7776;13;0;0;379;827;0;0;0;1000;5232;0;300;414;0;0;0;0;30;19;6845;0;0;0;13;149;0;0;0;0;0;0;0;40;14;0;0;0;0;0;43;330;0;0;1249;0;0;0;0;0;0;25;0;42;6;0;0;0;0;0;0;0;0
BactV5V7-BC51-GP_6_S150_L001;0;0;0;3;0;0;111;0;14124;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;7;2895;165;0;0;0;0;0;0;0;0;0;121;3283;0;0;306;0;214;0;2840;0;1163;2820;0;31329;0;547;0;0;0;941;2819;0;0;1732;67;10803;0;0;0;0;399;0;0;53;0;0;38;75;0;23;433;0;637;298;285;6030;4124;0;61;99;0;0;2561;0;35;958;0;3;21956;1139;114;31;28;33;5;267;0;234;0;908;928;0;9212;0;110;0;0;0;0;0;0;0;0;0;802;0;0;0;37;839;516;0;0;0;2238;16313;21;0;0;198;784;0;0;0;1035;1851;0;447;272;0;0;0;0;0;14;117;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;182;0;99;568;0;0;278;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;0;0
