C_AD3;C_Acidimicrobiia;C_Acidobacteriae;C_Actinobacteria;C_Alphaproteobacteria;C_Bacilli;C_Bacteroidia;C_Chloroflexia;C_Gammaproteobacteria;C_JG30.KF.CM66;C_Lineage.IIa;C_MB.A2.108;C_OM190;C_Phycisphaerae;C_Pla4.lineage;C_Polyangia;C_Sericytochromatia;C_Subgroup.11;C_Subgroup.22;C_Subgroup.5;C_TK10;C_Thermoleophilia;C_Verrucomicrobiae;C_bacteriap25;C_vadinHA49;D_Bacteria;D_unassigned;O_0319.6G20;O_0319.7L14;O_11.24;O_211ds20;O_Acetobacterales;O_Acidiferrobacterales;O_Acidobacteriales;O_Aeromonadales;O_Alteromonadales;O_BD72BR169;O_Babeliales;O_Bacillales;O_Bacteriovoracales;O_Bacteroidales;O_Bacteroidetes.VC2.1.Bac22;O_Bdellovibrionales;O_Burkholderiales;O_Candidatus.Kaiserbacteria;O_Candidatus.Peribacteria;O_Caulobacterales;O_Cellvibrionales;O_Chitinophagales;O_Chlamydiales;O_Chloroflexales;O_Chthoniobacterales;O_Clostridiales;O_Corynebacteriales;O_Cytophagales;O_Deinococcales;O_Dongiales;O_Enterobacterales;O_Ferrovibrionales;O_Fibrobacterales;O_Fimbriimonadales;O_Flavobacteriales;O_Frankiales;O_Gaiellales;O_Gammaproteobacteria.Incertae.Sedis;O_Gemmatimonadales;O_Glycomycetales;O_Haliangiales;O_IMCC26256;O_Kapabacteriales;O_Kineosporiales;O_Kryptoniales;O_Leptospirales;O_Lineage.IV;O_Micrococcales;O_Micromonosporales;O_Microtrichales;O_Myxococcales;O_NRL2;O_Nitrospirales;O_Oligoflexales;O_Omnitrophales;O_Opitutales;O_PLTA13;O_Paenibacillales;O_Pedosphaerales;O_Phycisphaerales;O_Pirellulales;O_Polyangiales;O_Propionibacteriales;O_Pseudomonadales;O_Pseudonocardiales;O_R7C24;O_Reyranellales;O_Rhizobiales;O_Rhodobacterales;O_Rickettsiales;O_Rubrobacterales;O_S085;O_Saccharimonadales;O_Salinisphaerales;O_Solibacterales;O_Solirubrobacterales;O_Sphingobacteriales;O_Sphingomonadales;O_Spirochaetales;O_Steroidobacterales;O_Streptomycetales;O_Streptosporangiales;O_Subgroup.13;O_Subgroup.15;O_Subgroup.2;O_Subgroup.7;O_Thermoanaerobaculales;O_Veillonellales.Selenomonadales;O_Vicinamibacterales;O_Xanthomonadales;O_mle1.27;P_Acidobacteriota;P_Actinobacteriota;P_Chloroflexi;P_MBNT15;P_NB1.j;P_Planctomycetota;P_Proteobacteria;P_RCP2.54;P_Zixibacteria
BactV5V7-BC39-GP_2_S138_L001;0;0;0;152;0;0;98;0;10833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2583;170;150;0;0;25;0;0;0;0;0;0;0;8;309;0;46;137;30099;0;0;2555;1676;2941;26;0;0;0;14;3833;0;342;0;0;785;59;14059;0;0;485;0;0;484;0;0;12;0;308;0;1199;460;25;101;0;0;33;0;0;0;49;22;0;0;3993;848;1046;2496;71;40;11400;0;2657;0;0;402;0;0;0;209;2025;40;2620;13111;269;0;0;0;0;0;0;0;2595;48;0;0;0;0;0;0;0;0;0
BactV5V7-BC42-GP_1_S141_L001;0;37;2;17;44;0;5;0;9676;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;1528;134;115;0;0;0;0;0;0;0;0;0;0;0;639;0;0;0;32925;0;0;3575;2722;2634;0;0;8;0;0;3958;0;592;16;0;1315;50;14169;0;0;382;11;0;467;0;0;0;0;112;0;1368;791;53;19;0;0;24;0;0;0;992;0;33;0;4261;847;1172;3619;78;0;10173;27;3128;0;4;474;0;0;0;195;922;158;1987;13935;290;0;0;0;0;0;0;0;3336;56;0;0;0;0;0;0;0;0;0
BactV5V7-BC47-Hid4_6_S146_L001;360;0;0;46;134;73;4;0;12377;0;0;162;0;0;0;0;14;0;0;0;0;0;0;0;0;4732;1522;331;0;0;116;278;0;0;0;342;0;0;0;458;0;0;65;47755;0;0;5825;2945;1556;100;0;11;0;0;6926;0;3304;0;0;5602;157;5735;44;88;1897;0;0;530;0;0;0;0;477;0;1267;115;0;133;0;152;0;0;0;0;0;56;75;0;5132;1174;474;243;192;0;11494;162;4604;0;0;272;298;0;0;400;2184;316;1219;2257;44;6;0;8;29;0;0;0;1331;100;19;0;88;0;0;0;0;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0;0;0;22;0;71;0;16277;0;0;67;0;0;0;0;4;0;6;0;0;0;0;0;30;4022;174;262;0;0;0;0;0;0;0;652;9;0;22;454;0;0;0;44857;0;0;5221;4248;1261;56;0;0;0;27;3288;0;424;0;0;2851;74;17045;0;47;902;0;0;558;0;0;0;0;218;0;1127;184;38;95;0;0;103;0;0;0;0;88;50;0;2880;1252;556;320;160;45;10674;133;4780;0;0;346;0;0;0;126;1424;216;861;7029;69;0;0;0;0;0;0;0;2454;79;0;0;0;0;0;0;0;0;0
BactV5V7-BC48-GP_3_S147_L001;0;56;0;113;2229;0;93;0;12824;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;2610;295;367;0;0;0;0;0;0;0;0;0;0;0;393;0;32;131;47307;0;0;6867;544;3677;105;0;13;0;0;5641;0;818;0;0;2483;118;7762;0;0;855;0;0;738;0;0;0;0;190;0;910;126;0;88;0;0;0;0;0;0;35;72;89;0;2924;651;864;899;170;0;13815;0;4326;0;0;683;0;0;0;287;972;623;1537;15648;163;0;0;0;0;0;0;0;2127;162;0;0;66;0;0;0;0;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;0;0;13;173;0;234;0;10653;0;0;99;0;0;0;85;0;0;0;0;19;0;0;0;73;2248;427;349;0;0;0;0;0;0;0;557;0;0;0;431;0;40;491;55262;0;0;2950;1996;2049;144;0;0;0;42;6624;0;2511;0;0;4359;66;13367;0;35;1629;0;0;894;18;0;23;0;396;0;1753;340;56;64;0;0;0;0;0;0;0;100;59;0;3403;1811;535;161;245;0;15370;29;4974;0;0;494;0;0;0;287;965;311;1270;2791;0;0;0;0;0;24;2;0;1729;288;0;0;0;0;0;0;0;0;0
BactV5V7-BC52-Cas_soil_S151_L001;3225;566;857;814;380;0;85;0;339;327;37;6137;61;37;115;126;0;366;1488;321;332;152;74;1588;51;14891;5090;0;153;129;0;0;41;579;0;0;0;0;119;0;0;0;0;14187;3;13;147;0;499;179;64;0;0;303;408;0;340;0;0;103;0;1127;69;2047;139;0;0;266;1004;64;0;137;0;46;1674;489;878;0;633;6032;0;71;0;758;807;2097;112;0;126;2609;51681;14;0;0;1249;0;5;36;1064;262;237;287;333;157;5409;0;0;1836;113;0;172;1319;413;0;0;0;1276;0;149;232;41;2466;777;15;31;3440;268
BactV5V7-BC41-GP_10_S140_L001;0;0;0;0;95;0;62;0;15860;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;2263;600;297;0;0;34;0;0;0;0;362;0;0;204;846;0;20;0;40347;0;0;3992;2810;4038;66;0;0;0;39;5663;0;2297;0;43;1858;87;15154;5;0;845;17;0;946;0;0;19;0;289;0;2476;526;88;190;0;0;0;0;0;0;53;94;90;0;4839;1468;4205;1332;211;0;13795;97;4391;0;0;504;15;0;0;381;2401;520;1907;9580;503;0;0;0;0;0;0;0;3557;129;0;0;0;0;0;0;33;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0;0;133;134;0;90;0;6851;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;7;1906;406;414;0;0;0;0;0;0;134;554;0;0;30;430;0;19;143;48086;0;0;3847;1065;3307;88;0;6;5;0;4961;0;4082;0;0;1178;104;20596;0;0;827;0;5;993;0;0;0;0;353;0;1876;951;84;262;0;0;0;0;2;0;131;52;48;0;6077;858;2192;2128;43;0;10651;0;4025;0;0;2474;573;0;0;597;1680;1196;2359;7776;392;0;0;0;25;0;0;0;5432;42;6;0;0;0;0;0;0;0;0
BactV5V7-BC51-GP_6_S150_L001;0;0;0;3;0;0;111;0;14124;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;7;2895;165;272;0;0;0;0;0;0;0;121;0;0;0;306;0;14;0;55963;0;0;2840;1163;2820;114;0;0;0;35;6144;0;2819;0;0;1732;67;11350;0;0;784;0;0;399;0;0;23;0;433;0;1244;285;38;61;0;0;0;0;3;0;1139;31;33;5;3760;958;908;928;99;0;12023;0;4124;0;0;1080;0;0;0;583;839;516;2238;16313;219;0;0;0;0;0;0;0;1961;132;0;0;0;0;0;0;0;0;0
