D_Bacteria;D_unassigned;P_Acidobacteriota;P_Actinobacteriota;P_Armatimonadota;P_Bacteroidota;P_Bdellovibrionota;P_Chloroflexi;P_Cyanobacteria;P_Deinococcota;P_Dependentiae;P_Elusimicrobiota;P_Fibrobacterota;P_Firmicutes;P_Gemmatimonadota;P_MBNT15;P_Myxococcota;P_NB1.j;P_Nitrospirota;P_Patescibacteria;P_Planctomycetota;P_Proteobacteria;P_RCP2.54;P_Spirochaetota;P_Verrucomicrobiota;P_Zixibacteria
BactV5V7-BC39-GP_2_S138_L001;2583;170;0;18586;59;21186;629;0;0;0;0;0;785;57;0;0;4626;0;0;402;0;68469;0;348;48;0
BactV5V7-BC42-GP_1_S141_L001;1528;134;2;21004;50;20961;778;4;0;0;0;0;1315;992;11;0;4803;0;0;474;33;70755;0;270;8;0
BactV5V7-BC47-Hid4_6_S146_L001;4732;1522;62;5440;157;14621;854;448;14;0;0;0;5602;73;0;0;5895;0;152;272;75;96931;0;793;167;0
BactV5V7-BC46-Hid4_9_S145_L001;4022;174;6;10160;74;21791;819;0;4;0;0;0;2851;22;0;0;3612;0;0;346;80;93699;0;434;144;0
BactV5V7-BC48-GP_3_S147_L001;2610;295;0;18624;118;17492;891;66;0;0;0;0;2483;35;0;0;3912;0;0;683;89;95255;0;813;190;0
BactV5V7-BC50-Hid4_8_S149_L001;2248;427;24;7142;66;22601;1271;19;0;0;0;0;4359;2;0;0;4734;0;0;494;132;100848;0;707;244;0
BactV5V7-BC52-Cas_soil_S151_L001;14891;5090;6080;19459;0;2477;0;5053;0;0;0;83;103;926;0;2466;2106;777;6032;278;391;76852;3440;0;2421;268
BactV5V7-BC41-GP_10_S140_L001;2263;600;0;16142;87;25318;1143;0;0;0;0;0;1858;257;17;0;6104;0;0;504;90;97297;0;809;160;0
BactV5V7-BC37-GP_12_S136_L001;1906;406;31;14269;104;29570;987;0;0;0;0;0;1178;166;0;0;7374;0;0;2474;55;92535;0;1549;148;0
BactV5V7-BC51-GP_6_S150_L001;2895;165;0;20097;67;21022;578;0;0;0;0;0;1732;1139;0;0;4352;0;0;1080;45;100006;0;949;148;0
BactV5V7-BC34-Hid4_11_S133_L001;2199;231;0;20710;88;25957;809;100;0;26;0;0;1699;47;0;0;5470;0;0;530;101;96771;0;312;126;0
BactV5V7-BC35-Hid4_5_S134_L001;1616;245;0;12814;91;30275;1057;12;0;930;86;0;1739;0;0;0;4605;0;0;2892;85;100980;0;703;211;0
BactV5V7-BC49-GP_8_S148_L001;1723;504;0;17833;63;29344;591;43;0;0;0;0;1396;47;0;0;2073;0;0;1491;0;103030;0;184;94;0
BactV5V7-BC36-Hid4_10_S135_L001;2610;517;0;12351;90;26979;1397;0;0;0;0;0;4022;540;20;0;7752;0;0;921;54;101073;0;1053;261;0
BactV5V7-BC33-Hid4_13_S132_L001;2369;406;4;4869;74;34524;1083;105;0;0;0;0;1759;100;0;0;3637;0;0;304;57;111485;0;402;245;0
BactV5V7-BC38-GP_7_S137_L001;2398;280;0;13892;119;23829;982;0;0;0;0;0;3549;1013;0;0;3584;0;0;519;51;113501;0;840;193;0
BactV5V7-BC40-Hid4_7_S139_L001;2438;396;0;11800;143;28025;1075;0;0;0;35;0;3178;95;0;0;5989;0;0;635;76;111473;0;548;152;0
BactV5V7-BC44-Hid4_12_S143_L001;5336;934;0;10565;89;21076;843;445;0;0;0;0;3813;24;0;0;5269;0;223;295;72;116230;0;700;282;0
BactV5V7-BC43-GP_5_S142_L001;4028;309;0;35218;40;24108;646;0;0;0;0;0;2245;684;0;0;8395;0;0;884;53;92520;0;1042;97;0
BactV5V7-BC45-GP_11_S144_L001;5024;519;0;19934;83;35056;921;0;0;36;0;0;2117;863;0;0;7861;0;0;1651;56;121181;0;798;119;0
