C_AD3;C_Acidimicrobiia;C_Acidobacteriae;C_Actinobacteria;C_Alphaproteobacteria;C_Bacilli;C_Bacteroidia;C_Chloroflexia;C_Gammaproteobacteria;C_JG30.KF.CM66;C_Lineage.IIa;C_MB.A2.108;C_OM190;C_Phycisphaerae;C_Pla4.lineage;C_Polyangia;C_Sericytochromatia;C_Subgroup.11;C_Subgroup.22;C_Subgroup.5;C_TK10;C_Thermoleophilia;C_Verrucomicrobiae;C_bacteriap25;C_vadinHA49;D_Bacteria;D_unassigned;F_01D2Z36;F_67.14;F_A0839;F_A21b;F_AKYH767;F_Acetobacteraceae;F_Acidobacteriaceae..Subgroup.1.;F_Alteromonadaceae;F_BIrii41;F_BSV26;F_Bacillaceae;F_Burkholderiaceae;F_Caulobacteraceae;F_Chitinophagaceae;F_Comamonadaceae;F_Devosiaceae;F_Enterobacteriaceae;F_Flavobacteriaceae;F_Ilumatobacteraceae;F_Intrasporangiaceae;F_KD3.93;F_Kineosporiaceae;F_Methylophilaceae;F_Microbacteriaceae;F_Micrococcaceae;F_Micromonosporaceae;F_Microscillaceae;F_Mitochondria;F_Myxococcaceae;F_NS11.12.marine.group;F_NS9.marine.group;F_Nocardiaceae;F_Nocardioidaceae;F_Oxalobacteraceae;F_Paenibacillaceae;F_Parachlamydiaceae;F_Pedosphaeraceae;F_Phycisphaeraceae;F_Pirellulaceae;F_Polyangiaceae;F_Propionibacteriaceae;F_Pseudomonadaceae;F_Pseudonocardiaceae;F_Rhizobiaceae;F_Rhodanobacteraceae;F_Rhodobacteraceae;F_Rhodocyclaceae;F_Rickettsiaceae;F_SC.I.84;F_SM2D12;F_Saccharimonadaceae;F_Simkaniaceae;F_Sphingobacteriaceae;F_Sphingomonadaceae;F_Spirochaetaceae;F_Sporichthyaceae;F_Sporomusaceae;F_Streptomycetaceae;F_TRA3.20;F_Thermomonosporaceae;F_Vermiphilaceae;F_Xanthobacteraceae;F_Xanthomonadaceae;F_cvE6;F_env.OPS.17;G_Acidibacter;G_Actinocorallia;G_Actinophytocola;G_Actinoplanes;G_Adhaeribacter;G_Aeromicrobium;G_Aeromonas;G_Aetherobacter;G_Afipia;G_Agromyces;G_Ahniella;G_Algoriphagus;G_Allocatelliglobosispora;G_Alloprevotella;G_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium;G_Altererythrobacter;G_Arcicella;G_Arcticibacter;G_Arenimonas;G_Arsenicitalea;G_Arthrobacter;G_Asticcacaulis;G_Aurantisolimonas;G_Bacillus;G_Bacteriovorax;G_Bdellovibrio;G_Belnapia;G_Blastococcus;G_Bosea;G_Bradyrhizobium;G_Brevundimonas;G_Burkholderia.Caballeronia.Paraburkholderia;G_CL500.29.marine.group;G_Candidatus.Berkiella;G_Candidatus.Omnitrophus;G_Candidatus.Ovatusbacter;G_Candidatus.Protochlamydia;G_Candidatus.Solibacter;G_Catellatospora;G_Caulobacter;G_Cellulomonas;G_Cellvibrio;G_Chitinophaga;G_Chryseobacterium;G_Chryseoglobus;G_Chryseolinea;G_Clostridium.sensu.stricto.8;G_Cnuella;G_Crocinitomix;G_Cutibacterium;G_Cystobacter;G_Cytophaga;G_Dactylosporangium;G_Dechloromonas;G_Defluviimonas;G_Deinococcus;G_Delftia;G_Devosia;G_Dongia;G_Duganella;G_Dyadobacter;G_Edaphobaculum;G_Ellin517;G_Ellin6055;G_Ellin6067;G_Emticicia;G_Ferribacterium;G_Ferrovibrio;G_Ferruginibacter;G_Filimonas;G_Fimbriimonas;G_Flavobacterium;G_Fluviicola;G_Gaiella;G_Gemmatimonas;G_Glycomyces;G_Haliangium;G_Herpetosiphon;G_Hirschia;G_Hydrocarboniphaga;G_Hyphomicrobium;G_IS.44;G_Iamia;G_Ideonella;G_Ilumatobacter;G_Janibacter;G_Kineococcus;G_Kineosporia;G_Kitasatospora;G_Kouleothrix;G_Kribbella;G_Lacibacter;G_Lacunisphaera;G_Larkinella;G_Lawsonella;G_Lechevalieria;G_Leifsonia;G_Longispora;G_Lysobacter;G_MND1;G_Marmoricola;G_Massilia;G_Methylobacterium.Methylorubrum;G_Methylophilus;G_Methylotenera;G_Methyloversatilis;G_Microbacterium;G_Micromonospora;G_Mucilaginibacter;G_Myceligenerans;G_Mycobacterium;G_Nakamurella;G_Neochlamydia;G_Neorhizobium;G_Niastella;G_Nitrospira;G_Nocardioides;G_Nonomuraea;G_Nordella;G_Noviherbaspirillum;G_Novosphingobium;G_OLB12;G_Ohtaekwangia;G_Oligoflexus;G_P3OB.42;G_Paenibacillus;G_Pajaroellobacter;G_Panacagrimonas;G_Paracoccus;G_Pedobacter;G_Pedomicrobium;G_Peredibacter;G_Phaselicystis;G_Phenylobacterium;G_Phycicoccus;G_Phyllobacterium;G_Promicromonospora;G_Pseudarthrobacter;G_Pseudoduganella;G_Pseudoflavitalea;G_Pseudolabrys;G_Pseudomonas;G_Pseudonocardia;G_Pseudorhodoferax;G_Pseudorhodoplanes;G_Pseudoxanthomonas;G_RS25G;G_Reyranella;G_Rheinheimera;G_Rhizobacter;G_Rhizocola;G_Rhizorhapis;G_Rhodococcus;G_Rhodomicrobium;G_Rhodoplanes;G_Rhodopseudomonas;G_Roseomonas;G_Rubrivivax;G_Rubrobacter;G_SM1A02;G_Sediminibacterium;G_Shinella;G_Sorangium;G_Sphingoaurantiacus;G_Sphingobium;G_Sphingomonas;G_Sphingopyxis;G_Spirochaeta.2;G_Spirosoma;G_Steroidobacter;G_Streptomyces;G_Subgroup.10;G_Sulfurifustis;G_TM7;G_TM7a;G_Tahibacter;G_Tardiphaga;G_Terrabacter;G_Terrimonas;G_Turneriella;G_Umezawaea;G_Undibacterium;G_Vicinamibacter;G_Zoogloea;G_mle1.7;G_possible.genus.04;O_0319.6G20;O_0319.7L14;O_11.24;O_211ds20;O_BD72BR169;O_Bacillales;O_Bacteroidetes.VC2.1.Bac22;O_Burkholderiales;O_Candidatus.Kaiserbacteria;O_Candidatus.Peribacteria;O_Cellvibrionales;O_Chlamydiales;O_Cytophagales;O_Enterobacterales;O_Flavobacteriales;O_Frankiales;O_IMCC26256;O_Kapabacteriales;O_Lineage.IV;O_Micrococcales;O_Microtrichales;O_Myxococcales;O_NRL2;O_PLTA13;O_Polyangiales;O_Propionibacteriales;O_R7C24;O_Rhizobiales;O_Rickettsiales;O_S085;O_Saccharimonadales;O_Solirubrobacterales;O_Sphingobacteriales;O_Streptosporangiales;O_Subgroup.13;O_Subgroup.15;O_Subgroup.2;O_Subgroup.7;O_Xanthomonadales;O_mle1.27;P_Acidobacteriota;P_Actinobacteriota;P_Chloroflexi;P_MBNT15;P_NB1.j;P_Planctomycetota;P_Proteobacteria;P_RCP2.54;P_Zixibacteria
BactV5V7-BC39-GP_2_S138_L001;0;0;0;152;0;0;98;0;10833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2583;170;0;0;0;0;0;0;0;0;3643;0;0;0;0;2183;17690;0;0;507;0;0;0;0;0;309;93;252;310;2609;53;57;5;0;52;5453;14;26;0;0;0;0;0;0;671;9032;0;0;0;0;0;48;193;0;0;331;0;0;0;322;0;0;0;86;1266;0;152;485;269;0;0;0;141;0;0;0;156;173;0;0;0;0;77;0;0;0;28;252;339;0;0;0;137;0;0;292;491;250;0;25;0;0;0;0;0;93;1485;12;1676;306;0;0;514;0;0;381;0;0;0;0;0;0;0;0;663;342;0;0;34;0;0;106;8;0;0;24;0;59;13166;0;0;0;0;484;0;0;0;0;0;0;113;0;0;0;12;0;0;29;0;0;0;0;1287;65;0;221;0;73;0;0;0;0;332;43;115;0;24;14;0;0;0;107;0;553;0;0;0;0;47;2943;33;48;35;0;0;0;0;0;309;0;481;6;129;149;0;0;146;66;1046;0;0;177;935;22;40;0;533;0;0;0;0;0;0;0;0;0;0;0;0;286;0;1053;289;275;40;0;2620;12789;0;0;0;27;0;97;90;141;308;538;0;0;0;0;785;150;0;0;25;0;8;46;5872;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;64;0;71;339;0;0;182;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0
BactV5V7-BC42-GP_1_S141_L001;0;37;2;17;44;0;5;0;9676;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;1528;134;8;0;0;0;0;0;0;0;4018;0;0;0;0;2055;18681;0;16;53;0;0;0;0;0;363;4;610;715;3128;19;34;0;0;53;5281;0;0;0;0;0;0;0;0;721;2549;714;27;0;0;0;0;265;0;0;108;0;0;0;541;0;76;0;0;1389;0;161;382;183;0;0;0;105;0;0;0;253;60;0;0;0;3068;0;477;0;0;0;255;367;0;0;0;0;0;0;312;507;50;0;53;0;0;0;0;0;181;2573;0;1877;359;0;0;197;0;0;282;0;0;12;0;0;0;0;0;535;592;0;0;27;0;0;1527;0;0;0;0;0;50;13834;0;0;11;0;467;0;0;0;0;0;0;226;0;0;0;0;0;0;71;0;0;0;0;1575;0;0;155;0;36;0;0;0;26;273;6;0;0;61;0;0;0;199;193;0;582;31;0;0;0;125;2387;24;0;992;117;0;0;0;0;639;0;585;0;259;312;0;0;0;0;1172;0;0;65;1018;0;0;0;862;0;0;0;0;0;0;0;0;0;33;0;0;113;0;0;412;402;158;0;1987;13394;0;0;0;35;0;0;114;0;112;1323;0;0;0;0;1315;115;0;0;0;0;0;0;6049;0;0;845;0;45;0;0;0;0;0;0;0;0;0;0;0;13;0;78;2679;0;4;174;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0
BactV5V7-BC47-Hid4_6_S146_L001;360;0;0;46;134;73;4;0;12377;0;0;162;0;0;0;0;14;0;0;0;0;0;0;0;0;4732;1522;11;0;0;0;0;0;0;229;4500;0;0;0;2273;1349;32324;0;0;62;0;0;0;0;65;545;0;115;1826;4604;93;0;0;0;100;9367;0;100;41;0;0;79;0;0;144;8466;0;162;0;0;6;0;111;0;0;235;59;0;0;170;0;0;0;140;681;0;400;1897;44;0;0;0;124;0;0;0;123;0;0;0;0;0;285;0;0;143;0;259;682;0;0;32;65;0;44;454;797;1915;0;0;0;0;0;0;0;0;842;0;2945;0;0;0;290;0;0;590;0;0;65;0;0;0;0;0;670;3304;0;0;40;0;0;2684;0;0;0;0;0;157;4546;0;88;0;0;530;0;55;0;0;0;0;325;0;15;0;0;0;0;28;41;0;0;0;77;0;0;0;0;0;0;0;0;0;956;52;0;0;96;0;0;0;0;51;152;922;0;0;0;0;77;4352;0;40;0;0;298;0;0;0;426;0;58;0;0;0;69;104;75;211;474;22;0;205;507;15;0;113;1784;0;0;0;0;0;0;278;0;0;75;0;0;431;0;676;576;412;257;0;1219;2087;0;0;0;0;0;64;108;0;477;0;0;0;0;0;5602;331;0;0;116;0;0;0;140;0;0;0;0;316;0;537;0;0;0;0;0;0;0;0;0;122;0;192;487;0;0;161;0;0;0;6;0;8;29;0;100;19;0;88;0;0;0;0;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0;0;0;22;0;71;0;16277;0;0;67;0;0;0;0;4;0;6;0;0;0;0;0;30;4022;174;0;0;0;0;0;0;0;0;2569;0;22;0;233;1192;25224;0;0;101;0;0;0;0;0;422;60;127;1013;4780;95;11;8;0;37;4538;0;51;88;0;0;0;0;0;114;7608;0;133;0;0;0;0;123;0;0;27;38;0;0;311;0;0;0;0;1886;0;115;902;69;0;0;0;156;0;0;0;165;67;0;0;0;0;0;0;0;91;0;252;732;0;0;79;0;0;0;233;650;2734;0;0;0;0;0;5;0;57;1107;15;4248;23;85;0;186;0;0;380;0;0;0;0;0;0;0;0;1962;424;0;0;21;0;0;2386;0;0;0;0;0;74;16471;0;47;0;0;558;0;0;0;0;0;38;317;0;0;0;0;0;0;26;25;0;0;0;106;0;0;0;0;88;0;0;417;0;3221;0;0;0;39;27;0;0;0;0;0;945;0;0;0;0;188;1901;103;0;0;0;0;0;0;0;375;0;415;0;0;31;0;0;0;116;556;0;0;0;410;0;45;652;0;0;0;0;0;0;0;0;853;0;50;0;0;242;0;293;802;302;178;0;861;6718;0;0;9;0;0;0;143;0;218;100;0;0;0;0;2851;262;0;0;0;9;0;0;7901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;160;105;0;0;214;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0
BactV5V7-BC48-GP_3_S147_L001;0;56;0;113;2229;0;93;0;12824;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;2610;295;13;0;0;0;0;0;0;0;2475;0;0;0;3477;2619;30399;0;0;581;0;0;0;0;0;323;106;0;2010;4326;36;72;0;0;0;2804;0;105;72;0;0;152;0;0;0;10572;0;0;0;0;0;0;211;0;0;8;107;0;0;706;0;0;0;68;418;0;215;855;163;0;0;0;119;0;0;0;108;155;0;0;0;0;146;0;0;0;0;187;169;0;0;0;131;0;0;245;889;83;0;0;0;0;0;0;0;109;2970;0;544;190;0;0;240;0;0;461;0;0;0;0;0;0;0;0;690;818;0;0;13;0;0;2478;0;0;0;101;0;118;6714;0;0;0;0;738;0;0;0;0;0;0;501;0;0;0;0;0;0;0;0;0;0;0;784;0;0;872;0;97;0;0;0;0;1625;0;0;0;24;0;0;0;153;152;0;435;0;0;0;0;108;3187;0;52;35;156;0;0;0;0;393;0;168;0;135;117;0;0;437;117;864;0;0;213;682;0;0;0;2069;17;0;0;0;0;0;0;0;0;89;0;0;102;0;147;610;61;516;0;1537;14942;0;0;0;318;0;173;45;165;190;115;0;0;0;0;2483;367;0;0;0;0;0;32;7431;0;0;0;0;96;0;6;0;0;0;0;0;0;0;0;0;39;0;170;560;0;0;154;0;0;0;0;0;0;0;0;162;0;0;66;0;0;0;0;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;0;0;13;173;0;234;0;10653;0;0;99;0;0;0;85;0;0;0;0;19;0;0;0;73;2248;427;0;0;0;0;23;0;0;0;3296;0;0;0;84;1784;26874;1230;0;747;0;0;0;0;124;645;0;192;2528;4974;0;0;0;0;275;19145;0;144;91;0;0;0;0;0;0;9856;0;29;1313;0;0;0;138;0;0;83;68;0;2;179;0;0;0;224;600;0;264;1629;0;0;0;0;113;0;0;0;213;147;0;0;0;0;0;0;0;189;0;127;661;0;0;99;491;0;0;297;941;281;0;56;0;0;0;0;0;148;1484;0;1996;0;0;0;415;0;0;838;0;0;0;0;0;0;0;0;1729;2511;0;13;28;9;0;626;8;868;0;79;0;66;11764;18;35;0;0;894;0;0;0;716;0;0;963;0;22;0;23;0;0;33;0;0;0;0;40;0;0;161;0;93;0;0;0;42;1277;0;0;0;44;42;0;0;0;135;0;1297;0;0;0;34;159;3303;0;64;0;29;0;0;0;0;332;78;440;14;0;389;171;0;0;119;535;0;0;174;632;0;0;557;2041;0;0;0;0;0;0;0;81;0;59;23;0;0;0;233;389;226;243;0;1270;2612;24;0;0;49;0;84;116;0;396;121;0;0;1769;0;4359;349;0;0;0;0;0;40;139;0;0;0;0;198;0;0;0;18;0;0;12;0;0;0;0;0;0;245;0;0;0;307;0;0;0;0;0;0;0;0;288;0;0;0;0;0;0;0;0;0
BactV5V7-BC52-Cas_soil_S151_L001;3225;566;857;814;380;0;85;0;339;327;37;6137;61;37;115;126;0;366;1488;321;332;152;74;1588;51;14891;5090;0;333;0;1389;35;0;579;0;126;137;119;172;0;336;3034;0;0;1127;0;34;0;0;69;82;0;261;226;0;0;0;0;0;237;600;0;0;2097;17;0;0;0;51539;0;50;0;0;141;0;579;0;0;67;0;93;0;0;0;0;821;0;0;0;761;73;80;139;113;0;0;0;327;0;0;0;516;0;0;0;0;0;0;0;0;432;0;643;0;0;0;0;0;0;0;0;130;0;223;183;0;71;0;0;287;228;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;340;0;0;0;0;0;3694;0;0;0;0;0;0;0;0;2047;0;0;266;0;0;0;0;222;344;0;100;0;0;0;187;64;294;0;0;0;0;0;0;0;0;2595;366;0;0;0;0;0;0;0;0;0;303;0;0;0;0;6032;1118;0;0;0;100;0;90;0;0;807;0;237;0;0;51;0;0;147;0;48;13;0;0;0;96;142;14;0;99;83;0;0;0;0;0;0;0;0;0;0;0;0;36;95;0;0;0;0;0;5216;0;0;0;0;1649;0;41;110;69;0;0;386;163;0;0;0;0;0;183;103;0;153;129;0;0;0;0;465;3;13;0;39;63;0;0;69;1004;64;46;0;251;0;633;758;0;267;0;775;5;1064;83;0;42;0;0;172;1319;413;0;0;149;232;41;2466;777;15;31;3440;268
BactV5V7-BC41-GP_10_S140_L001;0;0;0;0;95;0;62;0;15860;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;2263;600;0;0;0;0;9;0;0;122;4500;0;37;0;241;2979;24603;0;0;86;0;0;0;0;0;755;62;309;2075;4339;140;114;0;0;0;6226;0;66;55;0;0;0;0;0;332;9302;0;97;0;0;0;52;246;0;0;62;150;5;0;412;0;83;0;26;1498;0;258;845;402;0;0;0;153;0;0;0;604;167;0;0;0;0;236;0;0;178;0;241;759;0;0;0;0;0;0;519;797;0;0;88;0;0;0;0;0;217;2294;22;1368;413;0;0;354;0;0;733;0;0;0;0;0;0;0;0;873;2297;0;0;38;0;0;542;0;0;43;161;0;87;14335;0;0;17;0;946;0;140;15;0;0;0;301;0;0;0;19;0;0;77;92;0;0;0;690;0;0;527;0;145;0;0;437;0;989;58;0;0;230;39;0;0;163;130;0;949;18;0;0;0;90;2948;0;50;53;95;0;0;0;0;846;0;558;15;183;317;0;0;128;0;4205;0;0;90;1187;39;0;240;1888;0;0;0;0;0;90;0;0;0;90;23;0;163;0;1006;817;280;370;0;1907;9168;0;0;0;0;0;89;172;74;289;310;0;0;0;0;1858;297;0;0;34;0;167;20;5361;0;0;1442;0;196;0;0;0;0;0;0;0;0;0;0;0;81;144;211;1663;0;0;258;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0;33;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0;0;133;134;0;90;0;6851;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;7;1906;406;6;0;0;0;0;0;0;0;5889;0;0;0;227;2767;27968;0;0;925;0;27;13;0;208;600;60;275;1626;4025;172;284;0;0;0;7752;0;50;0;0;0;17;0;0;505;8466;0;0;247;0;0;0;1058;0;0;72;236;0;0;577;0;61;0;18;2566;0;300;827;318;14;0;0;100;134;0;0;529;200;0;0;0;0;233;0;0;283;0;309;323;0;0;0;143;0;0;229;646;241;0;44;0;0;0;17;0;528;1931;38;1065;254;0;0;400;5;0;481;9;0;0;95;0;0;0;0;449;4082;0;0;20;0;0;2694;0;0;0;32;0;104;19165;25;0;0;5;993;0;0;0;0;0;0;203;0;0;0;0;0;0;0;58;2;0;0;1446;0;0;827;0;51;0;0;0;0;284;25;53;0;56;0;0;8;0;139;0;698;13;0;0;0;128;2658;0;76;131;47;573;0;0;0;430;81;1125;0;177;122;0;362;0;0;2192;0;0;86;1556;52;0;554;1523;0;0;0;0;0;111;0;0;0;48;0;0;43;0;97;867;411;960;0;2359;7199;0;0;32;135;0;139;110;37;353;163;0;0;0;0;1178;414;0;0;0;0;30;19;6845;0;0;0;13;149;0;0;0;0;0;0;0;40;14;0;0;0;0;43;330;0;0;1249;0;0;0;0;0;0;25;0;42;6;0;0;0;0;0;0;0;0
BactV5V7-BC51-GP_6_S150_L001;0;0;0;3;0;0;111;0;14124;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;7;2895;165;0;0;0;0;0;0;0;0;3283;0;0;0;111;1491;28184;0;0;80;0;0;0;0;0;424;33;93;2255;4124;0;99;0;0;0;21956;0;102;31;0;5;9;0;0;90;9074;0;0;0;0;0;0;761;0;0;0;186;0;0;445;0;0;0;143;877;0;447;784;198;0;0;0;125;0;0;0;213;110;0;19;0;0;118;0;0;84;0;265;311;0;0;0;0;0;0;214;559;139;0;38;0;0;0;12;0;173;2009;0;1163;604;0;0;375;0;0;547;0;0;0;0;0;0;0;0;941;2819;0;0;36;0;0;2561;0;0;0;0;0;67;10723;0;0;0;0;399;0;0;0;53;0;0;298;0;0;0;23;0;0;41;0;3;0;0;193;0;0;0;0;101;0;0;0;0;0;0;0;10;34;0;0;0;0;472;0;691;21;0;0;0;97;3303;0;61;1139;66;0;0;27;0;306;28;270;0;138;200;0;0;217;129;908;0;0;136;890;0;0;121;1499;0;0;35;0;0;0;0;1348;0;33;0;0;192;0;116;515;90;330;0;2238;15868;0;0;0;41;0;68;75;0;433;645;0;0;0;0;1732;272;0;0;0;0;0;14;117;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;182;0;99;568;0;0;278;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;0;0
