C_AD3;C_Acidimicrobiia;C_Acidobacteriae;C_Actinobacteria;C_Alphaproteobacteria;C_Bacilli;C_Bacteroidia;C_Bdellovibrionia;C_Chlamydiae;C_Fibrobacteria;C_Fimbriimonadia;C_Gammaproteobacteria;C_Leptospirae;C_MB.A2.108;C_Myxococcia;C_Nitrospiria;C_Oligoflexia;C_Polyangia;C_Saccharimonadia;C_Spirochaetia;C_Subgroup.22;C_Thermoleophilia;C_Verrucomicrobiae;C_bacteriap25;D_Bacteria;D_unassigned;P_MBNT15;P_RCP2.54
BactV5V7-BC39-GP_2_S138_L001;0;0.000211957811917116;0;0.157365957879744;0.161249024994065;0.000483263811171024;0.179621528131041;0.00378132736460135;0.000220436124393801;0.00665547529419744;0.000500220436124394;0.419252551972055;0.00261132024281887;0;0.000856309560145149;0;0.00155153118323329;0.038364363956998;0.00340828161562723;0.000339132499067386;0;0;0.000186522874487062;0;0.0218994811272764;0.00144131312103639;0;0
BactV5V7-BC42-GP_1_S141_L001;0;0.000730982277740777;1.62440506164617e-05;0.169482302106853;0.14994070921525;0.00805704910576501;0.170245772485827;0.00518997417195952;0;0.0106804632803236;0.000406101265411543;0.424733191468625;0.000909666834521856;0.00038173518948685;0.000154318480856386;0;0.00112896151784409;0.0388557690745764;0.00384983999610143;0.00128327999870048;0;0;6.49762024658469e-05;0;0.0124104546709768;0.00108835139130294;0;0
BactV5V7-BC47-Hid4_6_S146_L001;0.00261229228648139;0;0.000101589144474276;0.0376605471301067;0.203069443436616;0.000529714824758726;0.106095348668457;0.00379508018286046;0.00072563674624483;0.0406501705246354;0.00113924969160438;0.50029751106596;0.00346128727958784;0.00117553152891662;0.000965096872505624;0.00110296785429214;0.00240185763007039;0.0418111893186271;0.00197373194978594;0.00229301211813366;0;0.00063856033669545;0.000486176619984036;0;0.0343371308323054;0.0110441912778463;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0.00027488823623027;0;0.0723968807419089;0.164375931364748;0.000159145820975419;0.157633935676153;0.00328419103285638;0.000405098453391976;0.0206238516182236;0.000535308670553683;0.513433354070516;0.00157699040784734;0.000484671363879686;0.000687220590575674;0;0.00264037384800127;0.0254416296532068;0.00250292972988614;0.00156252260594048;4.34034057205689e-05;0.000339993344811123;0.000636583283901677;0;0.029094749634688;0.0012586987658965;0;0
BactV5V7-BC48-GP_3_S147_L001;0;0.000390091671542813;0;0.128939229290312;0.202199838390593;0.000243807294714258;0.12184791997548;0.00365014349800775;0.000731421884142774;0.0172963860793001;0.000821978879322355;0.461339128981025;0.00132352531416311;0.000404023516955056;0.000613001198138705;0;0.00255649363314665;0.0266376884282092;0.00475772520828109;0.00433976984591379;0;0;0.00059210343002034;0;0.0181810582629775;0.00205494719830589;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;0.000509228037820504;0;0.0477160434357753;0.185606738325603;0;0.155527876794341;0.00634470609284466;0.000990930235758819;0.0299962840116159;0.000454176358056125;0.508374736784156;0.00272505814833675;0.000681264537084188;0.00044041343811503;0;0.00240162952972103;0.0321364180624561;0.00339944122545039;0.00214013405084023;0;0.000240851098969157;0.000688145997054735;0;0.0154695220137904;0.00293838340742372;0;0
BactV5V7-BC52-Cas_soil_S151_L001;0.0216162956707084;0.0164082765277191;0.0215425656699711;0.0541178205411782;0.0547143632744164;0.00620672551661271;0.0152554074252813;0;0.00119978819381606;0.000690380915994718;0;0.460195853692868;0;0.0411346376840736;0;0.0404308513133994;0;0.00347201276199285;0.00175611456301569;0;0.00997365828155477;0.0169713056242585;0.0145516210546071;0.0106439310155302;0.0998103128162849;0.0341168821593506;0.0165289256198347;0.0230573820487556
BactV5V7-BC41-GP_10_S140_L001;0;0.000576485925227155;0;0.104474971994576;0.177603521804925;0.00168360094072021;0.165857621078422;0.00554212605388833;0.000432364443920366;0.0121717141940006;0.000569934948804119;0.459570649005234;0.00189323218625736;0.0006944035008418;0.00124468552037681;0;0.00194563999764165;0.038742474565834;0.00330169211721007;0.00340650773997864;0;0;0.00061579178376537;0;0.0148248596453301;0.00393058585382151;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0.000549910966795852;0;0.0924308683356028;0.15986042735938;0.00105399601969205;0.193581753430397;0.00375117838064313;0.00057609720330994;0.00771184665339897;0.000680842149366293;0.445925421598408;0.00231093537236828;0.000432072902482455;0.00171519849167278;0;0.00271027547920813;0.0465591285220488;0.0161961872839635;0.00782968471771237;0;0;0.000392793547711323;0;0.012477741698963;0.00265790300617995;0;0
BactV5V7-BC51-GP_6_S150_L001;0;0.000246313401393615;0;0.129690487765354;0.146783341435748;0.00738292011019284;0.136263166423594;0.00198347107438017;0.000738940204180846;0.0112267055582564;0.000434289418246637;0.501448711716091;0.00280667638956409;0.000330578512396694;0.000395397828552909;0;0.00176308539944904;0.0278139685626317;0.00700048614487117;0.00334467671366067;0;0;0.000220385674931129;0;0.0187651920272241;0.00106951871657754;0;0
