C_AD3;C_Actinobacteria;C_Alphaproteobacteria;C_Bacteroidia;C_Gammaproteobacteria;C_MB.A2.108;C_Subgroup.22;C_bacteriap25;D_Bacteria;D_unassigned;F_Alteromonadaceae;F_BIrii41;F_Bacteriovoracaceae;F_Bdellovibrionaceae;F_Beijerinckiaceae;F_Caulobacteraceae;F_Cellvibrionaceae;F_Chitinophagaceae;F_Comamonadaceae;F_Crocinitomicaceae;F_Devosiaceae;F_Dongiaceae;F_Ferrovibrionaceae;F_Fibrobacteraceae;F_Fimbriimonadaceae;F_Flavobacteriaceae;F_Gaiellaceae;F_Haliangiaceae;F_Intrasporangiaceae;F_Leptospiraceae;F_Methylophilaceae;F_Microbacteriaceae;F_Micrococcaceae;F_Micromonosporaceae;F_Microscillaceae;F_Mitochondria;F_Myxococcaceae;F_NS11.12.marine.group;F_Nitrosomonadaceae;F_Nitrospiraceae;F_Nocardioidaceae;F_Oxalobacteraceae;F_Paenibacillaceae;F_Parachlamydiaceae;F_Pedosphaeraceae;F_Polyangiaceae;F_Promicromonosporaceae;F_Pseudomonadaceae;F_Pseudonocardiaceae;F_Rhizobiaceae;F_Rhodanobacteraceae;F_Rhodobacteraceae;F_Rhodocyclaceae;F_Saccharimonadaceae;F_Sphingomonadaceae;F_Spirochaetaceae;F_Steroidobacteraceae;F_Streptomycetaceae;F_Thermomonosporaceae;F_Unknown.Family_4;F_Xanthobacteraceae;F_Xanthomonadaceae;F_env.OPS.17;O_0319.6G20;O_Burkholderiales;O_Cellvibrionales;O_Cytophagales;O_NRL2;O_R7C24;O_Rhizobiales;O_Saccharimonadales;O_mle1.27;P_MBNT15;P_RCP2.54
BactV5V7-BC39-GP_2_S138_L001;0;0.00128870349645607;0;0.000830874622715095;0.0918455590599247;0;0;0;0.0218994811272764;0.00144131312103639;0;0.0308864923525621;0.00261979855529555;0.0011615288093058;0.00247566724319191;0.0216620883779293;0.0142096517109235;0.0249347169939295;0.15545833757249;0.00323023705361685;0.00585851392138909;0.00289958286702615;0;0.00665547529419744;0.000500220436124394;0.115923966493709;0;0.00410350323871537;0.000813917997761726;0.00261132024281887;0;0.0048580730491403;0.0029250178044562;0.00390002373927493;0.0323362837860752;0.0221199172516702;0.000856309560145149;0.000483263811171024;0.000898701122528572;0;0.00718960898022858;0.0462322379353613;0.000415437311357547;0.000220436124393801;0.000186522874487062;0.00242479736833181;0.00146674805846644;0.00886831485061213;0.0211618679418049;0.077669820598908;0.00146674805846644;0;0.0028147997422593;0.00186522874487062;0.0171685827652864;0.000339132499067386;0.0222131786889138;0.111159154881812;0.00228066605622817;0.00411198155119205;0.00777461254111982;0.0205344728185302;0.00128870349645607;0.0012717468715027;0.0497846508630922;0;9.3261437243531e-05;0;0.00060196018584461;0.00287414792959609;0.0015430528707566;0.000406958998880863;0;0
BactV5V7-BC42-GP_1_S141_L001;0;0.000138074430239925;0.000357369113562158;4.06101265411543e-05;0.0785887168824418;0.00038173518948685;0;0;0.0124104546709768;0.00108835139130294;0;0.0326342976884716;0.00518997417195952;0;0.00253407189616803;0.0290362404769253;0.0152450415035493;0.0213934146618801;0.160564318318416;0.0022904111369211;0.00434528353990351;0.00480823898247267;0;0.0106804632803236;0.000406101265411543;0.112790565455402;0;0.00379298581894381;0.000925910885138318;0.000909666834521856;0.000211172658014002;0.0050518997417196;0.00210360455483179;0.00642452201881061;0.0278098146553825;0.0254056951641461;0.000154318480856386;0.000276148860479849;0.0124023326456685;0;0.00687935543607154;0.0428924156527672;0.00805704910576501;0;0;0.0018680658208931;0.00302951543997011;0.00951901366124657;0.0293936095904875;0.0493413037475025;0.00628644758857069;0.000219294683322233;0.00221731290914702;0.00243660759246926;0.00748850733418885;0.00128327999870048;0.0161384642874547;0.113180422670197;0.00210360455483179;0.00310261366774419;0.00464579847630805;0.0208086288396875;0.00130764607462517;0.000934032910446549;0.0491301310894885;0.00686311138545508;0.000365491138870389;0;0.000633517974042007;0.0217589058007505;0.00141323240363217;0.000454833417260928;0;0
BactV5V7-BC47-Hid4_6_S146_L001;0.00261229228648139;0.000333792903272622;0.000972353239968072;2.90254698497932e-05;0.0898120600827226;0.00117553152891662;0;0;0.0343371308323054;0.0110441912778463;0.00248167767215732;0.0326536535810173;0.00332341629780132;0.000471663885059139;0.00329439082795153;0.0418692402583267;0.0213700021769102;0.0112909077715696;0.249858500834482;0.0042812568028445;0.00486176619984036;0.0239750380959292;0;0.0406501705246354;0.00113924969160438;0.0334373412669618;0.00063856033669545;0.0038458747550976;0.000892533197881141;0.00346128727958784;0.000471663885059139;0.00522458457296277;0.00238008852768304;0.000834482258181554;0.0474929250417241;0.033408315797112;0.000965096872505624;0;0.0194760902692112;0.00110296785429214;0.0085189754009143;0.0687250562368478;0;0.00072563674624483;0.000406356577897105;0.00370074740584863;0.000696611276395037;0.00343951817720049;0.00176329729337494;0.0614324069370873;0;0.00117553152891662;0.00693708729410057;0.000805456788331761;0.0158479065379871;0.00229301211813366;0.00884551193672448;0.0163776213627458;0.000319280168347725;0.0137653290762644;0.0102822726942892;0.00965822509251868;0.00290254698497932;0.00240185763007039;0.00101589144474276;0;0.00229301211813366;0;0.00139322255279007;0.00353385095421232;0.00116827516145418;0.00072563674624483;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0;0.000159145820975419;0.000513606967693398;0.11774620581895;0.000484671363879686;4.34034057205689e-05;0;0.029094749634688;0.0012586987658965;0.00471650342163515;0.0185838915493569;0.00328419103285638;0;0.00168549892214876;0.0377681968778483;0.0307296112501628;0.00912194910227289;0.190931581764782;0.0027488823623027;0.014192913670626;0.00306717400425353;0;0.0206238516182236;0.000535308670553683;0.119880206600211;0.000339993344811123;0.00403651673201291;0.00103444783634022;0.00157699040784734;0.00301653669757954;0.00424629985966232;0.00225697709746958;0.00133103777543078;0.0237850663348717;0.0345780465573865;0.000687220590575674;7.95729104877096e-05;0.0172600876748796;0;0.00905684399369204;0.0328274425266569;0;0.000405098453391976;0.000636583283901677;0.00175060403072961;0.00050637306673997;0.00402204893010605;0.00231484830509701;0.0550355184536813;0.000484671363879686;0.000962108826805943;0.0233003949709921;0.000889769817271662;0.0103010749576817;0.00156252260594048;0.00622838872090163;0.0508470898016464;0.000499139165786542;0.00652497865999219;0.00554116813032596;0.017267321575833;0.000831898609644237;0.00189528204979817;0.0571550514330358;0;0;0;0.0011574241525485;0.000759559600109955;0.00154805480403362;0.000571478175320824;0;0
BactV5V7-BC48-GP_3_S147_L001;0;0.000787149265791747;0.0155270417119452;0.000647830811669314;0.0893309927833041;0.000404023516955056;0;0;0.0181810582629775;0.00205494719830589;0;0.0172406586976511;0.00273760762350581;0.000912535874501936;0.0017066510629998;0.0478349912229374;0.00378946195213018;0.0256136977904093;0.229659505698125;0.00321129036752208;0.00480648666722394;0.00569812477360751;0;0.0172963860793001;0.000821978879322355;0.0508164061411575;0;0.00514085095711778;0.000313466521775474;0.00132352531416311;0;0.00300231268633843;0.00204101535289364;0.000877706260971328;0.0386260414054446;0.0301345816266823;0.000613001198138705;0.000501546434840759;0.0172615564657695;0;0.0045348156816852;0.0195324472679651;0.000243807294714258;0.000731421884142774;0.000501546434840759;0.00285602830950988;0.000982195101563153;0.00601855721808911;0.00626236451280337;0.0756499205884811;0.00107971801944886;0;0.0113196243974477;0.00368497311153835;0.00677087687035025;0.00433976984591379;0.010706623199309;0.109002758505392;0.00113544540109783;0.00595586391373401;0.0101702471509376;0.0137367995764719;0.00149767338181616;0.00255649363314665;0.05176377162919;0;0.000668728579787679;0;0.00118420686004068;0.00390091671542813;0.00107275209674273;0.00112847947839171;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;8.94589796171156e-05;0.00119049257490469;0.00161026163310808;0.0733081930662409;0.000681264537084188;0;0;0.0154695220137904;0.00293838340742372;0.00383297320359487;0.0226812920629241;0.00296590924730591;0.00337879684553875;0.00204379361125256;0.0203003069131147;0.0137353941012125;0.0141001114796515;0.206161659257628;0.00589052973478853;0.0203622400528496;0.0172793459860444;0;0.0299962840116159;0.000454176358056125;0.0860939456915179;0.000240851098969157;0.00615202521366933;0.0010459819155232;0.00272505814833675;0.00114232235511086;0.00590429265472963;0.00205067507122311;0.0023396963899861;0.0440757511113558;0.0342283818935025;0.00044041343811503;0;0.00430779394156264;0;0.0124623240066613;0.131745551136129;0;0.000990930235758819;0.000688145997054735;0.000199562339145873;0.002979672167247;0.00368158108424283;0.00110791505525812;0.0678236694697147;0.00101157461567046;0.000199562339145873;0.035969391266051;0.00128683301449235;0.00664060887157819;0.00214013405084023;0.00873945416259514;0.0192061547777977;0;0.0112098982920216;0.010611211274584;0.0108864696734059;0.0018167054322245;0.00240162952972103;0.000956522935906082;0;0.00136252907416838;0;0.0016859576927841;0;0.00211260821095804;0.00198186047151764;0;0
BactV5V7-BC52-Cas_soil_S151_L001;0.0216162956707084;0.0054560200545602;0.00254703638910673;0.000569731823879136;0.00227222456817679;0.0411346376840736;0.00997365828155477;0.0106439310155302;0.0998103128162849;0.0341168821593506;0;0.000844543644809073;0;0;0;0.000985300918943918;0;0.00334466094253752;0.0203360747488153;0;0;0.00227892729551655;0;0.000690380915994718;0;0.00755397371190337;0.0137204828644776;0.00178292547237471;0.00281514548269691;0;0.000462488186443064;0.00400823094917322;0.00430985367946217;0.00327763366913997;0.00231244093221532;0;0;0;0.0448680568123169;0.0404308513133994;0.0156977874297051;0.00402163640385273;0.00540910096318192;0;0.0140556192314653;0;8.71354554168091e-05;0.346403651645855;9.38381827565636e-05;0.000656867279295946;0;0;0.000945084554905391;0.000462488186443064;0.0362550521807323;0;0;0.0123062073957893;0.000757408189392264;0.000931679100225882;0.00217838638542023;0.0085526800855268;0.000536218187180364;0;0.00311676821298586;0;0.000422271822404536;0.00424282640606463;0;0.00519461368830977;0.000556326369199627;0;0.0165289256198347;0.0230573820487556
BactV5V7-BC41-GP_10_S140_L001;0;0;0.000622342760188406;0.000406160538228223;0.103898486069349;0.0006944035008418;0;0;0.0148248596453301;0.00393058585382151;0.00237145346513898;0.0294793939036613;0.00554212605388833;0;0.00339995676355561;0.0252343611815341;0.00896173574671305;0.0264528427962188;0.175513760325977;0.00480186571808528;0.0057190024173103;0.0150475928437134;0.000281691986190542;0.0121717141940006;0.000569934948804119;0.0944716309966;0;0.00619722369619192;0.0012250325911077;0.00189323218625736;0.00286277669686667;0.0092827335914418;0.00198494585617986;0.00344581359851686;0.035814188104737;0.0284246866995526;0.00124468552037681;0.000746811312226087;0.00355062922128543;0;0.00867349278409947;0.0407863792098212;0.0003472017504209;0.000432364443920366;0.00061579178376537;0.00169015191714325;0.00358338410340061;0.0275468558588658;0.00872590059548376;0.0632038205294499;0.00109401306264699;0.000635444713034478;0.00647891568238246;0.00161154020006682;0.0157288943917091;0.00340650773997864;0.0124927120387294;0.0627583541326835;0.00317722356517239;0.0055355750774653;0.00715366625395515;0.0222078100740915;0.00169015191714325;0.00194563999764165;0.0351197846038952;0.0094465080020177;0.00128399137891503;0;0.00138225602526057;0.0108942737915086;0.00169015191714325;0.000845075958571625;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0.000870692364093433;0.000877238923221955;0.000589190321566984;0.0448504765895046;0.000432072902482455;0;0;0.012477741698963;0.00265790300617995;0.00362679375720122;0.0385526867078663;0.00281502042526448;0.000936157955378653;0.00149916204043155;0.0251846129674243;0.00697208547187598;0.0216494710380224;0.194393526762334;0.00331255891903216;0.0029394050487064;0.026723054362627;0;0.00771184665339897;0.000680842149366293;0.131520372892008;0;0.00650073321462239;0.000896878600607521;0.00231093537236828;0.00136168429873259;0.00755472923431444;0.00241568031842464;0.00622577773122447;0.0315020425264481;0.0263499004923012;0.00162354666387347;0.00185922279250026;0.0176364302922384;0;0.00555802870011522;0.0531187807688279;0.000857599245836388;0.000490991934639154;0.000340421074683147;0.000700481826751859;0.00116528752487692;0.0143500576097203;0.0139310778254949;0.0565819105478161;0.00130931182570441;0;0.00347622289724521;0.0078100450403268;0.010998219335917;0.00782968471771237;0.0154433329841835;0.0509060437833875;0.00248114590970986;0.00541400439928773;0.00654655912852205;0.0342515973604274;0.00196396773855661;0.00271027547920813;0.0448111972347334;0;0.000975437310149785;0;0.000281502042526448;0.00216036451241228;0.00817665235152404;0.000274955483397926;0;0
BactV5V7-BC51-GP_6_S150_L001;0;1.94457948468644e-05;0;0.000719494409333982;0.0915508021390374;0.000330578512396694;0;0;0.0187651920272241;0.00106951871657754;0.000784313725490196;0.0212801814940852;0.00198347107438017;0;0.00138713336574299;0.0184086857883649;0.00753848646896775;0.0182790471560525;0.203072435585805;0.00354561659374494;0.00609949765029979;0.0182725652244369;0;0.0112267055582564;0.000434289418246637;0.0700243072435586;0;0.00258629071463296;0.000486144871171609;0.00280667638956409;0;0.00412899043915087;0.00193161562145519;0.00184735051045211;0.0390860476421974;0.0267314859828229;0.000395397828552909;0.000641711229946524;0.0166002268676065;0;0.00620969048776535;0.142317290552585;0.00738292011019284;0.000738940204180846;0.000200939880084265;0.00173067574137093;0.00151677199805542;0.00588559390698428;0.00601523253929671;0.0597115540431048;0.00071301247771836;0;0;0.00519850915572841;0.0054383406255064;0.00334467671366067;0.0145065629557608;0.105739750445633;0.00128342245989305;0.00508183438664722;0.00670879922216821;0.0119980554205153;0.00289742343218279;0.00176308539944904;0.00075838599902771;0;0.000738940204180846;0;0.000641711229946524;0.00368173715767299;0.00180197698914276;0.000855614973262032;0;0
