C_AD3;C_Actinobacteria;C_Alphaproteobacteria;C_Bacteroidia;C_Gammaproteobacteria;C_MB.A2.108;C_Subgroup.22;C_bacteriap25;D_Bacteria;D_unassigned;F_Alteromonadaceae;F_BIrii41;F_Caulobacteraceae;F_Chitinophagaceae;F_Comamonadaceae;F_Flavobacteriaceae;F_Microbacteriaceae;F_Micromonosporaceae;F_Microscillaceae;F_Mitochondria;F_NS11.12.marine.group;F_Oxalobacteraceae;F_Parachlamydiaceae;F_Pedosphaeraceae;F_Pseudomonadaceae;F_Pseudonocardiaceae;F_Rhizobiaceae;F_Rhodobacteraceae;F_Rhodocyclaceae;F_Saccharimonadaceae;F_Sphingomonadaceae;F_Spirochaetaceae;F_Streptomycetaceae;F_Xanthobacteraceae;F_Xanthomonadaceae;F_env.OPS.17;G_Acidibacter;G_Actinocorallia;G_Aeromicrobium;G_Agromyces;G_Ahniella;G_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium;G_Altererythrobacter;G_Arenimonas;G_Arthrobacter;G_Asticcacaulis;G_Bdellovibrio;G_Bosea;G_Bradyrhizobium;G_Brevundimonas;G_Catellatospora;G_Caulobacter;G_Cellvibrio;G_Chitinophaga;G_Chryseolinea;G_Crocinitomix;G_Devosia;G_Dongia;G_Ellin6067;G_Ferrovibrio;G_Fimbriimonas;G_Flavobacterium;G_Gaiella;G_Haliangium;G_Ideonella;G_Lechevalieria;G_Lysobacter;G_MND1;G_Marmoricola;G_Methylophilus;G_Methyloversatilis;G_Niastella;G_Nitrospira;G_Nocardioides;G_OLB12;G_Ohtaekwangia;G_Paenibacillus;G_Peredibacter;G_Phenylobacterium;G_Phyllobacterium;G_Promicromonospora;G_Pseudoflavitalea;G_Pseudolabrys;G_Pseudomonas;G_Pseudorhodoplanes;G_Pseudoxanthomonas;G_Rheinheimera;G_Rhizobacter;G_Rubrivivax;G_Sorangium;G_Sphingobium;G_Sphingomonas;G_Sphingopyxis;G_Spirochaeta.2;G_Steroidobacter;G_Streptomyces;G_Terrabacter;G_Turneriella;G_Umezawaea;G_Zoogloea;G_possible.genus.04;O_0319.6G20;O_Burkholderiales;O_Cellvibrionales;O_Cytophagales;O_NRL2;O_R7C24;O_Rhizobiales;O_Saccharimonadales;O_mle1.27;P_MBNT15;P_RCP2.54
BactV5V7-BC39-GP_2_S138_L001;0;0.00128870349645607;0;0.000830874622715095;0.0918455590599247;0;0;0;0.0218994811272764;0.00144131312103639;0;0.0308864923525621;0;0.0185081561366026;0.149981347712551;0.00429850442567911;0.00261979855529555;0.00213653474412453;0.00262827686777224;0.0221199172516702;0.000483263811171024;0.0462322379353613;0.000220436124393801;0;0;0.00568894767185539;0.0765761182894157;0;0;0.00163631430800014;0.00280632142978262;0;0.00273001661749245;0.000729134872994879;0.0107335435954828;0.00128870349645607;0.00411198155119205;0.00228066605622817;0.00119544205921253;0.0013226167463628;0.00146674805846644;0;0.000652830060704717;0;0.00213653474412453;0.00287414792959609;0.0011615288093058;0.00247566724319191;0.00416285142605216;0.00211957811917116;0.000788483060331672;0.0125902940278767;0.0142096517109235;0.0025943636178655;0.0043578526130159;0.00323023705361685;0.00562112117204192;0.00289958286702615;0.000898701122528572;0;0.000500220436124394;0.11162546206803;0;0.00410350323871537;0.000958049309865364;0.0109115881574931;0.00187370705734731;0;0.000618916810797979;0;0.0028147997422593;0.000907179435005257;0;0.00468850679960661;0.000398480686404178;0.0249516736188829;0.000296740936683962;0.00261979855529555;0.00407806830128531;0.00109370230949232;0.00126326855902601;0.00123783362159596;0.000559568623461186;0.00886831485061213;0.00150066130837318;0.00792722216570014;0;0.00451894055007291;0;0.00242479736833181;0.00892766303794893;0.00245023230576186;0.00233153593108828;0.000339132499067386;0.0222131786889138;0.10842913826432;0.000763048122901618;0.00261132024281887;0.00456133211245634;0;0.00665547529419744;0.0012717468715027;0.0497846508630922;0;9.3261437243531e-05;0;0.00060196018584461;0.00287414792959609;0.0015430528707566;0.000406958998880863;0;0
BactV5V7-BC42-GP_1_S141_L001;0;0.000138074430239925;0.000357369113562158;4.06101265411543e-05;0.0785887168824418;0.00038173518948685;0;0;0.0124104546709768;0.00108835139130294;0;0.0326342976884716;0;0.0166907620084144;0.151727554783061;0.000430467341336236;0.0029482951868878;0.00495443543802082;0.00580724809538507;0.0254056951641461;0.000276148860479849;0.0428924156527672;0;0;0;0.00585598024723445;0.0207030425106805;0.000219294683322233;0;0.00215233670668118;0.000877178733288933;0;0.0043940156917529;0;0.0112814931531327;0.00130764607462517;0.00310261366774419;0.00148633063140625;0.00085281265736424;0.00205487240298241;0.000487321518493852;0.0249183736456523;0;0;0.00207111645359887;0.00298078328812073;0;0.00253407189616803;0.00411786683127305;0.000406101265411543;0.00147008658078979;0.020897971118078;0.0152450415035493;0.00291580708565488;0.00160003898572148;0.0022904111369211;0.00434528353990351;0.00480823898247267;0.0124023326456685;0;0.000406101265411543;0.112360098114066;0;0.00379298581894381;0.00183557771966017;0.0127921898604636;0.00125891392277578;0;0.000292392911096311;0;0.00221731290914702;0.00156755088448856;0;0.00472701872939036;0.00101525316352886;0.0193872744107471;0.00805704910576501;0.00518997417195952;0.00475138480531505;0.00210360455483179;0.00253407189616803;0;0;0.00951901366124657;0.000527931645035006;0.00826822176377902;0;0.007001185815695;0;0.000917788859830087;0;0.00334627442699111;0.00326505417390881;0.00128327999870048;0.0161384642874547;0.108786406978444;0.000925910885138318;0.000909666834521856;0.0107454394827894;0;0.0106804632803236;0.000934032910446549;0.0491301310894885;0.00686311138545508;0.000365491138870389;0;0.000633517974042007;0.0217589058007505;0.00141323240363217;0.000454833417260928;0;0
BactV5V7-BC47-Hid4_6_S146_L001;0.00261229228648139;0.000333792903272622;0.000972353239968072;2.90254698497932e-05;0.0898120600827226;0.00117553152891662;0;0;0.0343371308323054;0.0110441912778463;0.00166170814890066;0.0326536535810173;0.016493723242145;0.00978883970684276;0.234554821856179;0.000449894782671795;0.00395472026703432;0.000834482258181554;0.0132501269864306;0.033408315797112;0;0.0679703940207532;0.00072563674624483;0.00029751106596038;0;0.00104491691459256;0.0614324069370873;0.00117553152891662;0;0.000805456788331761;0.00170524635367535;0.00042812568028445;0.00123358246861621;0.00101589144474276;0.00494158624192729;0.00290254698497932;0.0137653290762644;0.000319280168347725;0.000899789565343589;0.000892533197881141;0;0;0.00206806472679776;0.00103766054713011;0.00187939917277411;0.00494884260938974;0.000471663885059139;0.00329439082795153;0.00578332486757129;0.0138959436905885;0;0.00610986140338147;0.0213700021769102;0;0.00210434656411001;0.0042812568028445;0.00486176619984036;0.0239750380959292;0.0194760902692112;0;0.00113924969160438;0.03298744648429;0.00063856033669545;0.0038458747550976;0.0023583194252957;0.000558740294608519;0;0;0;0;0.00693708729410057;0.000370074740584863;0.00110296785429214;0.00669037080037733;0.000558740294608519;0.031579711196575;0;0.00309121253900297;0.000420869312822001;0;0;0.000544227559683622;0.00153109353457659;0.00343951817720049;0.0014875553298019;0.00367897830346129;0.000819969523256658;0.0129453595530078;0;0.00312749437631522;0.00490530440461505;0.00417966765837022;0.0029896233945287;0.00186488643784921;0.00884551193672448;0.0151440388941296;0.000783687685944416;0.00346128727958784;0;0;0.0406501705246354;0.00240185763007039;0.00101589144474276;0;0.00229301211813366;0;0.00139322255279007;0.00353385095421232;0.00116827516145418;0.00072563674624483;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0;0.000159145820975419;0.000513606967693398;0.11774620581895;0.000484671363879686;4.34034057205689e-05;0;0.029094749634688;0.0012586987658965;0;0.0185838915493569;0.00168549892214876;0.00862280993648635;0.182467917649272;0.000730623996296243;0.00305270620234668;0.000918705421085374;0.00732794166582271;0.0345780465573865;7.95729104877096e-05;0.0328274425266569;0.000368928948624835;0.000636583283901677;0;0.000824664708690809;0.0550355184536813;0.000962108826805943;0;0.000889769817271662;0.00019531532574256;0.00027488823623027;0.00224974319651615;0;0.0136431371981655;0.000831898609644237;0.00652497865999219;0.000499139165786542;0.00112848854873479;0.00119359365731564;0.000484671363879686;0;0;0.000658284986761961;0.00182294304026389;0.0052952154979094;0;0.00168549892214876;0.0047020356197283;0.0197774852066726;0.000412332354345404;0.00800792835544496;0.0307296112501628;0.000166379721928847;0.00134550557733764;0.0027488823623027;0.014192913670626;0.00306717400425353;0.0172600876748796;0;0.000535308670553683;0.119149582603915;0.000339993344811123;0.00403651673201291;0.00229314660223672;0.000766793501063383;0;0;0.000636583283901677;0.00301653669757954;0.0233003949709921;0;0;0.0068360364009896;0.00135997337924449;0.0137516457124669;0;0.00271271285753555;0.00300206889567268;0;0.000224250929556273;0;0.000839132510597665;0.00402204893010605;0;0.00296589939090554;0.00471650342163515;0;0.00617051751327421;0.00175060403072961;0.00211953297935445;0.00580158856464937;0.0021846380879353;0.00128763436971021;0.00622838872090163;0.0485973466051303;0.00103444783634022;0.00157699040784734;0.000723390095342815;0;0.0206238516182236;0.00189528204979817;0.0571550514330358;0;0;0;0.0011574241525485;0.000759559600109955;0.00154805480403362;0.000571478175320824;0;0
BactV5V7-BC48-GP_3_S147_L001;0;0.000787149265791747;0.0155270417119452;0.000647830811669314;0.0893309927833041;0.000404023516955056;0;0;0.0181810582629775;0.00205494719830589;0;0.0172406586976511;0.024220513249185;0.0182437515673326;0.211757084343392;0.00404720109225668;0.00224999303407729;0;0.0140015046393045;0.0301345816266823;0.000501546434840759;0.0195324472679651;0.000731421884142774;0.000501546434840759;0;0;0.0736437348491181;0;0;0.00146980969099167;5.57273816489732e-05;0.000745353729555017;0.00491794143052189;0.000473682744016272;0.00291175569115885;0.00149767338181616;0.00595586391373401;0.00113544540109783;0.000828944802028477;0.000752319652261139;0.00107971801944886;0;0.00101702471509376;0;0.00130262754604475;0.00117724093733456;0.000912535874501936;0.0017066510629998;0.00619270528574215;0.000578171584608097;0.00075928557496726;0.0206887904371813;0.00378946195213018;0.00132352531416311;0.0016718214494692;0.00321129036752208;0.00480648666722394;0.00569812477360751;0.0172615564657695;0;0.000821978879322355;0.0467692050489008;0;0.00514085095711778;0.00348992727576695;0.00546128340159938;0.00607428459973808;0;0.0006756945024938;0;0.0113196243974477;0.00105882025133049;0;0.00303017637716292;0.000752319652261139;0.0222003956644097;0.000243807294714258;0.00273760762350581;0.00117027501462844;0.000940399565326423;0.000815012956616233;0.00304410822257516;0.000815012956616233;0.00601855721808911;0.00148374153640391;0.00475075928557497;0;0.0144124940789657;0;0.000710524116024409;0.00102399063779988;0.00424921285073421;0.000424921285073421;0.00359441611635877;0.010706623199309;0.10408481707487;0.000313466521775474;0.00132352531416311;0.00080108111120399;0;0.0172963860793001;0.00255649363314665;0.05176377162919;0;0.000668728579787679;0;0.00118420686004068;0.00390091671542813;0.00107275209674273;0.00112847947839171;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;8.94589796171156e-05;0.00119049257490469;0.00161026163310808;0.0733081930662409;0.000681264537084188;0;0;0.0154695220137904;0.00293838340742372;0;0.0226812920629241;0.000578042637525978;0.0122765245874565;0.18493235524849;0.00514045059799887;0.00443854168100304;0.00132124031434509;0.0173963308055437;0.0342283818935025;0;0.131745551136129;0.000990930235758819;0.000626212857319809;0;0;0.0678236694697147;0.000199562339145873;0.00903535694132867;0.000949641475935534;0.00057116117755543;0.00046793927799722;0.00123178133472798;0.00154144703340261;0.00412887598232841;0.0018167054322245;0.0112098982920216;0;0.000777604976671851;0.00146575097372659;0.00101157461567046;0;0;0.00130059593443345;0.000873945416259514;0.0045486450405318;0.00337879684553875;0.00204379361125256;0.00647545383228506;0.00193369025172381;0.00101845607564101;0.0102120865962923;0.0137353941012125;0;0.00285580588777715;0.00576666345531868;0.0118980442890764;0.0172793459860444;0.00430779394156264;0;0.000454176358056125;0.080953495093519;0.000240851098969157;0.00615202521366933;0.0066268459516371;0.000275258398821894;0.00110791505525812;0;0.000639975777260904;0;0.00878762438238897;0.000928997096023892;0;0.00892525358179991;0.00109415213531703;0.0227294622827179;0;0.00228464471022172;0.00302784238704083;0;0.00267688792854292;0;0.000818893736495135;0.00368158108424283;0.00119737403487524;0.00434908270138593;0.00383297320359487;0.0140450597998871;0.000557398257614335;0;0.00160338017313753;0.00267688792854292;0.0015552099533437;0.00167219477284301;0.00873945416259514;0.0179743734430697;0.000798249356583493;0.00272505814833675;0.00083265665643623;0.0121733026878983;0.0299962840116159;0.00240162952972103;0.000956522935906082;0;0.00136252907416838;0;0.0016859576927841;0;0.00211260821095804;0.00198186047151764;0;0
BactV5V7-BC52-Cas_soil_S151_L001;0.0216162956707084;0.0054560200545602;0.00254703638910673;0.000569731823879136;0.00227222456817679;0.0411346376840736;0.00997365828155477;0.0106439310155302;0.0998103128162849;0.0341168821593506;0;0.000844543644809073;0;0.00225211638615753;0.0203360747488153;0.00755397371190337;0.000549623641859873;0.00174941183567594;0.00151481637878453;0;0;0.00402163640385273;0;0.0140556192314653;0.34545186436361;0;0.000335136366987727;0;0.000945084554905391;0;0.000623353642597173;0;0;0;0.00510077550555321;0.000536218187180364;0.000931679100225882;0.000757408189392264;0.00219179184009974;0.00345860730731335;0;0;0;0.00289557821077396;0.00430985367946217;0;0;0;0.000871354554168091;0;0.00152822183346404;0;0;0;0.000194379092852882;0;0;0.00227892729551655;0.0247598747930533;0;0;0;0.0137204828644776;0.00178292547237471;0;0;0;0.017393577446663;0.00245319820635016;0;0;0;0.0404308513133994;0.00749364916584558;0;0.000603245460577909;0.00540910096318192;0;0.000985300918943918;0.000321730912308218;8.71354554168091e-05;0;0.000643461824616436;0.000951787282245146;0.0006635700066357;0.000556326369199627;0;0;0;0;0;0.0349614258041597;0;0;0;0.0110527973832552;0.00258725275314525;0;0;0;0.000690380915994718;0;0.00311676821298586;0;0.000422271822404536;0.00424282640606463;0;0.00519461368830977;0.000556326369199627;0;0.0165289256198347;0.0230573820487556
BactV5V7-BC41-GP_10_S140_L001;0;0;0.000622342760188406;0.000406160538228223;0.103898486069349;0.0006944035008418;0;0;0.0148248596453301;0.00393058585382151;0.000799219123610374;0.0294793939036613;0.00157878531795164;0.0195153587642238;0.161173672935951;0.000563383972381083;0.00494598719939207;0.00202425171471808;0.0135932760777994;0.0284246866995526;0.000746811312226087;0.0407863792098212;0.000432364443920366;0.000360303703266972;0;0.0021749241724479;0.0609371826870795;0.000635444713034478;0;0.00161154020006682;0.000406160538228223;0.000982646463455378;0.00269900228629077;0.000170325386998932;0.00981336268170771;0.00169015191714325;0.0055355750774653;0.00263349252206041;0.00100229939272449;0.00395678975951366;0.00109401306264699;0;0.00154603043583646;0.00116607380330038;0.00157878531795164;0.00497219110508421;0;0.00339995676355561;0.00522112820915958;0;0.00142156188379878;0.0150279399144442;0.00896173574671305;0.00270555326271381;0.00231904565375469;0.00480186571808528;0.0057190024173103;0.0150475928437134;0.00355062922128543;0.000281691986190542;0.000569934948804119;0.093908247024219;0;0.00619722369619192;0.00197184390333379;0.00452017373189474;0.00345236457493989;0;0.000949891581340199;0.00286277669686667;0.00647891568238246;0.000851626934994661;0;0.00621687662546102;0.000589587878073227;0.0193122784951097;0.0003472017504209;0.00554212605388833;0.00365544484405401;0.00119882868541556;0.00207665952610237;0.000838524982148589;0;0.0275468558588658;0.000589587878073227;0.00777600901414356;0.0015722343415286;0.0123682434866917;0;0.00106780915695484;0.00659028228157407;0.00535214773762029;0.00183427339845004;0.00242386127652327;0.0124927120387294;0.0600593518463927;0.00112676794476217;0.00189323218625736;0.00203080269114111;0;0.0121717141940006;0.00194563999764165;0.0351197846038952;0.0094465080020177;0.00128399137891503;0;0.00138225602526057;0.0108942737915086;0.00169015191714325;0.000845075958571625;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0.000870692364093433;0.000877238923221955;0.000589190321566984;0.0448504765895046;0.000432072902482455;0;0;0.012477741698963;0.00265790300617995;0;0.0385526867078663;0.0014860689221745;0.0181143291086205;0.183094165706505;0.0060555671938829;0.00392793547711323;0.00180030376034356;0.0106447051429769;0.0263499004923012;0.00185922279250026;0.0507489263643029;0.000327327956426102;0;0;0.00330601235990363;0.0554231695820677;0;0.00161700010474495;0.00692625955797633;0.000471352257253587;0.0015449879543312;0.00377736461715722;0.000117838064313397;0.0167984707237876;0.00196396773855661;0.00541400439928773;0.00208180580287001;0.000654655912852205;0.00346312977898816;0.00130931182570441;0;0.00152534827694564;0.00185267623337174;0.00202288677071331;0.00211453859851262;0.000936157955378653;0.00149916204043155;0.00422907719702524;0.00157772074997381;0.00345658321985964;0.0126414056771761;0.00697208547187598;0.0016628260186446;0.00261862365140882;0.00314889494081911;0.0029394050487064;0.026723054362627;0.0176364302922384;0;0.000680842149366293;0.125464805698125;0;0.00650073321462239;0.00132895150308998;0.00946632449984288;0.00541400439928773;0;0.000333874515554624;0;0.00185922279250026;0.000909971718864565;0;0.00456949827170839;0.000837959568450822;0.0174007541636116;0.000857599245836388;0.00281502042526448;0.0073648790195873;0.0011587409657484;0.00079868021367969;0;0;0.0143500576097203;0.000563004085052896;0.0101864460039803;0.00362679375720122;0.00997040955273908;0;0.000281502042526448;0.000635016235466639;0.00567586676442862;0.00269063580182256;0.00628469676338117;0.0154433329841835;0.0471286791662302;0.000720121504137425;0.00231093537236828;0.00106708913794909;0;0.00771184665339897;0.00271027547920813;0.0448111972347334;0;0.000975437310149785;0;0.000281502042526448;0.00216036451241228;0.00817665235152404;0.000274955483397926;0;0
BactV5V7-BC51-GP_6_S150_L001;0;1.94457948468644e-05;0;0.000719494409333982;0.0915508021390374;0.000330578512396694;0;0;0.0187651920272241;0.00106951871657754;0;0.0212801814940852;0.000719494409333982;0.00966456003889159;0.182686760654675;0.000518554529249716;0.0027483390050235;0.000602819640252795;0.0146167557932264;0.0267314859828229;0.000641711229946524;0.142317290552585;0.000661157024793388;0.000200939880084265;0;0.000583373845405931;0.0588170474801491;0;0;0.00493274995948793;0;0.00120563928050559;0.00288445956895155;0.000926916221033868;0.00568465402690002;0.00289742343218279;0.00508183438664722;0.00128342245989305;0.000810241451952682;0.00138065143412737;0.00071301247771836;0;0.000764867930643332;0.000544482255712202;0.00171771187813969;0.00201588073245827;0;0.00138713336574299;0.00362339977313239;0.000900988494571382;0.00112137416950251;0.0130222006157835;0.00753848646896775;0.00391508669583536;0.00243072435585805;0.00354561659374494;0.00609949765029979;0.0182725652244369;0.0166002268676065;0;0.000434289418246637;0.0695057527143089;0;0.00258629071463296;0.00193161562145519;0.00125101280181494;0;0;0.000654675093177767;0;0;0.00305947172257333;0;0.00447901474639443;0.000628747366715281;0.0214098201263977;0.00738292011019284;0.00198347107438017;0.00175012153621779;0.000894506562955761;0.00129638632312429;0.00140657916058986;0.000836169178415168;0.00588559390698428;0.000881542699724518;0.0057689191379031;0.000784313725490196;0.00971641549181656;0.00873764381785772;0.00124453087019932;0.000751904067412089;0.00333819478204505;0.000583373845405931;0.00213903743315508;0.0145065629557608;0.102855290876681;0.000486144871171609;0.00280667638956409;0.00418084589207584;0;0.0112267055582564;0.00176308539944904;0.00075838599902771;0;0.000738940204180846;0;0.000641711229946524;0.00368173715767299;0.00180197698914276;0.000855614973262032;0;0
