C_AD3;C_Actinobacteria;C_Alphaproteobacteria;C_Bacteroidia;C_Gammaproteobacteria;C_MB.A2.108;C_Subgroup.22;C_bacteriap25;D_Bacteria;D_unassigned;O_0319.6G20;O_Alteromonadales;O_Bacillales;O_Bacteriovoracales;O_Bdellovibrionales;O_Burkholderiales;O_Caulobacterales;O_Cellvibrionales;O_Chitinophagales;O_Chlamydiales;O_Cytophagales;O_Dongiales;O_Ferrovibrionales;O_Fibrobacterales;O_Fimbriimonadales;O_Flavobacteriales;O_Gaiellales;O_Gammaproteobacteria.Incertae.Sedis;O_Haliangiales;O_Leptospirales;O_Micrococcales;O_Micromonosporales;O_Microtrichales;O_Myxococcales;O_NRL2;O_Nitrospirales;O_Paenibacillales;O_Pedosphaerales;O_Polyangiales;O_Propionibacteriales;O_Pseudomonadales;O_Pseudonocardiales;O_R7C24;O_Rhizobiales;O_Rhodobacterales;O_Rickettsiales;O_Saccharimonadales;O_Sphingobacteriales;O_Sphingomonadales;O_Spirochaetales;O_Steroidobacterales;O_Streptomycetales;O_Streptosporangiales;O_Xanthomonadales;O_mle1.27;P_MBNT15;P_RCP2.54
BactV5V7-BC39-GP_2_S138_L001;0;0.00128870349645607;0;0.000830874622715095;0.0918455590599247;0;0;0;0.0218994811272764;0.00144131312103639;0.0012717468715027;0;6.78264998134771e-05;0.00261979855529555;0.0011615288093058;0.255188727235731;0.0216620883779293;0.0142096517109235;0.0249347169939295;0.000220436124393801;0.0324973717231322;0.00289958286702615;0;0.00665547529419744;0.000500220436124394;0.119196595109709;0;0.00411198155119205;0.00410350323871537;0.00261132024281887;0.0101654966595449;0.00390002373927493;0.000211957811917116;0.000856309560145149;0;0;0.000415437311357547;0.000186522874487062;0.0338539017194018;0.00718960898022858;0.00886831485061213;0.0211618679418049;0.00060196018584461;0.0966527622342049;0;0.0225268762505511;0.00340828161562723;0.00177196730762709;0.0171685827652864;0.000339132499067386;0.0222131786889138;0.111159154881812;0.00228066605622817;0.0220012208769966;0.000406958998880863;0;0
BactV5V7-BC42-GP_1_S141_L001;0;0.000138074430239925;0.000357369113562158;4.06101265411543e-05;0.0785887168824418;0.00038173518948685;0;0;0.0124104546709768;0.00108835139130294;0.000934032910446549;0;0;0.00518997417195952;0;0.267417683273501;0.0290362404769253;0.0221081528890044;0.0213934146618801;0;0.0321469761699777;0.00480823898247267;0;0.0106804632803236;0.000406101265411543;0.115080976592323;0;0.00310261366774419;0.00379298581894381;0.000909666834521856;0.0111109306216598;0.00642452201881061;0.000430467341336236;0.000154318480856386;0;0;0.00805704910576501;0;0.0346079498383717;0.00687935543607154;0.00951901366124657;0.0293936095904875;0.000633517974042007;0.0826253634606325;0.000219294683322233;0.0254056951641461;0.00384983999610143;0.00158379493510502;0.00748850733418885;0.00128327999870048;0.0161384642874547;0.113180422670197;0.00235538733938695;0.0270950764282582;0.000454833417260928;0;0
BactV5V7-BC47-Hid4_6_S146_L001;0.00261229228648139;0.000333792903272622;0.000972353239968072;2.90254698497932e-05;0.0898120600827226;0.00117553152891662;0;0;0.0343371308323054;0.0110441912778463;0.00240185763007039;0.00248167767215732;0;0.00332341629780132;0.000471663885059139;0.346527828169219;0.0422683404687613;0.0213700021769102;0.0112909077715696;0.00072563674624483;0.0502576010449169;0.0239750380959292;0;0.0406501705246354;0.00113924969160438;0.041615267397141;0.00063856033669545;0.0137653290762644;0.0038458747550976;0.00346128727958784;0.00919381757492199;0.000834482258181554;0;0.000965096872505624;0;0.00110296785429214;0;0.000406356577897105;0.0372396778172847;0.0085189754009143;0.00343951817720049;0.00176329729337494;0.00139322255279007;0.0834046876133807;0.00117553152891662;0.033408315797112;0.00197373194978594;0.00290254698497932;0.0158479065379871;0.00229301211813366;0.00884551193672448;0.0163776213627458;0.000319280168347725;0.00965822509251868;0.00072563674624483;0;0
BactV5V7-BC46-Hid4_9_S145_L001;0;0;0.000159145820975419;0.000513606967693398;0.11774620581895;0.000484671363879686;4.34034057205689e-05;0;0.029094749634688;0.0012586987658965;0.00189528204979817;0.00471650342163515;0.000159145820975419;0.00328419103285638;0;0.324491095067926;0.0377681968778483;0.0307296112501628;0.00912194910227289;0.000405098453391976;0.0237850663348717;0.00306717400425353;0;0.0206238516182236;0.000535308670553683;0.123301841751183;0.000339993344811123;0.00652497865999219;0.00403651673201291;0.00157699040784734;0.00815260637451352;0.00133103777543078;0.00027488823623027;0.000687220590575674;0;0;0;0.000636583283901677;0.0208336347458731;0.00905684399369204;0.00402204893010605;0.00231484830509701;0.0011574241525485;0.077214658776892;0.000962108826805943;0.0345780465573865;0.00250292972988614;0.000911471520131946;0.0103010749576817;0.00156252260594048;0.00622838872090163;0.0508470898016464;0.000499139165786542;0.0177519929397127;0.000571478175320824;0;0
BactV5V7-BC48-GP_3_S147_L001;0;0.000787149265791747;0.0155270417119452;0.000647830811669314;0.0893309927833041;0.000404023516955056;0;0;0.0181810582629775;0.00205494719830589;0.00255649363314665;0;0;0.00273760762350581;0.000912535874501936;0.329536905458497;0.0478349912229374;0.00378946195213018;0.0256136977904093;0.000731421884142774;0.0392947699852322;0.00569812477360751;0;0.0172963860793001;0.000821978879322355;0.0540694920449163;0;0.00595586391373401;0.00514085095711778;0.00132352531416311;0.0063389896625707;0.000877706260971328;0;0.000613001198138705;0;0;0.000243807294714258;0.000501546434840759;0.0203683579926997;0.0045348156816852;0.00601855721808911;0.00626236451280337;0.00118420686004068;0.0962342221850706;0;0.0301345816266823;0.00475772520828109;0.00199921981665691;0.00677087687035025;0.00433976984591379;0.010706623199309;0.109002758505392;0.00113544540109783;0.0148165175959208;0.00112847947839171;0;0
BactV5V7-BC50-Hid4_8_S149_L001;0;8.94589796171156e-05;0.00119049257490469;0.00161026163310808;0.0733081930662409;0.000681264537084188;0;0;0.0154695220137904;0.00293838340742372;0.00240162952972103;0.00383297320359487;0;0.00296590924730591;0.00337879684553875;0.380283240892388;0.0203003069131147;0.0137353941012125;0.0141001114796515;0.000990930235758819;0.0455827908449057;0.0172793459860444;0;0.0299962840116159;0.000454176358056125;0.0919844754263064;0.000240851098969157;0.0112098982920216;0.00615202521366933;0.00272505814833675;0.0120631993283695;0.0023396963899861;0.000385361758350652;0.00044041343811503;0;0;0;0.000688145997054735;0.0234176082797726;0.0124623240066613;0.00368158108424283;0.00110791505525812;0.0016859576927841;0.105768039747313;0.000199562339145873;0.0342283818935025;0.00339944122545039;0.00197497901154709;0.00664060887157819;0.00214013405084023;0.00873945416259514;0.0192061547777977;0;0.0118980442890764;0.00198186047151764;0;0
BactV5V7-BC52-Cas_soil_S151_L001;0.0216162956707084;0.0054560200545602;0.00254703638910673;0.000569731823879136;0.00227222456817679;0.0411346376840736;0.00997365828155477;0.0106439310155302;0.0998103128162849;0.0341168821593506;0;0;0.000797624553430791;0;0;0.0950915927690977;0.000985300918943918;0;0.00334466094253752;0.00119978819381606;0.00273471275461985;0.00227892729551655;0;0.000690380915994718;0;0.00755397371190337;0.0137204828644776;0.000931679100225882;0.00178292547237471;0;0.0112203655667491;0.00327763366913997;0.00588499460430449;0;0.00424282640606463;0.0404308513133994;0.00540910096318192;0.0140556192314653;0.000844543644809073;0.0174874156294196;0.346403651645855;9.38381827565636e-05;0;0.00837170644735343;0;3.35136366987727e-05;0.00175611456301569;0.00105232819234146;0.0362550521807323;0;0;0.0123062073957893;0.000757408189392264;0.0085526800855268;0;0.0165289256198347;0.0230573820487556
BactV5V7-BC41-GP_10_S140_L001;0;0;0.000622342760188406;0.000406160538228223;0.103898486069349;0.0006944035008418;0;0;0.0148248596453301;0.00393058585382151;0.00194563999764165;0.00237145346513898;0.00133639919029931;0.00554212605388833;0;0.264312245740228;0.0261514978807591;0.0184082437487307;0.0264528427962188;0.000432364443920366;0.037098179483652;0.0150475928437134;0.000281691986190542;0.0121717141940006;0.000569934948804119;0.0992734967146853;0;0.0055355750774653;0.00619722369619192;0.00189323218625736;0.0162202176234368;0.00344581359851686;0.000576485925227155;0.00124468552037681;0;0;0.0003472017504209;0.00061579178376537;0.0317001749110705;0.00961683338901663;0.0275468558588658;0.00872590059548376;0.00138225602526057;0.0903707197557796;0.000635444713034478;0.0287653374735504;0.00330169211721007;0.00249592201717666;0.0157288943917091;0.00340650773997864;0.0124927120387294;0.0627583541326835;0.00329514114078703;0.0233018231367385;0.000845075958571625;0;0
BactV5V7-BC37-GP_12_S136_L001;0;0.000870692364093433;0.000877238923221955;0.000589190321566984;0.0448504765895046;0.000432072902482455;0;0;0.012477741698963;0.00265790300617995;0.00271027547920813;0.00362679375720122;0.000196396773855661;0.00281502042526448;0.000936157955378653;0.314797842254111;0.0251846129674243;0.00697208547187598;0.0216494710380224;0.00057609720330994;0.0324774798365979;0.026723054362627;0;0.00771184665339897;0.000680842149366293;0.13483293181104;0;0.00541400439928773;0.00650073321462239;0.00231093537236828;0.0122813449251074;0.00622577773122447;0.000549910966795852;0.00171519849167278;0;0;0.000857599245836388;0.000340421074683147;0.0397834398240285;0.00561694773227192;0.0143500576097203;0.0139310778254949;0.000281502042526448;0.0697274012778883;0;0.0263499004923012;0.0161961872839635;0.00390829579972766;0.010998219335917;0.00782968471771237;0.0154433329841835;0.0509060437833875;0.00256625117838064;0.0355609091861318;0.000274955483397926;0;0
BactV5V7-BC51-GP_6_S150_L001;0;1.94457948468644e-05;0;0.000719494409333982;0.0915508021390374;0.000330578512396694;0;0;0.0187651920272241;0.00106951871657754;0.00176308539944904;0.000784313725490196;0;0.00198347107438017;0;0.362748339005024;0.0184086857883649;0.00753848646896775;0.0182790471560525;0.000738940204180846;0.0398249878463782;0.0182725652244369;0;0.0112267055582564;0.000434289418246637;0.0735699238373035;0;0.00508183438664722;0.00258629071463296;0.00280667638956409;0.00806352292983309;0.00184735051045211;0.000246313401393615;0.000395397828552909;0;0;0.00738292011019284;0.000200939880084265;0.0243720628747367;0.00620969048776535;0.00588559390698428;0.00601523253929671;0.000641711229946524;0.0779322638146168;0;0.0267314859828229;0.00700048614487117;0.00377896613190731;0.0054383406255064;0.00334467671366067;0.0145065629557608;0.105739750445633;0.0014195430238211;0.0127110678982337;0.000855614973262032;0;0
