D_Bacteria;D_unassigned;P_Acidobacteriota;P_Actinobacteriota;P_Armatimonadota;P_Bacteroidota;P_Bdellovibrionota;P_Chloroflexi;P_Fibrobacterota;P_Firmicutes;P_MBNT15;P_Myxococcota;P_Nitrospirota;P_Patescibacteria;P_Planctomycetota;P_Proteobacteria;P_RCP2.54;P_Spirochaetota;P_Verrucomicrobiota
BactV5V7-BC39-GP_2_S138_L001;0.0218994811272764;0.00144131312103639;0;0.157577915691661;0.000500220436124394;0.179621528131041;0.00533285854783464;0;0.00665547529419744;0.000483263811171024;0;0.0392206735171431;0;0.00340828161562723;0;0.580501576966121;0;0.00295045274188625;0.000406958998880863
BactV5V7-BC42-GP_1_S141_L001;0.0124104546709768;0.00108835139130294;1.62440506164617e-05;0.170595019574081;0.000406101265411543;0.170245772485827;0.00631893568980361;3.24881012329234e-05;0.0106804632803236;0.00805704910576501;0;0.0390100875554328;0;0.00384983999610143;0.000268026835171618;0.574673900683875;0;0.00219294683322233;6.49762024658469e-05
BactV5V7-BC47-Hid4_6_S146_L001;0.0343371308323054;0.0110441912778463;0.000449894782671795;0.0394746389957187;0.00113924969160438;0.106095348668457;0.00619693781293085;0.00325085262317684;0.0406501705246354;0.000529714824758726;0;0.0427762861911327;0.00110296785429214;0.00197373194978594;0.000544227559683622;0.703366954502576;0;0.0057542993977215;0.00121181336622887
BactV5V7-BC46-Hid4_9_S145_L001;0.029094749634688;0.0012586987658965;4.34034057205689e-05;0.07349643368683;0.000535308670553683;0.157633935676153;0.00592456488085765;0;0.0206238516182236;0.000159145820975419;0;0.0261288502437825;0;0.00250292972988614;0.000578712076274252;0.677809285435264;0;0.00313951301378782;0.00104168173729365
BactV5V7-BC48-GP_3_S147_L001;0.0181810582629775;0.00205494719830589;0;0.12973334447881;0.000821978879322355;0.12184791997548;0.00620663713115439;0.000459750898604029;0.0172963860793001;0.000243807294714258;0;0.0272506896263479;0;0.00475772520828109;0.000619967120844827;0.663538967371618;0;0.0056632951600769;0.00132352531416311
BactV5V7-BC50-Hid4_8_S149_L001;0.0154695220137904;0.00293838340742372;0.000165155039293136;0.0491473871096492;0.000454176358056125;0.155527876794341;0.00874633562256568;0.0001307477394404;0.0299962840116159;1.37629199410947e-05;0;0.0325768315005712;0;0.00339944122545039;0.00090835271611225;0.693981475109759;0;0.00486519219917698;0.00167907623281355
BactV5V7-BC52-Cas_soil_S151_L001;0.0998103128162849;0.0341168821593506;0.0407525822257076;0.130428371304284;0;0.016602655620572;0;0.0338688812477797;0.000690380915994718;0.00620672551661271;0.0165289256198347;0.0141159437775231;0.0404308513133994;0.00186335820045176;0.00262076638984403;0.515118001514816;0.0230573820487556;0;0.0162273028895458
BactV5V7-BC41-GP_10_S140_L001;0.0148248596453301;0.00393058585382151;0;0.105745861420645;0.000569934948804119;0.165857621078422;0.00748776605152998;0;0.0121717141940006;0.00168360094072021;0;0.0399871600862109;0;0.00330169211721007;0.000589587878073227;0.63739035303212;0;0.00529973992623601;0.00104815622768574
BactV5V7-BC37-GP_12_S136_L001;0.012477741698963;0.00265790300617995;0.000202943332984184;0.0934128522048811;0.000680842149366293;0.193581753430397;0.00646145385985126;0;0.00771184665339897;0.00108672881533466;0;0.0482743270137216;0;0.0161961872839635;0.000360060752068713;0.605785848957788;0;0.0101406200900807;0.000968890751021263
BactV5V7-BC51-GP_6_S150_L001;0.0187651920272241;0.00106951871657754;0;0.130267379679144;0.000434289418246637;0.136263166423594;0.0037465564738292;0;0.0112267055582564;0.00738292011019284;0;0.0282093663911846;0;0.00700048614487117;0.000291686922702966;0.648232053151839;0;0.00615135310322476;0.000959325879111975
BactV5V7-BC34-Hid4_11_S133_L001;0.0141710058256431;0.00148863226272104;0;0.133461360004124;0.00056709800484611;0.167274578543074;0.00521343506727844;0.000644429550961489;0.0109488580708357;0.0003028818889519;0;0.0352502964375934;0;0.00341547662009589;0.000650873846471104;0.623620920760942;0;0.00201062019899985;0.000811981234211476
