Achroiostachys_levigata;Acremonium_alternatum;Acremonium_dichromosporum;Acremonium_rutilum;Alternaria_angustiovoidea;Alternaria_metachromatica;Apodus_deciduus;Arrhenia_obatra;Arthrobotrys_conoides;Arthrobotrys_musiformis;Arthrobotrys_psychrophila;Arthrobotrys_xiangyunensis;Ascobolus_crenulatus;Aspergillus_insuetus;Atractiella_solani;Botryotrichum_atrogriseum;Byssonectria_fusispora;Cadophora_orchidicola;Cheilymenia_stercorea;Cheilymenia_theleboloides;Chloridium_aseptatum;Chromelosporium_macrospermum;Chrysosporium_pseudomerdarium;Cladorrhinum_brunnescens;Cladorrhinum_flexuosum;Cladosporium_sphaerospermum;Clarireedia_bennettii;Coprinellus_flocculosus;Coprinopsis_trispora;Coprinus_cordisporus;Dactylella_arnaudii;Equiseticola_fusispora;Exophiala_bonariae;Exophiala_equina;Fusarium_fujikuroi;Fusarium_nurragi;Fusarium_solani;Fusicolla_septimanifiniscientiae;Gelasinospora_cratophora;Gliomastix_murorum;Humicola_nigrescens;Hymenoscyphus_menthae;Iodophanus_testaceus;Lachnum_carneolum;Lambertella_tubulosa;Lecanicillium_primulinum;Leucothecium_emdenii;Malassezia_restricta;Marasmiellus_tricolor;Mariannaea_punicea;Metarhizium_marquandii;Minimedusa_polyspora;Monocillium_griseo.ochraceum;Monocillium_mucidum;Mortierella_amoeboidea;Mortierella_globulifera;Mortierella_minutissima;Mortierella_zonata;Mycosphaerella_tassiana;Myrmecridium_schulzeri;Naganishia_albida;Neoroussoella_heveae;Neosetophoma_rosarum;Oidiodendron_cereale;Operculomyces_laminatus;Paragibellulopsis_chrysanthemi;Paranamyces_uniporus;Paraphaeosphaeria_minitans;Paraphoma_fimeti;Paraphoma_rhaphiolepidis;Penicillium_bialowiezense;Penicillium_menonorum;Periconia_macrospinosa;Peziza_flavida;Phialemonium_inflatum;Phlyctochytrium_africanum;Podospora_decidua;Podospora_didyma;Pseudopithomyces_rosae;Pseudorobillarda_phragmitis;Ramophialophora_humicola;Sarocladium_implicatum;Schizothecium_dakotense;Schwanniomyces_pseudopolymorphus;Scutellinia_torrentis;Serendipita_indica;Setophaeosphaeria_sidae;Slopeiomyces_cylindrosporus;Solicoccozyma_terrea;Solicoccozyma_terricola;Spizellomyces_dolichospermus;Spizellomyces_lactosolyticus;Staphylotrichum_boninense;Tausonia_pullulans;Tetracladium_furcatum;Tetracladium_setigerum;Thelonectria_mammoidea;Thelonectria_westlandica;Tolypocladium_inflatum;Torula_herbarum;Trichocladium_arxii;Trichocladium_opacum;Trichoderma_pubescens;Trichoderma_stromaticum;Trichoderma_virilente;Udeniozyma_ferulica;Volutella_ciliata;Waitea_circinata_var._circinata
FunITS-BC90-2_S90_L001;0;0;0.00444225074037512;0;0.0054294175715696;0.00296150049358342;0.00394866732477789;0;0;0;0;0.464461994076999;0;0;0;0;0.00296150049358342;0;0;0;0.00789733464955577;0.0192497532082922;0;0;0;0;0;0;0;0;0;0;0.0069101678183613;0.0202369200394867;0.0261599210266535;0;0;0;0;0.00493583415597236;0.00296150049358342;0;0.00394866732477789;0;0.0123395853899309;0;0;0;0;0;0;0;0.00296150049358342;0;0.0202369200394867;0;0.0177690029615005;0.00839091806515301;0;0;0;0;0;0;0;0;0;0.00246791707798618;0;0;0.0054294175715696;0.00789733464955577;0.00493583415597236;0;0;0;0.0153010858835143;0;0;0;0.0138203356367226;0;0;0;0.00394866732477789;0;0;0;0;0.0212240868706811;0;0.267028627838105;0;0;0;0;0;0.00148075024679171;0;0;0;0.00740375123395854;0;0;0.0069101678183613;0;0;0
FunITS-BC51-210_S51_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0298507462686567;0;0;0;0;0;0;0;0;0;0;0;0.370420624151967;0.489823609226594;0;0.0854816824966079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0244233378561737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FunITS-BC22-181_S22_L001;0;0.00881057268722467;0;0;0;0.0110132158590308;0;0;0;0;0;0;0;0;0.0052863436123348;0;0;0;0;0;0.00484581497797357;0;0;0;0;0;0;0;0;0;0;0;0;0.0444933920704846;0;0;0.562555066079295;0;0.0110132158590308;0;0;0.00352422907488987;0;0;0;0.00484581497797357;0;0;0;0;0;0;0;0;0.0158590308370044;0;0.0303964757709251;0;0;0;0.00969162995594714;0;0;0;0;0;0;0;0;0;0;0;0.0118942731277533;0;0;0.0079295154185022;0;0;0;0;0;0.0105726872246696;0;0;0;0.0154185022026432;0;0;0;0.0039647577092511;0;0;0;0;0;0.2215859030837;0;0;0;0;0;0;0;0;0;0;0.0066079295154185;0
FunITS-BC136-74_S136_L001;0;0;0.00449101796407186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00748502994011976;0.00711077844311377;0;0;0;0.0101047904191617;0;0;0;0;0;0;0.0396706586826347;0.0782185628742515;0;0;0.407559880239521;0;0;0.00224550898203593;0;0;0.00711077844311377;0;0;0.0134730538922156;0.0029940119760479;0.00374251497005988;0;0;0;0;0;0;0.0127245508982036;0;0.0449101796407186;0;0.0243263473053892;0;0;0;0;0;0;0;0;0;0;0;0.00711077844311377;0;0;0;0;0.0235778443113772;0;0;0.0748502994011976;0;0;0;0;0.00860778443113772;0;0;0.00224550898203593;0;0;0.0108532934131737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00898203592814371;0;0.18562874251497;0
FunITS-BC58-217_S58_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00366166239472721;0;0;0;0;0;0;0;0;0;0;0;0.0216038081288905;0;0;0;0;0;0;0;0.0289271329183449;0.00402782863419993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.926766752105456;0;0;0;0;0;0;0;0;0;0;0.00732332478945441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FunITS-BC323-244_S323_L001;0.00417536534446764;0;0.0180932498260264;0.00382741823242867;0;0;0.0497564370215727;0;0;0;0;0;0;0.0400139178844816;0;0;0;0;0.0160055671537926;0;0.0215727209464161;0;0;0;0;0;0;0;0;0;0;0;0.00904662491301322;0.0455810716771051;0;0;0.0431454418928323;0;0.011134307585247;0.0167014613778706;0;0;0;0;0.0132219902574809;0;0.00452331245650661;0;0;0;0.171189979123173;0;0.00139178844815588;0.0146137787056367;0.0730688935281837;0.0034794711203897;0.081767571329158;0.0748086290883786;0;0;0;0;0;0;0;0;0;0;0;0;0.023312456506611;0.0386221294363257;0;0;0;0;0.0107863604732081;0;0;0;0;0;0;0.011134307585247;0.0034794711203897;0;0;0;0.0337508698677801;0.0354906054279749;0;0;0;0;0;0.0142658315935978;0.0128740431454419;0;0.00487125956854558;0;0;0.00800278357689631;0;0.0156576200417537;0.0594989561586639;0;0;0
FunITS-BC40-199_S40_L001;0;0.00277488727020465;0;0;0;0;0;0;0;0;0;0;0.00381546999653139;0;0;0;0;0;0;0;0;0.0183836281651058;0;0;0;0;0;0;0;0;0;0;0;0.240721470690253;0;0;0.311827956989247;0;0;0;0;0;0;0;0;0.00381546999653139;0;0;0;0;0;0;0;0;0;0;0;0;0.00520291363163371;0;0;0;0;0;0;0;0;0;0;0;0;0;0.397502601456816;0;0;0;0;0;0;0;0;0;0;0;0;0.00693721817551162;0;0;0;0.00138744363510232;0;0;0;0;0;0;0;0;0;0;0;0;0.00485605272285813;0;0;0;0;0
FunITS-BC124-59_S124_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002234280242579;0.002553463134376;0;0;0;0;0;0;0;0;0;0;0;0.0641557612511969;0.125758059368018;0;0.112033195020747;0;0;0;0;0;0.003511011809767;0;0;0.012128949888286;0;0.002553463134376;0;0;0;0;0;0;0.0513884455793169;0;0;0.003830194701564;0.004787743376955;0;0;0;0;0;0;0.003511011809767;0;0;0;0;0;0;0.181615065432493;0.004787743376955;0.00829875518672199;0;0;0.004468560485158;0;0;0;0.003830194701564;0;0;0;0.002234280242579;0;0.00510692626875199;0.00542610916054899;0.003511011809767;0;0;0;0;0;0;0;0;0;0;0;0.383338653048197;0;0;0;0;0.003511011809767;0
FunITS-BC39-198_S39_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01172477630361;0.00215982721382289;0;0;0;0;0;0;0;0;0;0;0.0200555384140697;0.890774452329528;0;0.0141931502622647;0;0;0.0148102437519284;0;0;0;0;0.0037025609379821;0;0;0;0;0;0.00154273372415921;0;0;0;0.00246837395865474;0;0.0101820425794508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005862388151805;0;0;0.00524529466214131;0;0;0;0;0;0;0;0;0;0.00123418697932737;0;0;0;0;0;0;0;0;0;0.0126504165381055;0;0;0;0;0;0.00123418697932737;0;0;0;0;0;0
FunITS-BC142-83_S142_L001;0;0;0.00611531741409435;0;0.00203843913803145;0;0.0040768782760629;0;0;0;0;0;0;0;0;0;0.00611531741409435;0;0.00320326150262085;0;0.00436808386721025;0.0803727431566686;0;0;0;0;0;0.00145602795573675;0;0;0;0;0;0.028246942341293;0.111822947000582;0;0.0119394292370414;0;0;0.0069889341875364;0;0.0034944670937682;0.0133954571927781;0;0;0;0;0;0;0.0052417006406523;0.0040768782760629;0.017472335468841;0;0.00495049504950495;0.0797903319743739;0.0017472335468841;0.0189283634245778;0.00436808386721025;0.016598718695399;0;0;0;0;0;0;0;0.00262085032032615;0;0;0;0.0425160163075131;0.00436808386721025;0.017472335468841;0.322655794991264;0;0.0017472335468841;0.0052417006406523;0;0.0011648223645894;0;0;0;0;0.0200931857891672;0;0;0;0;0.0128130460104834;0.017472335468841;0;0.0716365754222481;0;0;0;0.0101921956901573;0;0;0;0;0.0145602795573675;0.0034944670937682;0;0;0.0104834012813046;0;0;0
