#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC89-1_S89_L001	1	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
FunITS-BC90-2_S90_L001	2	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
FunITS-BC91-3_S91_L001	3	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC92-4_S92_L001	4	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC93-5_S93_L001	5	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC94-6_S94_L001	6	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC95-7_S95_L001	7	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC151-8_S151_L001	8	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC152-9_S152_L001	9	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC96-10_S96_L001	10	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC97-11_S97_L001	11	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC98-12_S98_L001	12	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC350-13_S350_L001	13	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC337-14_S337_L001	14	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC99-15_S99_L001	15	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC351-16_S351_L001	16	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC161-17_S161_L001	17	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC100-18_S100_L001	18	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC338-19_S338_L001	19	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC352-20_S352_L001	20	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC162-21_S162_L001	21	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
FunITS-BC163-22_S163_L001	22	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
FunITS-BC101-23_S101_L001	23	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC102-24_S102_L001	24	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC103-25_S103_L001	25	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC104-26_S104_L001	26	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
FunITS-BC353-27_S353_L001	27	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC105-28_S105_L001	28	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC106-29_S106_L001	29	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
FunITS-BC107-30_S107_L001	30	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
FunITS-BC108-31_S108_L001	31	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
FunITS-BC339-32_S339_L001	32	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC109-33_S109_L001	33	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC164-34_S164_L001	34	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC354-35_S354_L001	35	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC110-36_S110_L001	36	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC111-37_S111_L001	37	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC112-38_S112_L001	38	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC355-39_S355_L001	39	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
FunITS-BC113-40_S113_L001	40	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC114-41_S114_L001	41	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC115-42_S115_L001	42	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC165-43_S165_L001	43	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC116-44_S116_L001	44	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC166-45_S166_L001	45	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
FunITS-BC117-46_S117_L001	46	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC118-47_S118_L001	47	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC119-48_S119_L001	48	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC340-49_S340_L001	49	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC167-50_S167_L001	50	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC341-51_S341_L001	51	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC168-52_S168_L001	52	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC356-53_S356_L001	53	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC357-54_S357_L001	54	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC120-55_S120_L001	55	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC121-56_S121_L001	56	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC122-57_S122_L001	57	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC123-58_S123_L001	58	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC124-59_S124_L001	59	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
FunITS-BC169-60_S169_L001	60	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC125-61_S125_L001	61	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
