#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
OomITS-BC1-1_L001	1	H. vulgare	BI1	soil	14 dpi	Hv	Hv_BI1_14dpi_soil
OomITS-BC9-10_L001	10	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC107-100_L001	100	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC108-101_L001	101	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
OomITS-BC109-102_L001	102	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC110-103_L001	103	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC170-104_L001	104	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC111-105_L001	105	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC112-106_L001	106	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC113-107_L001	107	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC114-108_L001	108	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC171-109_L001	109	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC10-11_L001	11	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC115-110_L001	110	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC116-111_L001	111	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC117-112_L001	112	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC172-113_L001	113	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC173-114_L001	114	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC174-115_L001	115	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC118-116_L001	116	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC119-117_L001	117	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC120-118_L001	118	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC121-119_L001	119	A. thaliana	BI1	soil	28 dpi	At	At_BI1_28dpi_soil
OomITS-BC11-12_L001	12	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC122-120_L001	120	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC175-121_L001	121	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
OomITS-BC176-122_L001	122	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC177-123_L001	123	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
OomITS-BC123-124_L001	124	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC124-125_L001	125	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC125-126_L001	126	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC126-127_L001	127	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC127-128_L001	128	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC128-129_L001	129	A. thaliana	Col-0	soil	28 dpi	At	At_Col-0_28dpi_soil
OomITS-BC76-13_L001	13	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC129-130_L001	130	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
OomITS-BC130-131_L001	131	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC131-132_L001	132	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC132-133_L001	133	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC133-134_L001	134	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC134-135_L001	135	A. thaliana	BI1	roots	28 dpi	At	At_BI1_28dpi_roots
OomITS-BC135-136_L001	136	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC136-137_L001	137	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC137-138_L001	138	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
OomITS-BC138-139_L001	139	A. thaliana	Col-0	roots	28 dpi	At	At_Col-0_28dpi_roots
OomITS-BC12-14_L001	14	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC139-140_L001	140	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC178-141_L001	141	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
