X.Sample_Name...Short_Sample	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
Fun_S1	Fun_S1	1	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
Fun_S2	Fun_S2	2	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
Fun_S3	Fun_S3	3	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S4	Fun_S4	4	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S5	Fun_S5	5	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S6	Fun_S6	6	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S7	Fun_S7	7	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S8	Fun_S8	8	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S9	Fun_S9	9	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S10	Fun_S10	10	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S11	Fun_S11	11	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S12	Fun_S12	12	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S13	Fun_S13	13	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S14	Fun_S14	14	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S15	Fun_S15	15	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S16	Fun_S16	16	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S17	Fun_S17	17	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S18	Fun_S18	18	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S19	Fun_S19	19	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S20	Fun_S20	20	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S21	Fun_S21	21	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
Fun_S22	Fun_S22	22	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
Fun_S23	Fun_S23	23	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S24	Fun_S24	24	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S25	Fun_S25	25	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S26	Fun_S26	26	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
Fun_S27	Fun_S27	27	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S28	Fun_S28	28	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S29	Fun_S29	29	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
Fun_S30	Fun_S30	30	H. vulgare	GP	Soil	14 dpi	Hv	Hv_GP_14dpi_Soil
Fun_S31	Fun_S31	31	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
Fun_S32	Fun_S32	32	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S33	Fun_S33	33	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S34	Fun_S34	34	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S35	Fun_S35	35	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S36	Fun_S36	36	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S37	Fun_S37	37	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S38	Fun_S38	38	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S39	Fun_S39	39	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S40	Fun_S40	40	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S41	Fun_S41	41	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S42	Fun_S42	42	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S43	Fun_S43	43	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S44	Fun_S44	44	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S45	Fun_S45	45	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
Fun_S46	Fun_S46	46	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S47	Fun_S47	47	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S48	Fun_S48	48	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S49	Fun_S49	49	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S50	Fun_S50	50	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S51	Fun_S51	51	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S52	Fun_S52	52	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S53	Fun_S53	53	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S54	Fun_S54	54	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S55	Fun_S55	55	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S56	Fun_S56	56	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S57	Fun_S57	57	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S58	Fun_S58	58	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S59	Fun_S59	59	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S60	Fun_S60	60	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S61	Fun_S61	61	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S62	Fun_S62	62	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S63	Fun_S63	63	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
Fun_S64	Fun_S64	64	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
Fun_S65	Fun_S65	65	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S66	Fun_S66	66	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S67	Fun_S67	67	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S68	Fun_S68	68	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S69	Fun_S69	69	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
Fun_S70	Fun_S70	70	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S71	Fun_S71	71	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S72	Fun_S72	72	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S73	Fun_S73	73	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
Fun_S74	Fun_S74	74	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
Fun_S75	Fun_S75	75	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
Fun_S76	Fun_S76	76	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
Fun_S77	Fun_S77	77	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
Fun_S78	Fun_S78	78	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
Fun_S79	Fun_S79	79	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
